caller_object	symbol	disposition	original_or_adapter_owner	current_conclusion	audit_input
original-dem-provider-cohort.lib(demlabel.obj)	__imp_OemToCharA	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	OutputDebugStringOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	diskette_io	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_close	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_read	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_write	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_format	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_media_check	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_get_media_type	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_floppy_verify	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_fdisk_init	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_fdisk_read	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_fdisk_write	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	nt_fdisk_verify	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
