id	original-definition-or-declaration	selected-caller-or-role	final-disposition	bound-owner	x86-ccpu40-evidence	remaining-runtime-condition
XMS-001	xms.486/xms.c:XMSInit	softpc.new/host/src/nt_msscs.c startup order	binding-only original body	mvdm-host/xms.486 + mvdm-support/suballoc	formal candidate and forced-link assembly	needs reachable session-backed SoftPC startup
XMS-002	xms.486/xmsdisp.c:XMSDispatch	softpc.new/host/src/nt_bop.c:MS_bop_2	binding-only original table and body	mvdm-host/xms.486	formal candidate and forced-link assembly	needs typed BOP byte fetch and selected machine re-entry
XMS-003	xms.486/xmsa20.c:xmsA20	XMS dispatch service 0	original body plus registered numeric-state overlay	mvdm-host + mvdm-host-overlay + adapter-mvdm-host-out/softpc	formal candidate; SAS and state symbols resolved	needs guest register and bounded session memory context
XMS-004	xms.486/xmsa20.c:xmsEnableA20Wrapping	XMS/BIOS/keymouse A20 transition	original body plus registered numeric-state overlay	mvdm-host + mvdm-host-overlay + selected CCPU SAS	formal candidate; c_sas provider resolved	needs selected CCPU A20 state in active machine
XMS-005	xms.486/xmsa20.c:xmsDisableA20Wrapping	XMS/BIOS/keymouse A20 transition	original body plus registered numeric-state overlay	mvdm-host + mvdm-host-overlay + selected CCPU SAS	formal candidate; c_sas provider resolved	needs selected CCPU A20 state in active machine
XMS-006	xms.486/xmsblock.c:xmsAllocBlock	XMS dispatch service 2	binding-only original body	mvdm-host + mvdm-support/suballoc	formal candidate; SAAllocate resolved	needs XMSInit-created ExtMemSA and register facade
XMS-007	xms.486/xmsblock.c:xmsFreeBlock	XMS dispatch service 3	binding-only original body	mvdm-host + mvdm-support/suballoc	formal candidate; SAFree resolved	needs XMSInit-created ExtMemSA and register facade
XMS-008	xms.486/xmsblock.c:xmsReallocBlock	XMS dispatch service 11	binding-only original body	mvdm-host + mvdm-support/suballoc	formal candidate; SAReallocate resolved	needs XMSInit-created ExtMemSA and register facade
XMS-009	xms.486/xmsblock.c:xmsQueryFreeExtMem	XMS dispatch service 10	binding-only original body	mvdm-host + mvdm-support/suballoc	formal candidate; SAQueryFree resolved	needs XMSInit-created ExtMemSA and register facade
XMS-010	xms.486/xmsblock.c:xmsMoveBlock	XMS dispatch service 1	original body plus same-shaped session mapping binding	mvdm-host + adapter-mvdm-host-out/softpc	formal candidate; session lease symbols resolved	needs guest SS:BP descriptor and active session lease
XMS-011	adapter-mvdm-host-out/softpc:mvdm_xms_move_block	XMS-010 exact backing call	adapter-backed same-shaped fixed-width descriptor contract	adapter-mvdm-host-out/softpc + session	formal candidate and forced-link assembly	needs guest memory provider; preserves destination/source/word-count order
XMS-012	adapter-mvdm-host-out/softpc:xmsCommitBlock	original SAInitialize callback	adapter-backed same-shaped guest-memory commit	adapter-mvdm-host-out/softpc + session	formal candidate and forced-link assembly	active session guest-memory lease required
XMS-013	adapter-mvdm-host-out/softpc:xmsDecommitBlock	original SAInitialize callback	adapter-backed same-shaped selected backing disposition	adapter-mvdm-host-out/softpc + session	formal candidate and forced-link assembly	selected backing reserves memory; observable zero-on-next-commit remains to be runtime-proved
XMS-014	adapter-mvdm-host-out/softpc:xmsMoveMemory	original SAInitialize callback	adapter-backed same-shaped move callback	adapter-mvdm-host-out/softpc + session	formal candidate and forced-link assembly	active session guest-memory lease required; actual SubAlloc ABI is Destination,Source,Size
XMS-015	xms.486/xmsmisc.c:xmsSysPageSize	XMS dispatch service 4	binding-only original body	mvdm-host + public Win32	formal candidate	needs register facade
XMS-016	xms.486/xmsmisc.c:xmsQueryExtMem	XMS dispatch service 5	binding-only original body	mvdm-host	formal candidate	needs configured xmsMemorySize and register facade
XMS-017	xms.486/xmsmisc.c:xmsNotifyHookI15	XMS dispatch service 9	binding-only original body	mvdm-host + selected keymouse owner	formal candidate	needs registered UpdateKbdInt15 owner and register facade
XMS-018	xms.486/xmsumb.c:xmsInitUMB	XMS dispatch service 6	original body plus registered UMB/address and A20 overlays	mvdm-host + mvdm-host-overlay	formal candidate and forced-link assembly	needs original UMB initialization lifecycle and active session
XMS-019	xms.486/xmsumb.c:xmsRequestUMB	XMS dispatch service 7	binding-only original body	mvdm-host	formal candidate	needs initialized original UMB list and register facade
XMS-020	xms.486/xmsumb.c:xmsReleaseUMB	XMS dispatch service 8	binding-only original body	mvdm-host	formal candidate	needs initialized original UMB list and register facade
XMS-021	xms.486/xmsumb.c:xmsReleaseUMBNotify	original UMB release callback	binding-only original body	mvdm-host	formal candidate	needs selected original UMB lifecycle
XMS-022	xms.486/xmsumb.c:xmsInsertUMB	original UMB release helper	original body plus registered numeric UMB-address overlay	mvdm-host + mvdm-host-overlay	formal candidate	needs selected original UMB lifecycle
XMS-023	xms.486/xms.h:xmsGetMemorySize	declaration only; no selected source caller or definition	original-unavailable declaration, no invented provider	unselected historical interface	negative source scan	no current runtime consumer; must not be fabricated
XMS-024	xms.486/xms.h:xmsGetDefaultVDMSize	declaration only; no selected source caller or definition	original-unavailable declaration, no invented provider	unselected historical interface	negative source scan	no current runtime consumer; must not be fabricated
XMS-025	xms.486/xms.h:sas_manage_xms	conditional declaration only; no selected source caller or definition	original-unavailable declaration, no invented provider	unselected historical interface	negative source scan	no current runtime consumer; distinct from selected CCPU SAS
