"target_path"	"source_path"	"source_sha256"	"size_bytes"	"action"
"autoexec.nt"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\autoexec.nt"	"c2a23a5fb96682c33d99c13a57e6f3c1e10dfd3d263d972775a8c42bfb6a9a9b"	"438"	"already-identical"
"config.nt"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\config.nt"	"6ae1e74e78de00c0fa03124e6f947d977c71f253855ad2af979554074aea189a"	"2510"	"already-identical"
"ctl3dv2.map"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\ctl3dv2.map"	"862d762ce3ce3619ed3321d9eec69b8d5a1fbca42b52a9d914128a1e11d485c1"	"20463"	"already-identical"
"ctl3dv2.sym"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\ctl3dv2.sym"	"7b0a89b4f21c4cecd344c38f25de8951fe1e4e57b26d067f090754430dd0b6d9"	"2068"	"already-identical"
"lanman.drv"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\lanman.drv"	"60204f58744d38e9201ba958d45c483ce7989b216b98a67ce5aa355af37dec02"	"221600"	"already-identical"
"makefile"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\makefile"	"2a5aacafe216a9bd3b46fa0929c522ead66e7ba7e81e24258bd53f59b89fda6b"	"579"	"already-identical"
"pifedit.hlp"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\pifedit.hlp"	"20bb0049acbeda2a403dd07204ec82102671fc97359691b0ed0009b33c3e788c"	"33508"	"already-identical"
"regedit.hlp"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\regedit.hlp"	"1e857dcc7e9ea31b6b8232c8b5f973cbe2dffbdbca649756d2a77c520b1020e6"	"22681"	"already-identical"
"system.ini"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\system.ini"	"6f533ccc79227e38f18bfc63bfc961ef4d3ee0e2bf33dd097ccf3548a12b743b"	"219"	"already-identical"
"write.hlp"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\bin86\write.hlp"	"b6b131a2fc1fcb7ad69ea7404fa35b46cf21549913293f3d412708fa8c138f67"	"36929"	"already-identical"
