"target_path"	"package_root"	"s6_input_class"	"selected_source_path"	"selected_source_sha256"	"action"	"source_selection"
"bde/bdecmds.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"already-identical"	"dual-identical"
"bde/bdeheap.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"already-identical"	"dual-identical"
"bde/bdemisc.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"already-identical"	"dual-identical"
"bde/bdestack.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"already-identical"	"dual-identical"
"bde/bdesym.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"already-identical"	"dual-identical"
"bde/bdeutil.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"already-identical"	"dual-identical"
"bde/data.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\data.c"	"5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16"	"already-identical"	"dual-identical"
"bde/disasm.c"	"bde"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\bde\disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"already-identical"	"dual-identical"
"dbg/dbg.c"	"dbg"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dbg\dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"already-identical"	"dual-identical"
"dos/command/cmd.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmd.c"	"9d0a773fcc8d7765b0fe3fe3750b5c9a29a596362f78a221161318fd83cc0262"	"already-identical"	"dual-identical"
"dos/command/cmdconf.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"already-identical"	"dual-identical"
"dos/command/cmddata.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmddata.c"	"937c134e46b5c714b9106d85fd0250b88fca5958e69a1e60fdeab558d4f4f8d2"	"already-identical"	"dual-identical"
"dos/command/cmddisp.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmddisp.c"	"2a906e7100da9db6f16bab91c767b149f28e63a0db2803297812a8e86d2b19d6"	"already-identical"	"dual-identical"
"dos/command/cmdenv.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"already-identical"	"dual-identical"
"dos/command/cmdexec.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"already-identical"	"dual-identical"
"dos/command/cmdexit.c"	"dos"	"defer-provider-body-s6"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmdexit.c"	"3fb4616667b2b73f00ed56d5944a786be741f5db511e6f0d5f6a751593a418c9"	"already-identical"	"dual-identical"
