"reference_path"	"sha256"	"candidate_kind"	"interface_id"	"disposition"	"successor"	"rationale"
"adapter-bop/bop_ingress.c"	"26bf673c55219dfeb80835034c74c8950da898a4fcb0bd6636e54079a5d80bd1"	"implementation-candidate"	"ADAPTER-IF-001"	"split-recover"	"T275 S2"	"selector-blind copied ingress/completion only"
"adapter-bop/bop_ingress.h"	"2fa759e0fe24fc397f967e8558696ac89a7368678d300431a769e3c7cda4c368"	"declaration-candidate"	"ADAPTER-IF-001"	"recover-if-required-by-S2"	"T275 S2"	"declaration follows retained selector-blind transport only"
"adapter-bop/frame_transaction.c"	"f54233838494a30107acaf404bcecbc949bbfbe9ad1005443670da0634f2183c"	"implementation-candidate"	"ADAPTER-IF-001"	"split-recover"	"T275 S2"	"selector-blind copied ingress/completion only"
"adapter-bop/frame_transaction.h"	"1367fe2aa70998bfe631fb8055da8017f580d4270e02e9758b548828f2ad3b99"	"declaration-candidate"	"ADAPTER-IF-001"	"recover-if-required-by-S2"	"T275 S2"	"declaration follows retained selector-blind transport only"
"adapter-bop/generic_ud_bridge.cc"	"6f148577ce874b901c566c04ed680338ec0f81e03d36d5d6c8daf96f80e22c6f"	"implementation-candidate"	"ADAPTER-IF-001"	"split-recover"	"T275 S2"	"selector-blind copied ingress/completion only"
"adapter-bop/generic_ud_bridge.h"	"25bd88a5225bd7bc11bddd911f5d5466710e5db308912b7016d6a4620ef795e9"	"declaration-candidate"	"ADAPTER-IF-001"	"recover-if-required-by-S2"	"T275 S2"	"declaration follows retained selector-blind transport only"
"adapter-bop/README.md"	"714f0bc5e837416a1084a0e0c96fb584f63bb51b29c75065c99b46d2fdc2d3de"	"supporting-reference"	"REFERENCE"	"retain-as-reference-only"	"docs/etc or source provenance"	"not an adapter ABI input"
"adapter-softpc/a20_capability.cc"	"fe265e099703a8a7684b758a60f9aa21041943f081cd6d7d361fcfd0d1e1ac46"	"implementation-candidate"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/a20_capability.h"	"9297ac4fb9a61501055f7ceb2ef2b71a52c1a1a87b648be10cf91d3569db7aec"	"declaration-candidate"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/bulk_result_transaction.c"	"e4ae7184d9d6a921a073eb9863ed55a902d61926f8075856aec52869274a2011"	"implementation-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/bulk_result_transaction.h"	"17915ef678ac805b0b46fc763f1ece57222acd178924f7e6fe4248f0c7c41f32"	"declaration-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport"
"adapter-softpc/cancellation_controller.h"	"c2a3158a2ffdc3950d866403935b2e671fc50f6744d4b74097b31c34acd2e9bf"	"declaration-candidate"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper"
"adapter-softpc/ccpu_frame_context.c"	"55f1006b3c2f7b7c4a32364dceba24be03304dabcd6555c308adcc64f95c9e0e"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/ccpu_frame_context.h"	"592858ee6ab42338e9c33e2d4188590ec3b59e4ea1bebe63903d18d384857ae6"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/controlled_stop_service.c"	"f22a033dd68f97739d5e8cdf95136644da27f62b0e087a0efa5d20db30da16b5"	"implementation-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/controlled_stop_service.h"	"473fd08ebe4e02bad5e8c7d3b0302824a43817a9b03ab70611cdfa79c26e531f"	"declaration-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport"
"adapter-softpc/cpu_delta_abi.c"	"7d654ffc26a793f9f54c88c05e1b9ab0e386e1e373ff25fb3b598bf1a102930a"	"implementation-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/cpu_delta_abi.h"	"1f46b3479b93c315ee0c83ed5660ec659f38ed9332c611adc9ee686d697d75f8"	"declaration-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport"
"adapter-softpc/cpu_result.c"	"c4b86d8737b389dc867439687fde0ef2c2093e819078026723e0eac1c632e53a"	"implementation-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/cpu_result.h"	"dbcc32d835932e20d795a2a6862c388feda6690845b31ad2216bb66f02fc7158"	"declaration-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport"
"adapter-softpc/cpu_state_abi.c"	"b7a26973fe89b9d43a1db0a6524ea3347c53950c76cc78d2d3a1c067d2f87e00"	"implementation-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/cpu_state_abi.h"	"b097c8fa968380fad58f80a3e3a74f7bcc7bc4ae7126f157378f5e83bafc73b2"	"declaration-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport"
"adapter-softpc/dem/ccpu_sas_facade.c"	"d4ab01df09197cec7a4f9cb842b32bd46b483770cd30582940a0367e1d6cef9d"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/dem/ccpu_sas_facade.h"	"28001d57954ce99555fd5bcd4406641630eeffa29e3120f3c4f83d4ed34d4948"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/dem/direct_context.c"	"b3ffbeb7e4205efb16d715d50ecb71ebb171246a9f3891092780617004440026"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
