"reference_path"	"sha256"	"interface_id"	"disposition"	"successor"	"rationale"
"adapter-bop/bop_ingress.c"	"26bf673c55219dfeb80835034c74c8950da898a4fcb0bd6636e54079a5d80bd1"	"ADAPTER-IF-001"	"split-recover"	"T275 S2"	"selector-blind copied ingress/completion only"
"adapter-bop/frame_transaction.c"	"f54233838494a30107acaf404bcecbc949bbfbe9ad1005443670da0634f2183c"	"ADAPTER-IF-001"	"split-recover"	"T275 S2"	"selector-blind copied ingress/completion only"
"adapter-bop/generic_ud_bridge.cc"	"6f148577ce874b901c566c04ed680338ec0f81e03d36d5d6c8daf96f80e22c6f"	"ADAPTER-IF-001"	"split-recover"	"T275 S2"	"selector-blind copied ingress/completion only"
"adapter-softpc/a20_capability.cc"	"fe265e099703a8a7684b758a60f9aa21041943f081cd6d7d361fcfd0d1e1ac46"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/bulk_result_transaction.c"	"e4ae7184d9d6a921a073eb9863ed55a902d61926f8075856aec52869274a2011"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/ccpu_frame_context.c"	"55f1006b3c2f7b7c4a32364dceba24be03304dabcd6555c308adcc64f95c9e0e"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/controlled_stop_service.c"	"f22a033dd68f97739d5e8cdf95136644da27f62b0e087a0efa5d20db30da16b5"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/cpu_delta_abi.c"	"7d654ffc26a793f9f54c88c05e1b9ab0e386e1e373ff25fb3b598bf1a102930a"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/cpu_result.c"	"c4b86d8737b389dc867439687fde0ef2c2093e819078026723e0eac1c632e53a"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/cpu_state_abi.c"	"b7a26973fe89b9d43a1db0a6524ea3347c53950c76cc78d2d3a1c067d2f87e00"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/dem/ccpu_sas_facade.c"	"d4ab01df09197cec7a4f9cb842b32bd46b483770cd30582940a0367e1d6cef9d"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/dem/direct_context.c"	"b3ffbeb7e4205efb16d715d50ecb71ebb171246a9f3891092780617004440026"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/exception_abi.c"	"d88e06338d9cdad6be1d4247d420227fc47586646ee8af79517b7fcbb23f8d30"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
