"package_root"	"original_role"	"original_build_profile_disposition"	"predecessor_packages_or_interfaces"	"candidate_wave"	"profile_state"	"blocked_successor"	"evidence"
"dirs"	"top-level original build control"	"build-control-only"	"none"	"W0-source-carriers"	"unreviewed"	"none"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-DIRS; m0-t276-s2-original-build-description-ledger.tsv"
"makefil0"	"shared original build control"	"build-control-only"	"none"	"W0-source-carriers"	"unreviewed"	"none"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-MAKEFIL0; m0-t276-s2-original-build-description-ledger.tsv"
"inc"	"shared original MVDM declarations"	"header-carrier-only"	"none"	"W0-source-carriers"	"unreviewed"	"all compiled packages"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-INC; m0-t276-s3-textual-declaration-ledger.tsv"
"oemuni"	"OEM/Unicode support library"	"support-library-candidate"	"inc; CRT/toolchain"	"W1-support"	"unreviewed"	"host-capability ABI review"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-OEMUNI; m0-t276-s2-original-build-description-ledger.tsv"
"suballoc"	"suballocation support library"	"support-library-candidate"	"inc; CRT/toolchain"	"W1-support"	"unreviewed"	"allocator ABI review"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-SUBALLOC; m0-t276-s2-original-build-description-ledger.tsv"
"vdmutils"	"historical VDM utility programs/libraries"	"mixed-support-and-tool-profile"	"inc; adapter-win32 public API review"	"W1-support"	"unreviewed"	"tool/program versus reusable library split"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-VDMUTILS; m0-t276-s2-original-build-description-ledger.tsv"
"softpc.new"	"original SoftPC host, device and CPU source universe"	"mixed-machine-profile; CPU execution bodies are Bochs-replacement candidates"	"inc; adapter-softpc; adapter-bochs; adapter-win32"	"W2-machine-boundary"	"unreviewed"	"per-subpackage CPU/body exclusion and Bochs mechanical seam"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-SOFTPC-NEW; m0-t276-s2-original-build-description-ledger.tsv; m0-t276-s8-original-provider-form-ledger.tsv"
"sim16"	"SIM16 monitor/memory support"	"machine-adapter-dependent"	"inc; softpc.new machine interfaces; adapter-softpc; adapter-vdm-monitor"	"W3-monitor-memory"	"unreviewed"	"SAS/monitor ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-SIM16; m0-t276-s2-original-build-description-ledger.tsv"
"sim32"	"SIM32 monitor/memory support"	"machine-adapter-dependent"	"inc; softpc.new machine interfaces; adapter-softpc; adapter-vdm-monitor"	"W3-monitor-memory"	"unreviewed"	"SAS/32-bit object-space ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-SIM32; m0-t276-s8-original-provider-form-ledger.tsv:MVDM-WORK-00023"
"v86"	"V86 monitor/scaffold support"	"machine-adapter-dependent"	"inc; softpc.new machine interfaces; adapter-softpc; adapter-vdm-monitor; session"	"W3-monitor-memory"	"unreviewed"	"monitor lifecycle and machine interrupt ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-V86; m0-t276-s2-original-build-description-ledger.tsv"
"xms.486"	"XMS/A20/UMB service package"	"machine-adapter-dependent"	"inc; softpc.new memory interfaces; adapter-softpc; session"	"W3-monitor-memory"	"unreviewed"	"XMS memory/UMB seam closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-XMS-486; m0-t276-s2-original-build-description-ledger.tsv"
"dos"	"DEM and COMMAND host-service providers"	"host-service-adapter-dependent"	"inc; adapter-bop; adapter-softpc; adapter-win32; session; support wave"	"W4-host-service"	"unreviewed"	"BOP ingress, host capability and session lifecycle ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-DOS; m0-t276-s2-original-build-description-ledger.tsv"
"dpmi"	"DPMI host-service package"	"machine-adapter-dependent"	"inc; softpc.new machine interfaces; adapter-softpc; session; W3"	"W4-host-service"	"unreviewed"	"protected-mode/memory and monitor ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-DPMI; m0-t276-s2-original-build-description-ledger.tsv"
"dpmi32"	"32-bit DPMI support package"	"machine-adapter-dependent"	"inc; dpmi; softpc.new CPU interfaces; adapter-softpc; session; W3"	"W4-host-service"	"unreviewed"	"32-bit CPU/memory ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-DPMI32; m0-t276-s8-original-provider-form-ledger.tsv:MVDM-WORK-00001"
"vdmredir"	"VDM redirector provider"	"specialist-adapter-dependent"	"inc; softpc.new interfaces; adapter-redir; broker; adapter-win32; session"	"W5-product-extensions"	"unreviewed"	"redirector/broker protocol closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-VDMREDIR; m0-t276-s2-original-build-description-ledger.tsv"
"wow32"	"WOW16 host broker/provider"	"specialist-adapter-dependent"	"inc; vdd interfaces; adapter-wow; adapter-win32; session; broker"	"W5-product-extensions"	"unreviewed"	"WOW broker, callback and 16/32 object-space closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-WOW32; m0-t276-s2-original-build-description-ledger.tsv"
"fax"	"historical FAX/WOW extension"	"specialist-extension-profile"	"wow32; vdd; adapter-wow; adapter-vdd; adapter-win32"	"W5-product-extensions"	"unreviewed"	"explicit product-profile admission"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-FAX; m0-t276-s2-original-build-description-ledger.tsv"
"vdd"	"VDD services and sample extension package"	"specialist-adapter-dependent"	"inc; softpc.new machine interfaces; adapter-vdd; adapter-softpc; session"	"W5-product-extensions"	"unreviewed"	"VDD public callback and device capability closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-VDD; m0-t276-s2-original-build-description-ledger.tsv"
"ieuvddex"	"IEU VDD/debug extension"	"specialist-extension-profile"	"vdd; adapter-vdd; adapter-debugger; adapter-win32"	"W5-product-extensions"	"unreviewed"	"extension debugger/VDD ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-IEUVDDEX; m0-t276-s2-original-build-description-ledger.tsv"
"bde"	"binary debugger extension"	"specialist-adapter-dependent"	"inc; adapter-debugger; adapter-win32"	"W5-product-extensions"	"unreviewed"	"debugger callback ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-BDE; m0-t276-s2-original-build-description-ledger.tsv"
"dbg"	"historical debugger package"	"specialist-adapter-dependent"	"inc; adapter-debugger; adapter-win32"	"W5-product-extensions"	"unreviewed"	"debugger host API closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-DBG; m0-t276-s2-original-build-description-ledger.tsv"
"vdmdbg"	"VDM debugger dynamic extension"	"specialist-adapter-dependent"	"inc; adapter-debugger; adapter-win32; session"	"W5-product-extensions"	"unreviewed"	"debugger extension ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-VDMDBG; m0-t276-s2-original-build-description-ledger.tsv"
"vdmexts"	"VDM debugger extension helpers"	"specialist-adapter-dependent"	"inc; adapter-debugger; adapter-win32; session"	"W5-product-extensions"	"unreviewed"	"WinDbg callback/object-space ABI closure"	"mvdm-package-dependency-ledger.tsv:MVDM-PACKAGE-VDMEXTS; m0-t276-s8-original-provider-form-ledger.tsv:MVDM-WORK-00024,MVDM-WORK-00025"
