"call_id"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"lexical_callee"	"original_correlation"	"declaration_candidate_ids"	"file_provisional_disposition"	"call_accounting_state"	"evidence"
"MVDM-CALL-006146"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1020"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1020"
"MVDM-CALL-006147"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1021"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1021"
"MVDM-CALL-006148"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1022"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1022"
"MVDM-CALL-006149"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1026"	"RtlUnicodeStringToAnsiString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1026"
"MVDM-CALL-006150"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1027"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1027"
"MVDM-CALL-006151"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1031"	"OutputDebugStringA"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1031"
"MVDM-CALL-006152"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1037"	"RtlFreeUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1037"
"MVDM-CALL-005960"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"104"	"CreateFileW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:104"
"MVDM-CALL-006153"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1040"	"RtlFreeAnsiString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1040"
"MVDM-CALL-006154"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1047"	"GetComputerNameOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1047"
"MVDM-CALL-006155"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1069"	"RtlAllocateHeap"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1069"
"MVDM-CALL-006156"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1069"	"RtlProcessHeap"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1069"
"MVDM-CALL-006157"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1071"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1071"
