"file_id"	"target_path"	"package_root"	"final_component_owner"	"file_kind"	"original_build_membership"	"provisional_composition_disposition"	"source_role_and_reason"	"original_evidence"	"interface_state"	"final_state"
"MVDM-FILE-0017"	"dirs"	"dirs"	"opennt-mvdm-support"	"build-control"	"not-a-translation-unit"	"build-control-carrier"	"original build-control input; no runtime translation unit"	"original build description only"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0186"	"inc/apistruc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0187"	"inc/APISTRUC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0188"	"inc/bop.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0189"	"inc/BOP.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0190"	"inc/cmdsvc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0191"	"inc/CMDSVC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0192"	"inc/curdir.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0193"	"inc/CURDIR.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0194"	"inc/dbgexp.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
