"source_path"	"original_interface_family"	"representative_symbols"	"proposed_owner_or_nonowner"	"provisional_interface_state"	"source_derived_reason"	"evidence"
"oemuni/file.c"	"public Win32 file/path/drive APIs"	"CreateDirectoryW;CreateFileW;DeleteFileW;FindFirstFileW;FindNextFileW;FindClose;GetCurrentDirectoryW;GetDiskFreeSpaceW;GetDriveTypeW;GetFileAttributesW;GetFullPathNameW;GetVolumeInformationW;MoveFileExW;MoveFileW;RemoveDirectoryW;RemoveFontResourceW;SetCurrentDirectoryW;SetFileAttributesW;SetLastError;OutputDebugStringA"	"adapter-win32"	"adapter-binding-review"	"original OEM wrappers preserve algorithm; public calls are available but original OEM/ANSI/NT error ABI must be retained"	"oemuni/file.c; original sources description where applicable"
"oemuni/file.c"	"NT RTL/PEB/TEB conversion and heap APIs"	"NtCurrentPeb;NtCurrentTeb;RtlAcquirePebLock;RtlAllocateHeap;RtlEqualUnicodeString;RtlFreeAnsiString;RtlFreeHeap;RtlFreeOemString;RtlFreeUnicodeString;RtlGetCurrentDirectory_U;RtlGetFullPathName_U;RtlInitAnsiString;RtlInitString;RtlInitUnicodeString;RtlOemStringToUnicodeString;RtlProcessHeap;RtlReleasePebLock;RtlSetCurrentDirectory_U;RtlUnicodeStringToAnsiString;RtlUnicodeStringToOemString"	"adapter-win32"	"adapter-binding-review"	"historical NTDLL-facing ABI requires same-shaped compatibility assessment before source enablement"	"oemuni/file.c; original sources description where applicable"
"oemuni/process.c"	"public Win32 process/environment/path APIs"	"CreateProcessW;ExpandEnvironmentStrings;GetEnvironmentVariableA;GetShortPathNameW;GetSystemDirectoryW;GetTempFileNameW;GetTempPathW;GetWindowsDirectoryW;SearchPathW;SetEnvironmentVariableA;SetLastError"	"adapter-win32"	"adapter-binding-review"	"public APIs exist; original OEM conversion and process semantics must remain in mirror source"	"oemuni/process.c; original sources description where applicable"
"oemuni/process.c"	"NT RTL/TEB conversion and heap APIs"	"NtCurrentTeb;RtlAllocateHeap;RtlAnsiStringToUnicodeString;RtlFreeAnsiString;RtlFreeHeap;RtlFreeUnicodeString;RtlInitString;RtlInitUnicodeString;RtlOemStringToUnicodeSize;RtlOemStringToUnicodeString;RtlProcessHeap;RtlUnicodeStringToAnsiString;RtlUnicodeStringToOemString"	"adapter-win32"	"adapter-binding-review"	"historical NTDLL-facing ABI requires same-shaped compatibility assessment before source enablement"	"oemuni/process.c; original sources description where applicable"
"oemuni/toemuni.c"	"original console test program"	"CreateDirectoryOem;CreateFileOem;DeleteFileOem;GetCurrentDirectory;GetEnvironmentVariableOem;GetSystemDirectory;GetTempFileNameOem;GetTempPathOem;GetWindowsDirectoryOem;RemoveDirectoryOem;SetCurrentDirectoryOem;SetEnvironmentVariableOem;CloseHandle;getch;printf"	"none"	"profile-excluded"	"UMTEST only; test does not prove or enable the oemuni library"	"oemuni/toemuni.c; original sources description where applicable"
"suballoc/suballoc.c"	"CRT allocator and public diagnostic surface"	"malloc;OutputDebugString;RtlZeroMemory;sprintf"	"adapter-win32-and-toolchain"	"adapter-binding-review"	"original library member; CRT allocation ABI and optional diagnostic binding require explicit x86/x64 review"	"suballoc/suballoc.c; original sources description where applicable"
"suballoc/tsa.c"	"original suballoc stress-test native virtual-memory APIs"	"NtAllocateVirtualMemory;NtCurrentProcess;NtFreeVirtualMemory;RtlMoveMemory;malloc;free;printf"	"none"	"profile-excluded"	"UMTEST-only stress program; no runtime enablement follows from its source presence"	"suballoc/tsa.c; original sources description where applicable"
"suballoc/debug.c"	"empty/debug-only source carrier"	"none"	"none"	"profile-excluded"	"not listed in original SOURCES or UMTEST membership"	"suballoc/debug.c; original sources description where applicable"
"vdmutils/forcedos/forcedos.c"	"standalone FORCEDOS console/process utility"	"CreateProcess;WaitForSingleObject;GetExitCodeProcess;GetStdHandle;WriteFile;GetCurrentDirectory;GetEnvironmentVariable;GetFileAttributes;SearchPath;SetCurrentDirectory;ExitProcess;NT RTL string conversion"	"none"	"profile-excluded"	"original UMAPPL console utility, not a reusable host provider"	"vdmutils/forcedos/forcedos.c; original sources description where applicable"
"vdmutils/graftabl/graftabl.c"	"standalone GRAFTABL console/code-page utility"	"CharToOem;GetConsoleOutputCP;SetConsoleOutputCP;LoadString;console CRT"	"none"	"profile-excluded"	"original UMAPPL console utility, not a reusable host provider"	"vdmutils/graftabl/graftabl.c; original sources description where applicable"
"vdmutils/pifedit/mods.c"	"PIFEDIT GUI support"	"GetTextExtent;GetTextExtentPoint;memcpy;unlink"	"none"	"profile-excluded"	"support object of historical PIFEDIT Windows product"	"vdmutils/pifedit/mods.c; original sources description where applicable"
"vdmutils/pifedit/pifedit.c"	"PIFEDIT GUI, shell and common-dialog product surface"	"User32/GDI32;Shell32;Comdlg32;WinHelp;drag/drop;profile APIs;legacy window/data APIs"	"none"	"profile-excluded"	"historical PIFEDIT Windows product, outside MVDM host runtime profile"	"vdmutils/pifedit/pifedit.c; original sources description where applicable"
"vdmutils/pifedit/pifsubs.c"	"PIFEDIT file/dialog support"	"OpenFile;_lread;_lwrite;_llseek;_lclose;User32 dialog APIs;GetEnvironmentVariable"	"none"	"profile-excluded"	"support object of historical PIFEDIT Windows product"	"vdmutils/pifedit/pifsubs.c; original sources description where applicable"
"vdmutils/win/win.c"	"standalone WIN launcher utility"	"CreateProcess;WaitForSingleObject;GetExitCodeProcess;CloseHandle;GetLastError;RtlZeroMemory"	"none"	"profile-excluded"	"original UMAPPL Windows .COM launcher, not a reusable host provider"	"vdmutils/win/win.c; original sources description where applicable"
