"file_id"	"source_path"	"file_kind"	"original_literal_build_membership"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0018"	"dos/command/cmd.c"	"source"	"observed-in-literal-sources"	"command-service-entry"	"opennt-mvdm-host"	"adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-bop (BOP ABI lexical surface)"	"original COMMAND service entry and result contract; preserve dispatch shape before individual services are admitted"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmd.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0019"	"dos/command/cmd.h"	"declaration"	"not-a-translation-unit"	"command-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-win32 (historical Win32/NTDLL lexical surface); session (VDM session/lifecycle lexical surface)"	"original COMMAND declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/command/cmd.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"source"	"observed-in-literal-sources"	"command-bootstrap-configuration"	"opennt-mvdm-host"	"adapter-softpc; adapter-win32; session; opennt-mvdm-support"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); opennt-mvdm-support (OEM/NLS lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original CONFIG.SYS/AUTOEXEC bootstrap and configuration transfer; retain the source-owned ordering"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdconf.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0021"	"dos/command/cmddata.c"	"source"	"observed-in-literal-sources"	"command-shared-state"	"opennt-mvdm-host"	"session; adapter-softpc"	"session (VDM session/lifecycle lexical surface)"	"original COMMAND global state and VDM-facing data definitions; recover only with explicit session ownership"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmddata.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"source"	"observed-in-literal-sources"	"command-service-dispatch"	"opennt-mvdm-host"	"adapter-bop; adapter-softpc"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-bop (BOP ABI lexical surface)"	"original COMMAND BOP service dispatch; selector meanings stay source-owned"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmddisp.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"source"	"observed-in-literal-sources"	"command-environment"	"opennt-mvdm-host"	"adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); opennt-mvdm-support (OEM/NLS lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original DOS-to-host environment transformation and current-directory data; requires session-owned modern host environment binding"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdenv.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"source"	"observed-in-literal-sources"	"command-child-lifecycle"	"opennt-mvdm-host"	"session; adapter-win32; adapter-softpc"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); opennt-mvdm-support (OEM/NLS lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original COMMAND child creation, wait and re-entry control flow; requires the session lifecycle contract, not a replacement command runner"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdexec.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"source"	"observed-in-literal-sources"	"command-child-return"	"opennt-mvdm-host"	"session; adapter-softpc"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); adapter-bop (BOP ABI lexical surface)"	"original COMMAND exit/re-entry result path; depends on source-owned child lifecycle and guest return contracts"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdexit.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"source"	"observed-in-literal-sources"	"command-keyboard-layout"	"opennt-mvdm-host"	"adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original keyboard-layout discovery/configuration provider; public host input binding must retain original failure behavior"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdkeyb.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0027"	"dos/command/cmdkeyb.h"	"declaration"	"not-a-translation-unit"	"command-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"none detected in retained source text"	"original COMMAND declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/command/cmdkeyb.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
