"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-1308"	"v86/dirs"	"resource-or-other"	"historical-build-description"	"opennt-mvdm-host"	"build governance"	"none"	"original build selection and profile evidence only; no modern build edge is enabled by this audit"	"build-description-only"	"provisional-not-enabled"	"v86/dirs; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1309"	"v86/monitor/i386/fastpm.asm"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/fastpm.asm; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1310"	"v86/monitor/i386/int.c"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/int.c; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1311"	"v86/monitor/i386/monitor.c"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/monitor.c; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1312"	"v86/monitor/i386/monitorp.h"	"declaration"	"historical-vdm-monitor-declaration"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; checked guest-memory leases"	"original monitor declaration and data-layout evidence; any recovered callback form must use copied CPU frames and the unique mapping manager, never a raw host VDM pointer"	"declaration and monitor-API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/monitorp.h; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1313"	"v86/monitor/i386/proflib.c"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/proflib.c; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1314"	"v86/monitor/i386/sas.c"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/sas.c; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1315"	"v86/monitor/i386/sources"	"resource-or-other"	"historical-build-description"	"opennt-mvdm-host"	"build governance"	"none"	"original build selection and profile evidence only; no modern build edge is enabled by this audit"	"build-description-only"	"provisional-not-enabled"	"v86/monitor/i386/sources; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1316"	"v86/monitor/i386/spcstubs.c"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/spcstubs.c; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
"MVDM-FILE-1317"	"v86/monitor/i386/thread.c"	"source"	"historical-kernel-vdm-monitor"	"opennt-mvdm-host"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; session guest-memory mapping manager"	"NT VDM_TIB/event/NtVdmControl; CCPU/SAS/SoftPC; BOP/interrupt/port callbacks; checked guest-memory leases"	"original monitor dispatches NT kernel VDM events and exposes register, BOP, interrupt, port and memory callbacks; retain the source/API evidence, but no kernel-VDM monitor body is composed"	"historical-monitor-body profile exclusion; same-shaped monitor API recovery prerequisite"	"provisional-not-enabled"	"v86/monitor/i386/thread.c; v86/monitor/sources; v86/monitor/i386/sources; v86/scaffold/sources; v86/scaffold/i386/sources"
