"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0163"	"ieuvddex/alpha/helpp.c"	"source"	"historical-non-x86-debugger-extension-form"	"opennt-mvdm-host"	"adapter-debugger; build governance"	"processor-specific debugger-extension help form"	"original Alpha/MIPS/PPC help/build form; retain for source/provenance completeness but exclude from x86/x64 host recovery profile"	"non-x86 profile exclusion; source evidence only"	"provisional-not-enabled"	"ieuvddex/alpha/helpp.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0164"	"ieuvddex/alpha/sources"	"resource-or-other"	"historical-non-x86-debugger-extension-form"	"opennt-mvdm-host"	"adapter-debugger; build governance"	"processor-specific debugger-extension help form"	"original Alpha/MIPS/PPC help/build form; retain for source/provenance completeness but exclude from x86/x64 host recovery profile"	"non-x86 profile exclusion; source evidence only"	"provisional-not-enabled"	"ieuvddex/alpha/sources; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0165"	"ieuvddex/data.c"	"source"	"historical-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original NTSD/WinDbg debugger extension body that reads a separate NTVDM process by symbols and ReadProcessMemory; preserve API and display-order evidence, but it is not an in-process VDD runtime provider"	"debugger-product profile exclusion; same-shaped diagnostic API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/data.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0166"	"ieuvddex/help.c"	"source"	"historical-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original NTSD/WinDbg debugger extension body that reads a separate NTVDM process by symbols and ReadProcessMemory; preserve API and display-order evidence, but it is not an in-process VDD runtime provider"	"debugger-product profile exclusion; same-shaped diagnostic API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/help.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0167"	"ieuvddex/i386/helpp.c"	"source"	"historical-x86-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original x86 NTSD/WinDbg extension body for VDM_TIB, context, profiling and reflection inspection; any future recovery reads a copied session diagnostic snapshot, never internal process addresses or raw guest pointers"	"debugger-product profile exclusion; copied diagnostic-snapshot API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/i386/helpp.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0168"	"ieuvddex/i386/profile.c"	"source"	"historical-x86-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original x86 NTSD/WinDbg extension body for VDM_TIB, context, profiling and reflection inspection; any future recovery reads a copied session diagnostic snapshot, never internal process addresses or raw guest pointers"	"debugger-product profile exclusion; copied diagnostic-snapshot API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/i386/profile.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0169"	"ieuvddex/i386/reflect.c"	"source"	"historical-x86-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original x86 NTSD/WinDbg extension body for VDM_TIB, context, profiling and reflection inspection; any future recovery reads a copied session diagnostic snapshot, never internal process addresses or raw guest pointers"	"debugger-product profile exclusion; copied diagnostic-snapshot API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/i386/reflect.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0170"	"ieuvddex/i386/regs.c"	"source"	"historical-x86-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original x86 NTSD/WinDbg extension body for VDM_TIB, context, profiling and reflection inspection; any future recovery reads a copied session diagnostic snapshot, never internal process addresses or raw guest pointers"	"debugger-product profile exclusion; copied diagnostic-snapshot API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/i386/regs.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0171"	"ieuvddex/i386/sources"	"resource-or-other"	"historical-debugger-extension-build-description"	"opennt-mvdm-host"	"build governance; adapter-debugger"	"historical NTSD/WinDbg extension build selection"	"original debugger-extension build-selection evidence only; it does not enable a DLL or debugger API edge"	"build-description-only"	"provisional-not-enabled"	"ieuvddex/i386/sources; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0172"	"ieuvddex/i386/vdmtib.c"	"source"	"historical-x86-debugger-extension-body"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original x86 NTSD/WinDbg extension body for VDM_TIB, context, profiling and reflection inspection; any future recovery reads a copied session diagnostic snapshot, never internal process addresses or raw guest pointers"	"debugger-product profile exclusion; copied diagnostic-snapshot API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/i386/vdmtib.c; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0173"	"ieuvddex/ieuvddex.h"	"declaration"	"historical-debugger-extension-declaration"	"opennt-mvdm-host"	"adapter-debugger; session diagnostic snapshot/export boundary"	"historical NTSD/WinDbg extension API; VDM_TIB/context/LDT/PIC/DPMI trace inspection"	"original debugger-extension declaration/layout and callback API evidence; preserve the extension-facing form but bind a later diagnostic facade to fixed-width copied session state"	"declaration and diagnostic-API recovery prerequisite"	"provisional-not-enabled"	"ieuvddex/ieuvddex.h; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
"MVDM-FILE-0174"	"ieuvddex/makefile"	"resource-or-other"	"historical-debugger-extension-build-description"	"opennt-mvdm-host"	"build governance; adapter-debugger"	"historical NTSD/WinDbg extension build selection"	"original debugger-extension build-selection evidence only; it does not enable a DLL or debugger API edge"	"build-description-only"	"provisional-not-enabled"	"ieuvddex/makefile; ieuvddex/sources; ieuvddex/i386/sources; ieuvddex/ntvdm.def"
