"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0058"	"dpmi/486/dosx.exe"	"resource-or-other"	"historical-dosx-guest-product-artifact"	"opennt-guest-dos"	"opennt-guest-dos artifact provenance"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"original DOSX guest product/debug artifact; load-only guest evidence, never host link input"	"guest-artifact-only"	"provisional-not-enabled"	"dpmi/486/dosx.exe; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0059"	"dpmi/486/dosx.map"	"resource-or-other"	"historical-dosx-guest-product-artifact"	"opennt-guest-dos"	"opennt-guest-dos artifact provenance"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"original DOSX guest product/debug artifact; load-only guest evidence, never host link input"	"guest-artifact-only"	"provisional-not-enabled"	"dpmi/486/dosx.map; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0060"	"dpmi/486/dosx.sym"	"resource-or-other"	"historical-dosx-guest-product-artifact"	"opennt-guest-dos"	"opennt-guest-dos artifact provenance"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"original DOSX guest product/debug artifact; load-only guest evidence, never host link input"	"guest-artifact-only"	"provisional-not-enabled"	"dpmi/486/dosx.sym; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0061"	"dpmi/486/dxboot.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxboot.asm; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0062"	"dpmi/486/dxfunc.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxfunc.asm; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0063"	"dpmi/486/dxint31.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxint31.asm; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0064"	"dpmi/486/dxintr.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxintr.asm; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0065"	"dpmi/486/dxmain.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxmain.asm; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0066"	"dpmi/486/dxstrt.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxstrt.asm; dpmi/makefile; dpmi/dosxi.lnk"
"MVDM-FILE-0067"	"dpmi/486/dxutil.asm"	"source"	"historical-dosx-guest-provider-body"	"opennt-guest-dos"	"opennt-guest-dos; adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs; session mapping manager"	"DPMI protected-mode/LDT/exception/memory; BIOS/interrupt reflector; BOP/WOW/SoftPC forms"	"selected by original DOSX 486 object list; 16-bit DPMI provider/interrupt-reflector guest body, retained as a whole guest-product recovery unit"	"guest-provider package prerequisite; no host composition"	"provisional-not-enabled"	"dpmi/486/dxutil.asm; dpmi/makefile; dpmi/dosxi.lnk"
