"edge_id"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"delimiter"	"include_spelling"	"textual_resolution"	"resolved_selected_path"	"resolved_selected_package"	"evidence"
"MVDM-INCLUDE-00001"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"21"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdecmds.c:21"
"MVDM-INCLUDE-00002"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"bde"	"1"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdeheap.c:1"
"MVDM-INCLUDE-00003"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"21"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdemisc.c:21"
"MVDM-INCLUDE-00004"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"23"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdemisc.c:23"
"MVDM-INCLUDE-00005"	"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"1"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdestack.c:1"
"MVDM-INCLUDE-00006"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"1"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdesym.c:1"
"MVDM-INCLUDE-00007"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"1"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/bdeutil.c:1"
"MVDM-INCLUDE-00008"	"MVDM-FILE-0009"	"bde/data.c"	"bde"	"22"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/data.c:22"
"MVDM-INCLUDE-00009"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"23"	"<"	"precomp.h"	"toolchain-or-sdk-textual"	""	""	"bde/disasm.c:23"
"MVDM-INCLUDE-00010"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"12"	"<"	"nt.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:12"
"MVDM-INCLUDE-00011"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"13"	"<"	"ntrtl.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:13"
"MVDM-INCLUDE-00012"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"14"	"<"	"nturtl.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:14"
"MVDM-INCLUDE-00013"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"15"	"<"	"ntdbg.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:15"
"MVDM-INCLUDE-00014"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"16"	"<"	"windows.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:16"
"MVDM-INCLUDE-00015"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"17"	"<"	"stdio.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:17"
"MVDM-INCLUDE-00016"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"18"	"<"	"string.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:18"
"MVDM-INCLUDE-00017"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"19"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:19"
"MVDM-INCLUDE-00018"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"20"	"<"	"bop.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:20"
"MVDM-INCLUDE-00019"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"21"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:21"
"MVDM-INCLUDE-00020"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"22"	"<"	"dbgexp.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:22"
"MVDM-INCLUDE-00021"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"23"	"<"	"dbgsvc.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:23"
"MVDM-INCLUDE-00022"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"24"	"<"	"vdmdbg.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:24"
"MVDM-INCLUDE-00023"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"25"	"<"	"dbginfo.h"	"toolchain-or-sdk-textual"	""	""	"dbg/dbg.c:25"
"MVDM-INCLUDE-00024"	"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"7"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmd.c:7"
"MVDM-INCLUDE-00025"	"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"8"	""""	"cmdsvc.h"	"unresolved-textual"	""	""	"dos/command/cmd.c:8"
"MVDM-INCLUDE-00026"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"8"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdconf.c:8"
"MVDM-INCLUDE-00027"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"9"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdconf.c:9"
"MVDM-INCLUDE-00028"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"10"	"<"	"demexp.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdconf.c:10"
"MVDM-INCLUDE-00029"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"11"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdconf.c:11"
"MVDM-INCLUDE-00030"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"12"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdconf.c:12"
"MVDM-INCLUDE-00031"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"13"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdconf.c:13"
"MVDM-INCLUDE-00032"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"14"	"<"	"oemuni.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdconf.c:14"
"MVDM-INCLUDE-00033"	"MVDM-FILE-0021"	"dos/command/cmddata.c"	"dos"	"9"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmddata.c:9"
"MVDM-INCLUDE-00034"	"MVDM-FILE-0021"	"dos/command/cmddata.c"	"dos"	"10"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmddata.c:10"
"MVDM-INCLUDE-00035"	"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"9"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmddisp.c:9"
"MVDM-INCLUDE-00036"	"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"11"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmddisp.c:11"
"MVDM-INCLUDE-00037"	"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"12"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmddisp.c:12"
"MVDM-INCLUDE-00038"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"10"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdenv.c:10"
"MVDM-INCLUDE-00039"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"12"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:12"
"MVDM-INCLUDE-00040"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"13"	"<"	"demexp.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:13"
"MVDM-INCLUDE-00041"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"14"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:14"
"MVDM-INCLUDE-00042"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"15"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:15"
"MVDM-INCLUDE-00043"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"16"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:16"
"MVDM-INCLUDE-00044"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"17"	"<"	"memory.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:17"
"MVDM-INCLUDE-00045"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"18"	"<"	"oemuni.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdenv.c:18"
"MVDM-INCLUDE-00046"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"10"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdexec.c:10"
"MVDM-INCLUDE-00047"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"12"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexec.c:12"
"MVDM-INCLUDE-00048"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"13"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexec.c:13"
"MVDM-INCLUDE-00049"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"14"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexec.c:14"
"MVDM-INCLUDE-00050"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"15"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexec.c:15"
"MVDM-INCLUDE-00051"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"16"	"<"	"oemuni.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexec.c:16"
"MVDM-INCLUDE-00052"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"17"	"<"	"wowcmpat.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexec.c:17"
"MVDM-INCLUDE-00053"	"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"10"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdexit.c:10"
"MVDM-INCLUDE-00054"	"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"12"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexit.c:12"
"MVDM-INCLUDE-00055"	"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"13"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexit.c:13"
"MVDM-INCLUDE-00056"	"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"14"	"<"	"winbase.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdexit.c:14"
"MVDM-INCLUDE-00057"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"9"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdkeyb.c:9"
"MVDM-INCLUDE-00058"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"10"	"<"	"winconp.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdkeyb.c:10"
"MVDM-INCLUDE-00059"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"11"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdkeyb.c:11"
"MVDM-INCLUDE-00060"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"12"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdkeyb.c:12"
"MVDM-INCLUDE-00061"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"13"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdkeyb.c:13"
"MVDM-INCLUDE-00062"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"14"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdkeyb.c:14"
"MVDM-INCLUDE-00063"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"15"	"<"	"string.H"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdkeyb.c:15"
"MVDM-INCLUDE-00064"	"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"16"	""""	"cmdkeyb.h"	"selected-mvdm-relative"	"dos/command/cmdkeyb.h"	"dos"	"dos/command/cmdkeyb.c:16"
"MVDM-INCLUDE-00065"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"9"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdmisc.c:9"
"MVDM-INCLUDE-00066"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"11"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdmisc.c:11"
"MVDM-INCLUDE-00067"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"12"	"<"	"demexp.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdmisc.c:12"
"MVDM-INCLUDE-00068"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"13"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdmisc.c:13"
"MVDM-INCLUDE-00069"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"14"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdmisc.c:14"
"MVDM-INCLUDE-00070"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"15"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdmisc.c:15"
"MVDM-INCLUDE-00071"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"16"	"<"	"memory.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdmisc.c:16"
"MVDM-INCLUDE-00072"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"17"	""""	"oemuni.h"	"unresolved-textual"	""	""	"dos/command/cmdmisc.c:17"
"MVDM-INCLUDE-00073"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"18"	""""	"nt_pif.h"	"unresolved-textual"	""	""	"dos/command/cmdmisc.c:18"
"MVDM-INCLUDE-00074"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"19"	""""	"nt_uis.h"	"unresolved-textual"	""	""	"dos/command/cmdmisc.c:19"
"MVDM-INCLUDE-00075"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"12"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdpif.c:12"
"MVDM-INCLUDE-00076"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"13"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdpif.c:13"
"MVDM-INCLUDE-00077"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"14"	"<"	"pif.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdpif.c:14"
"MVDM-INCLUDE-00078"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"15"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdpif.c:15"
"MVDM-INCLUDE-00079"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"16"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdpif.c:16"
"MVDM-INCLUDE-00080"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"17"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdpif.c:17"
"MVDM-INCLUDE-00081"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"18"	"<"	"oemuni.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdpif.c:18"
"MVDM-INCLUDE-00082"	"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"19"	""""	"nt_pif.h"	"unresolved-textual"	""	""	"dos/command/cmdpif.c:19"
"MVDM-INCLUDE-00083"	"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"9"	""""	"cmd.h"	"selected-mvdm-relative"	"dos/command/cmd.h"	"dos"	"dos/command/cmdredir.c:9"
"MVDM-INCLUDE-00084"	"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"11"	"<"	"cmdsvc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdredir.c:11"
"MVDM-INCLUDE-00085"	"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"12"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdredir.c:12"
"MVDM-INCLUDE-00086"	"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"13"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdredir.c:13"
"MVDM-INCLUDE-00087"	"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"14"	"<"	"ctype.h"	"toolchain-or-sdk-textual"	""	""	"dos/command/cmdredir.c:14"
"MVDM-INCLUDE-00088"	"MVDM-FILE-0034"	"dos/dem/dem.c"	"dos"	"7"	""""	"io.h"	"unresolved-textual"	""	""	"dos/dem/dem.c:7"
