"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-1421"	"vdmredir/dlstruct.h"	"declaration"	"historical-redirector-declaration"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original Redirector layout/protocol evidence; any guest pointer access must be a mapping-manager lease/copy and host handles remain session-owned"	"declaration and same-shaped adapter prerequisite"	"provisional-not-enabled"	"vdmredir/dlstruct.h; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1422"	"vdmredir/makefile"	"resource-or-other"	"historical-redirector-build-or-export-input"	"opennt-mvdm-host"	"build governance; adapter-redir"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original DLL build/export/resource evidence only"	"build-or-export-evidence-only"	"provisional-not-enabled"	"vdmredir/makefile; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1423"	"vdmredir/sources"	"resource-or-other"	"historical-redirector-build-or-export-input"	"opennt-mvdm-host"	"build governance; adapter-redir"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original DLL build/export/resource evidence only"	"build-or-export-evidence-only"	"provisional-not-enabled"	"vdmredir/sources; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1424"	"vdmredir/vdmredir.def"	"resource-or-other"	"historical-redirector-build-or-export-input"	"opennt-mvdm-host"	"build governance; adapter-redir"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original DLL build/export/resource evidence only"	"build-or-export-evidence-only"	"provisional-not-enabled"	"vdmredir/vdmredir.def; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1425"	"vdmredir/vdmredir.rc"	"resource-or-other"	"historical-redirector-build-or-export-input"	"opennt-mvdm-host"	"build governance; adapter-redir"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original DLL build/export/resource evidence only"	"build-or-export-evidence-only"	"provisional-not-enabled"	"vdmredir/vdmredir.rc; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1426"	"vdmredir/vrdebug.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdebug.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1427"	"vdmredir/vrdebug.h"	"declaration"	"historical-redirector-declaration"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original Redirector layout/protocol evidence; any guest pointer access must be a mapping-manager lease/copy and host handles remain session-owned"	"declaration and same-shaped adapter prerequisite"	"provisional-not-enabled"	"vdmredir/vrdebug.h; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1428"	"vdmredir/vrdisp.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdisp.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1429"	"vdmredir/vrdlc.h"	"declaration"	"historical-redirector-declaration"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original Redirector layout/protocol evidence; any guest pointer access must be a mapping-manager lease/copy and host handles remain session-owned"	"declaration and same-shaped adapter prerequisite"	"provisional-not-enabled"	"vdmredir/vrdlc.h; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1430"	"vdmredir/vrdlc5c.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdlc5c.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1431"	"vdmredir/vrdlcbuf.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdlcbuf.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1432"	"vdmredir/vrdlcdbg.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdlcdbg.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1433"	"vdmredir/vrdlcdbg.h"	"declaration"	"historical-redirector-declaration"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original Redirector layout/protocol evidence; any guest pointer access must be a mapping-manager lease/copy and host handles remain session-owned"	"declaration and same-shaped adapter prerequisite"	"provisional-not-enabled"	"vdmredir/vrdlcdbg.h; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1434"	"vdmredir/vrdlcpst.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdlcpst.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1435"	"vdmredir/vrdll.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrdll.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1436"	"vdmredir/vrica.h"	"declaration"	"historical-redirector-declaration"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original Redirector layout/protocol evidence; any guest pointer access must be a mapping-manager lease/copy and host handles remain session-owned"	"declaration and same-shaped adapter prerequisite"	"provisional-not-enabled"	"vdmredir/vrica.h; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1437"	"vdmredir/vrinit.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrinit.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1438"	"vdmredir/vrmisc.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrmisc.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1439"	"vdmredir/vrmslot.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrmslot.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1440"	"vdmredir/vrnetapi.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrnetapi.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1441"	"vdmredir/vrnetb.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrnetb.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1442"	"vdmredir/vrnmpipe.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrnmpipe.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1443"	"vdmredir/vrputil.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrputil.c; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1444"	"vdmredir/vrputil.h"	"declaration"	"historical-redirector-declaration"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"original Redirector layout/protocol evidence; any guest pointer access must be a mapping-manager lease/copy and host handles remain session-owned"	"declaration and same-shaped adapter prerequisite"	"provisional-not-enabled"	"vdmredir/vrputil.h; vdmredir/sources; vdmredir/vrdisp.c"
"MVDM-FILE-1445"	"vdmredir/vrremote.c"	"source"	"historical-redirector-provider-body"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; opennt-bop DEM/COMMAND"	"Redirector BOP; DEM/COMMAND; named pipes; NetAPI/NetBIOS; DLC/LLC; async session lifecycle; Win32 handles"	"selected by original vdmredir DLL build; named-pipe, network, DLC/LLC, async completion and DOS-pointer protocol form belong to one provider package; retain original logic and adapt only named boundary APIs"	"redirector owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"vdmredir/vrremote.c; vdmredir/sources; vdmredir/vrdisp.c"
