"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0142"	"fax/dirs"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/dirs; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0143"	"fax/dummy.hlp"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/dummy.hlp; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0144"	"fax/dummy.ppd"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/dummy.ppd; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0145"	"fax/faxcomm.h"	"declaration"	"historical-fax-declaration"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax driver/UI ABI and shared layout evidence."	"declaration recovery prerequisite"	"provisional-not-enabled"	"fax/faxcomm.h; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0146"	"fax/printer.inf"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/printer.inf; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0147"	"fax/wowfax/makefile"	"resource-or-other"	"historical-fax-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original driver/DLL build, export or resource input."	"build/resource evidence only"	"provisional-not-enabled"	"fax/wowfax/makefile; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0148"	"fax/wowfax/sources"	"resource-or-other"	"historical-fax-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original driver/DLL build, export or resource input."	"build/resource evidence only"	"provisional-not-enabled"	"fax/wowfax/sources; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0149"	"fax/wowfax/wowfax.c"	"source"	"historical-gdi-driver-provider-body"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original GDI driver body runs in historical graphics-engine/CSRSS product context."	"private graphics-engine prerequisite; no body enabled"	"provisional-not-enabled"	"fax/wowfax/wowfax.c; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0150"	"fax/wowfax/wowfax.def"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/wowfax/wowfax.def; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0151"	"fax/wowfax/wowfax.rc"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/wowfax/wowfax.rc; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
