"definition_id"	"file_id"	"definition_path"	"package_root"	"source_line"	"lexical_name"	"provenance"	"evidence"
"MVDM-DEF-00001"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"30"	"SETUP_WINDBG_POINTERS"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:30"
"MVDM-DEF-00002"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"49"	"db"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:49"
"MVDM-DEF-00003"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"86"	"dw"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:86"
"MVDM-DEF-00004"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"123"	"dd"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:123"
"MVDM-DEF-00005"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"160"	"dg"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:160"
"MVDM-DEF-00006"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"197"	"dgh"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:197"
"MVDM-DEF-00007"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"235"	"es"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:235"
"MVDM-DEF-00008"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"275"	"help"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:275"
"MVDM-DEF-00009"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"299"	"k"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:299"
"MVDM-DEF-00010"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"340"	"kb"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdecmds.c:340"
