"worklist_id"	"declaration_id"	"lexical_name"	"declaration_path"	"declaration_package"	"review_family"	"caller_count"	"caller_packages"	"caller_evidence"	"final_owner"	"recovery_state"	"evidence"
"MVDM-WORK-00001"	"MVDM-DECL-00444"	"setCPL"	"inc/softpc.h"	"inc"	"adapter-softpc-review"	"1"	"dpmi32"	"dpmi32/modesw.c:118; inc/softpc.h:648"	"unreviewed"	"unreviewed"	"inc/softpc.h:648"
"MVDM-WORK-00002"	"MVDM-DECL-02620"	"init_gen_drivers"	"softpc.new/base/inc/gendrvr.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/base/bios/reset.c:991; softpc.new/base/inc/gendrvr.h:22"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/gendrvr.h:22"
"MVDM-WORK-00003"	"MVDM-DECL-02947"	"host_validate_pathname"	"softpc.new/base/inc/host.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_rflop.c:426; softpc.new/base/inc/host.h:43"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/host.h:43"
"MVDM-WORK-00004"	"MVDM-DECL-02955"	"host_com_disable_open"	"softpc.new/base/inc/host_com.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/base/comms/com.c:2623; softpc.new/base/inc/host_com.h:204; softpc.new/base/comms/com.c:2660; softpc.new/base/inc/host_com.h:204"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/host_com.h:204"
"MVDM-WORK-00005"	"MVDM-DECL-03027"	"bios_buffer_size"	"softpc.new/base/inc/hunter.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/base/keymouse/keyba.c:121; softpc.new/base/inc/hunter.h:605; softpc.new/base/keymouse/keyba.c:2263; softpc.new/base/inc/hunter.h:605"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/hunter.h:605"
"MVDM-WORK-00006"	"MVDM-DECL-03029"	"hunter_init"	"softpc.new/base/inc/hunter.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/base/bios/reset.c:1028; softpc.new/base/inc/hunter.h:611"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/hunter.h:611"
"MVDM-WORK-00007"	"MVDM-DECL-03030"	"do_hunter"	"softpc.new/base/inc/hunter.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/base/system/timestrb.c:82; softpc.new/base/inc/hunter.h:612"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/hunter.h:612"
"MVDM-WORK-00008"	"MVDM-DECL-03044"	"ica_clear_int"	"softpc.new/base/inc/ica.h"	"softpc.new"	"adapter-softpc-review"	"14"	"softpc.new"	"softpc.new/base/comms/com.c:470; softpc.new/base/inc/ica.h:116; softpc.new/base/disks/fdisk.c:1376; softpc.new/base/inc/ica.h:116; softpc.new/base/disks/fla.c:228; softpc.new/base/inc/ica.h:116; softpc.new/base/keymouse/keyba.c:2877; softpc.new/base/inc/ica.h:116; softpc.new/base/keymouse/mouse.c:195; softpc.new/base/inc/ica.h:116; softpc.new/base/keymouse/mouse.c:240; softpc.new/base/inc/ica.h:116; softpc.new/base/keymouse/mouse.c:332; softpc.new/base/inc/ica.h:116; softpc.new/base/system/ica.c:950; softpc.new/base/inc/ica.h:116"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/ica.h:116"
"MVDM-WORK-00009"	"MVDM-DECL-03045"	"ica_inb"	"softpc.new/base/inc/ica.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_com.c:1308; softpc.new/base/inc/ica.h:117"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/ica.h:117"
"MVDM-WORK-00010"	"MVDM-DECL-03046"	"ica_outb"	"softpc.new/base/inc/ica.h"	"softpc.new"	"adapter-softpc-review"	"11"	"softpc.new"	"softpc.new/base/system/ica.c:2023; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2024; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2025; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2026; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2027; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2098; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2099; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2100; softpc.new/base/inc/ica.h:118"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/ica.h:118"
"MVDM-WORK-00011"	"MVDM-DECL-03047"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	"softpc.new"	"adapter-softpc-review"	"29"	"softpc.new;v86"	"softpc.new/base/ccpu386/zfrsrvd.c:4848; softpc.new/base/inc/ica.h:119; softpc.new/base/ccpu386/zfrsrvd.c:4858; softpc.new/base/inc/ica.h:119; softpc.new/base/comms/com.c:447; softpc.new/base/inc/ica.h:119; softpc.new/base/comms/printer.c:663; softpc.new/base/inc/ica.h:119; softpc.new/base/disks/fdisk.c:1338; softpc.new/base/inc/ica.h:119; softpc.new/base/disks/fla.c:237; softpc.new/base/inc/ica.h:119; softpc.new/base/keymouse/keyba.c:2213; softpc.new/base/inc/ica.h:119; softpc.new/base/keymouse/keyba.c:2296; softpc.new/base/inc/ica.h:119"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/ica.h:119"
"MVDM-WORK-00012"	"MVDM-DECL-03345"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-softpc-review"	"2179"	"dos;dpmi32;sim32;softpc.new;suballoc;v86;xms.486"	"dos/command/cmdconf.c:236; softpc.new/base/inc/standard.h:83; dos/command/cmdconf.c:243; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:52; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:224; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:363; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:459; softpc.new/base/inc/standard.h:83; dos/command/cmdmisc.c:789; softpc.new/base/inc/standard.h:83; dos/command/cmdredir.c:110; softpc.new/base/inc/standard.h:83"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/standard.h:83"
