"worklist_id"	"lexical_name"	"declaration_path"	"declared_shape"	"selected_source_form"	"selected_source_evidence"	"original_semantic_boundary"	"next_semantic_review"	"recovery_state"	"notes"
"MVDM-WORK-00001"	"setCPL"	"inc/softpc.h"	"VOID (ULONG)"	"selected-alternative-machine-bodies"	"softpc.new/base/cvidc/accessfn.c:1241; softpc.new/host/src/nt_aorc.c:834"	"CCPU/SoftPC CPU-private CPL mutation"	"adapter-softpc CPU compatibility and Bochs-replacement exclusion"	"unreviewed"	"Two original machine variants are present; neither authorizes simultaneous CCPU and Bochs execution."
"MVDM-WORK-00002"	"init_gen_drivers"	"softpc.new/base/inc/gendrvr.h"	"void ()"	"no-selected-provider-body-profile-guarded"	"softpc.new/base/inc/gendrvr.h:21-23; softpc.new/base/bios/reset.c:990-992"	"GEN_DRVR/CDROM optional BIOS-driver initialization"	"build-profile review for optional generic-driver/CDROM package"	"unreviewed"	"Both upstream trees have the same declaration and guarded call but no body; this is not a missing adapter body."
"MVDM-WORK-00003"	"host_validate_pathname"	"softpc.new/base/inc/host.h"	"boolean (char *)"	"no-selected-provider-body"	"softpc.new/base/inc/host.h:43; softpc.new/host/src/nt_rflop.c:426"	"host path validation used by configured floppy pathname"	"adapter-win32 host-path compatibility review"	"unreviewed"	"Source has only declaration/call in both upstream trees; any replacement must retain original boolean/path failure contract."
"MVDM-WORK-00004"	"host_com_disable_open"	"softpc.new/base/inc/host_com.h"	"void (int,int)"	"selected-original-body"	"softpc.new/host/src/nt_com.c:289-292"	"host serial-port open suppression"	"selected SoftPC host serial package and public-Win32 serial capability review"	"unreviewed"	"An original provider body is already selected; it must not be replaced merely because the lexical declaration was external."
"MVDM-WORK-00005"	"bios_buffer_size"	"softpc.new/base/inc/hunter.h"	"int ()"	"selected-original-body"	"softpc.new/base/keymouse/keybd_io.c:605-611"	"BIOS keyboard-buffer occupancy query"	"selected keyboard/BIOS package profile review"	"unreviewed"	"Original body is selected; its Hunter declaration is guarded but the keyboard body also serves ordinary keyboard paths."
"MVDM-WORK-00006"	"hunter_init"	"softpc.new/base/inc/hunter.h"	"void ()"	"no-selected-provider-body-profile-guarded"	"softpc.new/base/inc/hunter.h:610-614; softpc.new/base/bios/reset.c:1026-1029"	"Hunter diagnostic initialization"	"debug/Hunter profile-exclusion review"	"unreviewed"	"Both upstream trees retain the guarded caller and declaration only; no provider is selected."
"MVDM-WORK-00007"	"do_hunter"	"softpc.new/base/inc/hunter.h"	"void ()"	"no-selected-provider-body-profile-guarded"	"softpc.new/base/inc/hunter.h:610-614; softpc.new/base/system/timestrb.c:80-83"	"Hunter diagnostic timer service"	"debug/Hunter profile-exclusion review"	"unreviewed"	"Both upstream trees retain the guarded caller and declaration only; no provider is selected."
"MVDM-WORK-00008"	"ica_clear_int"	"softpc.new/base/inc/ica.h"	"void (IU32,IU32)"	"selected-original-machine-body-and-indirection"	"softpc.new/base/system/ica.c:180-184; softpc.new/base/system/ica.c:378-381"	"SoftPC PIC interrupt-line clear through configurable dispatch"	"adapter-softpc PIC/interrupt compatibility and Bochs machine review"	"unreviewed"	"Header selects direct NTVDM call or function-pointer form by build macro; no BOP or DOS policy belongs here."
"MVDM-WORK-00009"	"ica_inb"	"softpc.new/base/inc/ica.h"	"void (io_addr,IU8 *)"	"selected-original-machine-body-and-indirection"	"softpc.new/base/system/ica.c:180-184; softpc.new/base/system/ica.c:378-381; softpc.new/base/system/ica.c:2037-2044"	"SoftPC PIC port-byte read"	"adapter-softpc PIC/port compatibility and Bochs machine review"	"unreviewed"	"Original source records an NTVDM direct callback registration versus an alternate function-pointer form."
"MVDM-WORK-00010"	"ica_outb"	"softpc.new/base/inc/ica.h"	"void (io_addr,IU8)"	"selected-original-machine-body-and-indirection"	"softpc.new/base/system/ica.c:180-184; softpc.new/base/system/ica.c:378-381; softpc.new/base/system/ica.c:2037-2044"	"SoftPC PIC port-byte write"	"adapter-softpc PIC/port compatibility and Bochs machine review"	"unreviewed"	"Original source records an NTVDM direct callback registration versus an alternate function-pointer form."
"MVDM-WORK-00011"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	"void (IU32,IU32,IS32)"	"selected-original-machine-body-and-indirection"	"softpc.new/base/system/ica.c:267-272; softpc.new/base/system/ica.c:378-381; softpc.new/base/system/ica.c:1227-1231"	"SoftPC PIC hardware interrupt request with VDD ABI note"	"adapter-softpc PIC/interrupt compatibility; adapter-vdd ABI review"	"unreviewed"	"Original body includes an explicit VDD width-compatibility comment; preserve that evidence before selecting a modern provider."
"MVDM-WORK-00012"	"malloc"	"softpc.new/base/inc/standard.h"	"void * (size_t)"	"toolchain-runtime-import"	"softpc.new/base/inc/standard.h:83; 2182 selected caller observations"	"C runtime allocation"	"x86/x64 toolchain and CRT build-profile review"	"unreviewed"	"This is a toolchain dependency, not a SoftPC adapter surface."
"MVDM-WORK-00013"	"check_D"	"softpc.new/base/inc/yoda.h"	"void (unprototyped)"	"selected-profile-alternative-bodies"	"softpc.new/base/debug/yoda.c:8023; softpc.new/base/ccpu386/stubs.c:13-15"	"Yoda data-breakpoint diagnostic hook"	"debug profile and Bochs-replacement exclusion review"	"unreviewed"	"Original debug implementation and CCPU no-op stub are both selected alternatives; no generic machine adapter is implied."
"MVDM-WORK-00014"	"do_setSF"	"softpc.new/host/inc/host_cpu.h"	"void ()"	"no-selected-provider-body"	"softpc.new/host/inc/host_cpu.h:484; softpc.new/host/src/nt_cprgs.c:1052,1583"	"CCPU flag setter callback"	"adapter-softpc CPU flag compatibility and Bochs replacement review"	"unreviewed"	"Both upstream trees provide only declaration/caller occurrences in this source universe."
"MVDM-WORK-00015"	"do_setOF"	"softpc.new/host/inc/host_cpu.h"	"void ()"	"no-selected-provider-body"	"softpc.new/host/inc/host_cpu.h:485; softpc.new/host/src/nt_cprgs.c:1053,1601"	"CCPU flag setter callback"	"adapter-softpc CPU flag compatibility and Bochs replacement review"	"unreviewed"	"Both upstream trees provide only declaration/caller occurrences in this source universe."
"MVDM-WORK-00016"	"do_setPF"	"softpc.new/host/inc/host_cpu.h"	"void ()"	"no-selected-provider-body"	"softpc.new/host/inc/host_cpu.h:486; softpc.new/host/src/nt_cprgs.c:1054,1560"	"CCPU flag setter callback"	"adapter-softpc CPU flag compatibility and Bochs replacement review"	"unreviewed"	"Both upstream trees provide only declaration/caller occurrences in this source universe."
"MVDM-WORK-00017"	"do_setZF"	"softpc.new/host/inc/host_cpu.h"	"void ()"	"no-selected-provider-body"	"softpc.new/host/inc/host_cpu.h:487; softpc.new/host/src/nt_cprgs.c:1055,1592"	"CCPU flag setter callback"	"adapter-softpc CPU flag compatibility and Bochs replacement review"	"unreviewed"	"Both upstream trees provide only declaration/caller occurrences in this source universe."
"MVDM-WORK-00018"	"do_setCF"	"softpc.new/host/inc/host_cpu.h"	"void ()"	"no-selected-provider-body"	"softpc.new/host/inc/host_cpu.h:488; softpc.new/host/src/nt_cprgs.c:1056,1610"	"CCPU flag setter callback"	"adapter-softpc CPU flag compatibility and Bochs replacement review"	"unreviewed"	"Both upstream trees provide only declaration/caller occurrences in this source universe."
