"profile_id"	"package_root"	"selected_path_count"	"selected_source_count"	"original_build_description_count"	"x86_target_state"	"x64_target_state"	"include_library_state"	"final_disposition_summary"	"evidence"
"MVDM-T277-PROFILE-BDE"	"bde"	"13"	"8"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"tool-only=13"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-DBG"	"dbg"	"3"	"1"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"tool-only=3"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-DIRS"	"dirs"	"1"	"0"	"1"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"not-host-runtime=1"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-DOS"	"dos"	"40"	"27"	"5"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=27; binding-only=7; not-host-runtime=6"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-DPMI"	"dpmi"	"59"	"34"	"1"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"guest-only=59"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-DPMI32"	"dpmi32"	"25"	"18"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=16; binding-only=5; not-host-runtime=4"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-FAX"	"fax"	"21"	"5"	"5"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=4; binding-only=4; not-host-runtime=13"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-IEUVDDEX"	"ieuvddex"	"23"	"14"	"6"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"not-host-runtime=23"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-INC"	"inc"	"96"	"0"	"1"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"binding-only=96"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-MAKEFIL0"	"makefil0"	"1"	"0"	"1"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"not-host-runtime=1"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
