"edge_id"	"from_package"	"source_family"	"owner_boundary"	"reviewed_call_count"	"evidence"	"admission_rule"
"MVDM-T277-S8-EDGE-001"	"dos"	"bounded-machine-run"	"adapter-softpc -> adapter-bochs"	"2"	"dos/dem/demdasd.c:513; softpc.new/host/inc/host.h:42; dos/dem/demdasd.c:532; softpc.new/host/inc/host.h:42"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-002"	"dos"	"COMMAND-local-pipe-observation"	"opennt-mvdm-host COMMAND provider -> session -> adapter-win32"	"4"	"dos/command/cmdredir.c:602; dos/dem/dem.h:256; dos/command/cmdredir.c:641; dos/dem/dem.h:257; dos/dem/demhndl.c:572; dos/dem/dem.h:256"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-003"	"dos"	"COMMAND-package-initialization"	"opennt-mvdm-host COMMAND package"	"1"	"dos/command/cmd.c:23; inc/cmdsvc.h:89"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-004"	"dos"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32"	"6"	"dos/command/cmdexec.c:454; dos/command/cmd.h:255; dos/command/cmdexec.c:481; dos/command/cmd.h:255; dos/command/cmdexec.c:642; dos/command/cmd.h:255"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-005"	"dos"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"8"	"dos/command/cmdexec.c:441; inc/softpc.h:36; dos/command/cmdexec.c:453; inc/softpc.h:37; dos/command/cmdexec.c:480; inc/softpc.h:37"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-006"	"dos"	"CRT-allocation-and-environment"	"native CRT binding"	"20"	"dos/command/cmdconf.c:236; softpc.new/base/inc/standard.h:83; dos/command/cmdconf.c:243; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:52; softpc.new/base/inc/standard.h:83"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-007"	"dos"	"host-device-state-cleanup"	"opennt-mvdm-host disk/floppy providers -> session"	"1"	"dos/dem/demsrch.c:678; inc/softpc.h:39"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-008"	"dos"	"host-device-state-cleanup"	"opennt-mvdm-host fixed-disk provider -> adapter-win32"	"1"	"dos/dem/demmisc.c:612; inc/softpc.h:43"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-009"	"dos"	"host-device-state-cleanup"	"opennt-mvdm-host floppy provider -> adapter-win32"	"1"	"dos/dem/demmisc.c:611; inc/softpc.h:42"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-010"	"dos"	"host-device-state-cleanup"	"opennt-mvdm-host LPT provider -> adapter-win32"	"2"	"dos/command/cmdmisc.c:78; inc/softpc.h:49; dos/command/cmdmisc.c:379; inc/softpc.h:49"	"source-form-reviewed only; no direct build edge inferred"
