"effective_id"	"disposition_id"	"call_id"	"caller_file_id"	"caller_path"	"caller_package"	"caller_line"	"symbol"	"declaration_path"	"declaration_package"	"caller_final_disposition"	"effective_state"	"family"	"owner"	"retained_interface_shape"	"mapping_rule"	"failure_disposition"	"source_form_evidence"	"limitation"	"evidence"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00001"	"MVDM-BOUNDARY-00001"	"MVDM-CALL-000944"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"138"	"DBGInit"	"inc/dbgexp.h"	"inc"	"tool-only"	"non-runtime-or-profile-excluded"	"not-reviewed-not-future-host"	"caller file final disposition excludes current host recovery"	"preserved original correlation only"	"not admitted"	"no current provider may claim this correlation"	"T277 S2 eligibility excludes caller final disposition tool-only"	"not source-form reviewed because caller is not a future-host package input"	"dbg/dbg.c:138; inc/dbgexp.h:15"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00002"	"MVDM-BOUNDARY-00002"	"MVDM-CALL-001299"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1361"	"DBGDispatch"	"inc/dbgexp.h"	"inc"	"tool-only"	"non-runtime-or-profile-excluded"	"not-reviewed-not-future-host"	"caller file final disposition excludes current host recovery"	"preserved original correlation only"	"not admitted"	"no current provider may claim this correlation"	"T277 S2 eligibility excludes caller final disposition tool-only"	"not source-form reviewed because caller is not a future-host package input"	"dbg/dbg.c:1361; inc/dbgexp.h:16"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00003"	"MVDM-BOUNDARY-00003"	"MVDM-CALL-001342"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1509"	"DBGNotifyNewTask"	"inc/dbgexp.h"	"inc"	"tool-only"	"non-runtime-or-profile-excluded"	"not-reviewed-not-future-host"	"caller file final disposition excludes current host recovery"	"preserved original correlation only"	"not admitted"	"no current provider may claim this correlation"	"T277 S2 eligibility excludes caller final disposition tool-only"	"not source-form reviewed because caller is not a future-host package input"	"dbg/dbg.c:1509; inc/dbgexp.h:17"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00004"	"MVDM-BOUNDARY-00004"	"MVDM-CALL-001408"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1689"	"DBGNotifyRemoteThreadAddress"	"inc/dbgexp.h"	"inc"	"tool-only"	"non-runtime-or-profile-excluded"	"not-reviewed-not-future-host"	"caller file final disposition excludes current host recovery"	"preserved original correlation only"	"not admitted"	"no current provider may claim this correlation"	"T277 S2 eligibility excludes caller final disposition tool-only"	"not source-form reviewed because caller is not a future-host package input"	"dbg/dbg.c:1689; inc/dbgexp.h:18"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00005"	"MVDM-BOUNDARY-00005"	"MVDM-CALL-001409"	"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"1697"	"DBGNotifyDebugged"	"inc/dbgexp.h"	"inc"	"tool-only"	"non-runtime-or-profile-excluded"	"not-reviewed-not-future-host"	"caller file final disposition excludes current host recovery"	"preserved original correlation only"	"not admitted"	"no current provider may claim this correlation"	"T277 S2 eligibility excludes caller final disposition tool-only"	"not source-form reviewed because caller is not a future-host package input"	"dbg/dbg.c:1697; inc/dbgexp.h:19"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00006"	"MVDM-BOUNDARY-00006"	"MVDM-CALL-001410"	"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"23"	"CMDInit"	"inc/cmdsvc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-package-initialization"	"opennt-mvdm-host COMMAND package"	"original BOOL CMDInit(int,char**) call/return form"	"none"	"retain caller-visible BOOL failure; package body is not enabled"	"dos/command/cmd.c:23 defines the original BOOL CMDInit(int,char**) package initializer"	"source-form reviewed; implementation not enabled"	"dos/command/cmd.c:23; inc/cmdsvc.h:89"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00007"	"MVDM-BOUNDARY-00007"	"MVDM-CALL-001428"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"82"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:82; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00008"	"MVDM-BOUNDARY-00008"	"MVDM-CALL-001441"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"120"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:120; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00009"	"MVDM-BOUNDARY-00009"	"MVDM-CALL-001458"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"233"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:233; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00010"	"MVDM-BOUNDARY-00010"	"MVDM-CALL-001459"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"236"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-backed"	"reviewed-future-host"	"CRT-allocation-and-environment"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:236; softpc.new/base/inc/standard.h:83"
