"work_item_id"	"review_order"	"caller_file_id"	"caller_path"	"caller_package"	"caller_line"	"caller_final_disposition"	"symbol"	"declaration_path"	"declaration_package"	"correlation"	"source_form_state"	"abi_owner_state"	"failure_contract_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-03555"	"10"	"MVDM-FILE-1305"	"suballoc/suballoc.c"	"suballoc"	"85"	"binding-only"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03555"
"MVDM-T277-S2-MVDM-BOUNDARY-03688"	"20"	"MVDM-FILE-1684"	"xms.486/xmsa20.c"	"xms.486"	"49"	"adapter-backed"	"xmsEnableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03688"
"MVDM-T277-S2-MVDM-BOUNDARY-03689"	"20"	"MVDM-FILE-1684"	"xms.486/xmsa20.c"	"xms.486"	"51"	"adapter-backed"	"xmsDisableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03689"
"MVDM-T277-S2-MVDM-BOUNDARY-03690"	"20"	"MVDM-FILE-1684"	"xms.486/xmsa20.c"	"xms.486"	"61"	"adapter-backed"	"xmsEnableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03690"
"MVDM-T277-S2-MVDM-BOUNDARY-03691"	"20"	"MVDM-FILE-1684"	"xms.486/xmsa20.c"	"xms.486"	"85"	"adapter-backed"	"xmsDisableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03691"
"MVDM-T277-S2-MVDM-BOUNDARY-03692"	"20"	"MVDM-FILE-1685"	"xms.486/xmsblock.c"	"xms.486"	"206"	"adapter-backed"	"sas_overwrite_memory"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03692"
"MVDM-T277-S2-MVDM-BOUNDARY-03696"	"20"	"MVDM-FILE-1689"	"xms.486/xmsumb.c"	"xms.486"	"135"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03696"
"MVDM-T277-S2-MVDM-BOUNDARY-03697"	"20"	"MVDM-FILE-1689"	"xms.486/xmsumb.c"	"xms.486"	"172"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03697"
"MVDM-T277-S2-MVDM-BOUNDARY-03694"	"20"	"MVDM-FILE-1689"	"xms.486/xmsumb.c"	"xms.486"	"53"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03694"
"MVDM-T277-S2-MVDM-BOUNDARY-03695"	"20"	"MVDM-FILE-1689"	"xms.486/xmsumb.c"	"xms.486"	"71"	"adapter-backed"	"xmsEnableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03695"
