"work_item_id"	"caller_path"	"caller_line"	"symbol"	"family"	"original_provider_form"	"owner"	"retained_interface_shape"	"failure_disposition"	"source_compatibility"	"implementation_constraint"	"audit_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-03555"	"suballoc/suballoc.c"	"85"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03555"
"MVDM-T277-S2-MVDM-BOUNDARY-03688"	"xms.486/xmsa20.c"	"49"	"xmsEnableA20Wrapping"	"XMS-A20-and-state-byte"	"xms.486/xmsa20.c defines original XMS helper; it calls sas_enable_20_bit_wrapping and updates pHimemA20State"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"same-shaped A20 toggle plus checked epoch-scoped Himem state-byte lease"	"lease-unavailable behavior requires caller/return-path proof"	"T277 correction: overlay-required; pHimemA20State retains a GetVDMAddr pointer across calls, forbidden for an epoch-scoped lease."	"no XMS allocator in adapter"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03688"
"MVDM-T277-S2-MVDM-BOUNDARY-03689"	"xms.486/xmsa20.c"	"51"	"xmsDisableA20Wrapping"	"XMS-A20-and-state-byte"	"xms.486/xmsa20.c defines original XMS helper; it calls sas_disable_20_bit_wrapping and updates pHimemA20State"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"same-shaped A20 toggle plus checked epoch-scoped Himem state-byte lease"	"lease-unavailable behavior requires caller/return-path proof"	"T277 correction: overlay-required; pHimemA20State retains a GetVDMAddr pointer across calls, forbidden for an epoch-scoped lease."	"no XMS allocator in adapter"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03689"
"MVDM-T277-S2-MVDM-BOUNDARY-03690"	"xms.486/xmsa20.c"	"61"	"xmsEnableA20Wrapping"	"XMS-A20-and-state-byte"	"xms.486/xmsa20.c defines original XMS helper; it calls sas_enable_20_bit_wrapping and updates pHimemA20State"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"same-shaped A20 toggle plus checked epoch-scoped Himem state-byte lease"	"lease-unavailable behavior requires caller/return-path proof"	"T277 correction: overlay-required; pHimemA20State retains a GetVDMAddr pointer across calls, forbidden for an epoch-scoped lease."	"no XMS allocator in adapter"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03690"
"MVDM-T277-S2-MVDM-BOUNDARY-03691"	"xms.486/xmsa20.c"	"85"	"xmsDisableA20Wrapping"	"XMS-A20-and-state-byte"	"xms.486/xmsa20.c defines original XMS helper; it calls sas_disable_20_bit_wrapping and updates pHimemA20State"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"same-shaped A20 toggle plus checked epoch-scoped Himem state-byte lease"	"lease-unavailable behavior requires caller/return-path proof"	"T277 correction: overlay-required; pHimemA20State retains a GetVDMAddr pointer across calls, forbidden for an epoch-scoped lease."	"no XMS allocator in adapter"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03691"
"MVDM-T277-S2-MVDM-BOUNDARY-03692"	"xms.486/xmsblock.c"	"206"	"sas_overwrite_memory"	"XMS-range-overwrite-notification"	"softpc.new/host/src/nt_aorc.c:858 is the historical SAS function-table facade; CCPU/SAS executor remains Bochs-replaced"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"checked guest range mutation notification; no raw host PVOID"	"range-error behavior requires caller/return-path proof"	"T277 correction: overlay-required; original DWORD/PBYTE address casts cannot carry x64 guest-memory leases."	"no pointer identity crosses adapter"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03692"
"MVDM-T277-S2-MVDM-BOUNDARY-03696"	"xms.486/xmsumb.c"	"135"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"T277 correction: overlay-required; original PVOID-to-DWORD UMB conversion cannot represent x64 native addresses."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03696"
"MVDM-T277-S2-MVDM-BOUNDARY-03697"	"xms.486/xmsumb.c"	"172"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"T277 correction: overlay-required; original PVOID-to-DWORD UMB conversion cannot represent x64 native addresses."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03697"
"MVDM-T277-S2-MVDM-BOUNDARY-03694"	"xms.486/xmsumb.c"	"53"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"T277 correction: overlay-required; original PVOID-to-DWORD UMB conversion cannot represent x64 native addresses."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03694"
"MVDM-T277-S2-MVDM-BOUNDARY-03695"	"xms.486/xmsumb.c"	"71"	"xmsEnableA20Wrapping"	"XMS-A20-and-state-byte"	"xms.486/xmsa20.c defines original XMS helper; it calls sas_enable_20_bit_wrapping and updates pHimemA20State"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"same-shaped A20 toggle plus checked epoch-scoped Himem state-byte lease"	"lease-unavailable behavior requires caller/return-path proof"	"T277 correction: overlay-required; original PVOID-to-DWORD UMB conversion cannot represent x64 native addresses."	"no XMS allocator in adapter"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03695"
