"work_item_id"	"caller_path"	"caller_line"	"symbol"	"family"	"original_provider_form"	"owner"	"retained_interface_shape"	"mapping_rule"	"failure_disposition"	"implementation_constraint"	"audit_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-00006"	"dos/command/cmd.c"	"23"	"CMDInit"	"COMMAND-package-initialization"	"dos/command/cmd.c:23 defines the original BOOL CMDInit(int,char**) package initializer"	"opennt-mvdm-host COMMAND package"	"original BOOL CMDInit(int,char**) call/return form"	"none"	"retain caller-visible BOOL failure; package body is not enabled"	"whole COMMAND package must close before enablement"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00006"
"MVDM-T277-S2-MVDM-BOUNDARY-00008"	"dos/command/cmdconf.c"	"120"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00008"
"MVDM-T277-S2-MVDM-BOUNDARY-00009"	"dos/command/cmdconf.c"	"233"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00009"
"MVDM-T277-S2-MVDM-BOUNDARY-00010"	"dos/command/cmdconf.c"	"236"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00010"
"MVDM-T277-S2-MVDM-BOUNDARY-00011"	"dos/command/cmdconf.c"	"243"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00011"
"MVDM-T277-S2-MVDM-BOUNDARY-00012"	"dos/command/cmdconf.c"	"248"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00012"
"MVDM-T277-S2-MVDM-BOUNDARY-00013"	"dos/command/cmdconf.c"	"258"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00013"
"MVDM-T277-S2-MVDM-BOUNDARY-00014"	"dos/command/cmdconf.c"	"268"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00014"
"MVDM-T277-S2-MVDM-BOUNDARY-00015"	"dos/command/cmdconf.c"	"634"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00015"
"MVDM-T277-S2-MVDM-BOUNDARY-00007"	"dos/command/cmdconf.c"	"82"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00007"
