"work_item_id"	"caller_path"	"caller_line"	"symbol"	"family"	"original_provider_form"	"owner"	"retained_interface_shape"	"mapping_rule"	"failure_disposition"	"implementation_constraint"	"audit_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-02781"	"softpc.new/base/support/get_env.c"	"45"	"getenv"	"CRT-resource-helper"	"original CRT/helper forms; softpc.new/host/src/nt_unix.c:307 is the host_memset body and standard.h carries CRT allocation/environment declarations"	"native CRT binding or original host helper"	"original function form and caller-side NULL/error path"	"none"	"retain original caller failure; no product-global CRT wrapper"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-02781"
"MVDM-T277-S2-MVDM-BOUNDARY-03138"	"softpc.new/host/src/fprt.c"	"118"	"malloc"	"CRT-resource-helper"	"original CRT/helper forms; softpc.new/host/src/nt_unix.c:307 is the host_memset body and standard.h carries CRT allocation/environment declarations"	"native CRT binding or original host helper"	"original function form and caller-side NULL/error path"	"none"	"retain original caller failure; no product-global CRT wrapper"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03138"
"MVDM-T277-S2-MVDM-BOUNDARY-03139"	"softpc.new/host/src/fprt.c"	"150"	"getenv"	"CRT-resource-helper"	"original CRT/helper forms; softpc.new/host/src/nt_unix.c:307 is the host_memset body and standard.h carries CRT allocation/environment declarations"	"native CRT binding or original host helper"	"original function form and caller-side NULL/error path"	"none"	"retain original caller failure; no product-global CRT wrapper"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03139"
"MVDM-T277-S2-MVDM-BOUNDARY-03136"	"softpc.new/host/src/fprt.c"	"39"	"getenv"	"CRT-resource-helper"	"original CRT/helper forms; softpc.new/host/src/nt_unix.c:307 is the host_memset body and standard.h carries CRT allocation/environment declarations"	"native CRT binding or original host helper"	"original function form and caller-side NULL/error path"	"none"	"retain original caller failure; no product-global CRT wrapper"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03136"
"MVDM-T277-S2-MVDM-BOUNDARY-03137"	"softpc.new/host/src/fprt.c"	"41"	"getenv"	"CRT-resource-helper"	"original CRT/helper forms; softpc.new/host/src/nt_unix.c:307 is the host_memset body and standard.h carries CRT allocation/environment declarations"	"native CRT binding or original host helper"	"original function form and caller-side NULL/error path"	"none"	"retain original caller failure; no product-global CRT wrapper"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03137"
"MVDM-T277-S2-MVDM-BOUNDARY-03157"	"softpc.new/host/src/nt_bop.c"	"181"	"TerminateVDM"	"session-stop-and-event"	"softpc.new/host/src/nt_event.c and nt_msscs.c define original event/notification forms; v86/scaffold TerminateVDM is an excluded standalone product body"	"session -> adapter-win32; adapter-vdd successor where original hook is reached"	"original void event/notification/termination calls and source ordering"	"session-owned event/resource identity only"	"controlled stop never exits the surrounding app; VDD/CSRSS product branches remain explicit successors"	"no private event thread or process-global standard handles"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03157"
"MVDM-T277-S2-MVDM-BOUNDARY-03158"	"softpc.new/host/src/nt_bop.c"	"192"	"TerminateVDM"	"session-stop-and-event"	"softpc.new/host/src/nt_event.c and nt_msscs.c define original event/notification forms; v86/scaffold TerminateVDM is an excluded standalone product body"	"session -> adapter-win32; adapter-vdd successor where original hook is reached"	"original void event/notification/termination calls and source ordering"	"session-owned event/resource identity only"	"controlled stop never exits the surrounding app; VDD/CSRSS product branches remain explicit successors"	"no private event thread or process-global standard handles"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03158"
"MVDM-T277-S2-MVDM-BOUNDARY-03159"	"softpc.new/host/src/nt_bop.c"	"202"	"TerminateVDM"	"session-stop-and-event"	"softpc.new/host/src/nt_event.c and nt_msscs.c define original event/notification forms; v86/scaffold TerminateVDM is an excluded standalone product body"	"session -> adapter-win32; adapter-vdd successor where original hook is reached"	"original void event/notification/termination calls and source ordering"	"session-owned event/resource identity only"	"controlled stop never exits the surrounding app; VDD/CSRSS product branches remain explicit successors"	"no private event thread or process-global standard handles"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03159"
"MVDM-T277-S2-MVDM-BOUNDARY-03160"	"softpc.new/host/src/nt_bop.c"	"213"	"TerminateVDM"	"session-stop-and-event"	"softpc.new/host/src/nt_event.c and nt_msscs.c define original event/notification forms; v86/scaffold TerminateVDM is an excluded standalone product body"	"session -> adapter-win32; adapter-vdd successor where original hook is reached"	"original void event/notification/termination calls and source ordering"	"session-owned event/resource identity only"	"controlled stop never exits the surrounding app; VDD/CSRSS product branches remain explicit successors"	"no private event thread or process-global standard handles"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03160"
"MVDM-T277-S2-MVDM-BOUNDARY-03161"	"softpc.new/host/src/nt_bop.c"	"223"	"TerminateVDM"	"session-stop-and-event"	"softpc.new/host/src/nt_event.c and nt_msscs.c define original event/notification forms; v86/scaffold TerminateVDM is an excluded standalone product body"	"session -> adapter-win32; adapter-vdd successor where original hook is reached"	"original void event/notification/termination calls and source ordering"	"session-owned event/resource identity only"	"controlled stop never exits the surrounding app; VDD/CSRSS product branches remain explicit successors"	"no private event thread or process-global standard handles"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03161"
