"symbol"	"candidate_path"	"candidate_line"	"candidate_class"	"source_text"	"evidence_state"
"ccpu386exitthread"	"softpc.new/base/ccpu386/ntthread.c"	"31"	"Bochs-replacement-executor-candidate"	"void ccpu386exitthread();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386exitthread"	"softpc.new/base/ccpu386/ntthread.c"	"91"	"Bochs-replacement-executor-candidate"	"void ccpu386exitthread()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386exitthread"	"softpc.new/base/ccpu386/ntthread.h"	"4"	"Bochs-replacement-executor-candidate"	"extern void ccpu386exitthread();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386exitthread"	"softpc.new/host/src/nt_thred.c"	"155"	"host-control-provider-candidate"	"ccpu386exitthread();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386newthread"	"softpc.new/base/ccpu386/ntthread.c"	"30"	"Bochs-replacement-executor-candidate"	"void ccpu386newthread();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386newthread"	"softpc.new/base/ccpu386/ntthread.c"	"86"	"Bochs-replacement-executor-candidate"	"void ccpu386newthread()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386newthread"	"softpc.new/base/ccpu386/ntthread.h"	"3"	"Bochs-replacement-executor-candidate"	"extern void ccpu386newthread();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"ccpu386newthread"	"softpc.new/host/src/nt_thred.c"	"95"	"host-control-provider-candidate"	"ccpu386newthread();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"CMDInit"	"dos/command/cmd.c"	"23"	"MVDM-host-provider-candidate"	"BOOL CMDInit (argc,argv)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"CMDInit"	"inc/cmdsvc.h"	"89"	"declaration-carrier-candidate"	"extern BOOL CMDInit (int argc, char *argv[]);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
