"work_item_id"	"caller_package"	"caller_path"	"caller_line"	"symbol"	"family"	"original_provider_form"	"owner"	"retained_interface_shape"	"mapping_rule"	"failure_disposition"	"implementation_constraint"	"audit_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-03669"	"vdmredir"	"vdmredir/vrdebug.c"	"458"	"getenv"	"Redirector-CRT"	"original Redirector CRT getenv callers in vdmredir/vrdebug.c and vrdll.c; standard.h is the declaration carrier"	"native CRT binding"	"original getenv call and caller-side absent-value path"	"none"	"preserve original CRT failure/null behavior"	"no Redirector protocol enablement"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03669"
"MVDM-T277-S2-MVDM-BOUNDARY-03670"	"vdmredir"	"vdmredir/vrdebug.c"	"465"	"getenv"	"Redirector-CRT"	"original Redirector CRT getenv callers in vdmredir/vrdebug.c and vrdll.c; standard.h is the declaration carrier"	"native CRT binding"	"original getenv call and caller-side absent-value path"	"none"	"preserve original CRT failure/null behavior"	"no Redirector protocol enablement"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03670"
"MVDM-T277-S2-MVDM-BOUNDARY-03671"	"vdmredir"	"vdmredir/vrdisp.c"	"171"	"_inlineConvertAddress"	"Redirector-guest-address-lease"	"vdmredir/vrdisp.c:171 defines LPVOID _inlineConvertAddress(WORD,WORD,WORD,BOOLEAN)"	"adapter-redir -> adapter-softpc -> session guest_memory"	"original segment:offset:size conversion contract"	"scoped session guest_memory lease or copied buffer; never return a durable raw PVOID"	"invalid span/expired lease yields original source-derived error path"	"no Redirector-private pointer mapper"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03671"
"MVDM-T277-S2-MVDM-BOUNDARY-03672"	"vdmredir"	"vdmredir/vrdlcdbg.c"	"583"	"DbgOut"	"Redirector-debug-output"	"vdmredir/vrdlcdbg.c:583 defines original variadic VOID DbgOut(LPSTR,...)"	"adapter-redir -> adapter-debugger"	"original variadic debug-output call shape"	"formatted copied diagnostic record only"	"debug output unavailable is non-functional diagnostic omission, never protocol success"	"no debugger product body link"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03672"
"MVDM-T277-S2-MVDM-BOUNDARY-03673"	"vdmredir"	"vdmredir/vrdll.c"	"103"	"getenv"	"Redirector-CRT"	"original Redirector CRT getenv callers in vdmredir/vrdebug.c and vrdll.c; standard.h is the declaration carrier"	"native CRT binding"	"original getenv call and caller-side absent-value path"	"none"	"preserve original CRT failure/null behavior"	"no Redirector protocol enablement"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03673"
"MVDM-T277-S2-MVDM-BOUNDARY-03676"	"wow32"	"wow32/wcall16.c"	"780"	"host_simulate"	"WOW-bounded-machine-run"	"wow32/wcall16.c:780 and wow32/wkman.c use host_simulate with saved/restored guest IP; S3 supplies the sole machine boundary"	"adapter-softpc -> adapter-bochs"	"original host_simulate ordering around saved/restored guest IP"	"S3 typed bounded run only; no raw CPU pointer"	"return/stop result follows WOW caller path; no CCPU loop"	"Bochs remains sole executor"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03676"
"MVDM-T277-S2-MVDM-BOUNDARY-03678"	"wow32"	"wow32/wkman.c"	"1138"	"DBGNotifyNewTask"	"WOW-debugger-notification"	"wow32/wkman.c:1138/1663 and wow32/wow32.c:1704 issue original debugger notifications with WOW state"	"adapter-wow -> adapter-debugger"	"original debugger notification parameters and ordering"	"copied fixed-width session diagnostic record; no raw VP/PVOID/HANDLE"	"debugger absent follows original no-debug path"	"no NT4 remote-debug product shell"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03678"
"MVDM-T277-S2-MVDM-BOUNDARY-03679"	"wow32"	"wow32/wkman.c"	"1184"	"host_simulate"	"WOW-bounded-machine-run"	"wow32/wcall16.c:780 and wow32/wkman.c use host_simulate with saved/restored guest IP; S3 supplies the sole machine boundary"	"adapter-softpc -> adapter-bochs"	"original host_simulate ordering around saved/restored guest IP"	"S3 typed bounded run only; no raw CPU pointer"	"return/stop result follows WOW caller path; no CCPU loop"	"Bochs remains sole executor"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03679"
"MVDM-T277-S2-MVDM-BOUNDARY-03680"	"wow32"	"wow32/wkman.c"	"1413"	"host_simulate"	"WOW-bounded-machine-run"	"wow32/wcall16.c:780 and wow32/wkman.c use host_simulate with saved/restored guest IP; S3 supplies the sole machine boundary"	"adapter-softpc -> adapter-bochs"	"original host_simulate ordering around saved/restored guest IP"	"S3 typed bounded run only; no raw CPU pointer"	"return/stop result follows WOW caller path; no CCPU loop"	"Bochs remains sole executor"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03680"
"MVDM-T277-S2-MVDM-BOUNDARY-03681"	"wow32"	"wow32/wkman.c"	"1663"	"DBGNotifyRemoteThreadAddress"	"WOW-debugger-notification"	"wow32/wkman.c:1138/1663 and wow32/wow32.c:1704 issue original debugger notifications with WOW state"	"adapter-wow -> adapter-debugger"	"original debugger notification parameters and ordering"	"copied fixed-width session diagnostic record; no raw VP/PVOID/HANDLE"	"debugger absent follows original no-debug path"	"no NT4 remote-debug product shell"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-03681"
