"work_item_id"	"source_path"	"source_owner"	"final_disposition"	"implementation_group"	"final_owner_or_link_boundary"	"named_adapter"	"mapping_implication"	"final_evidence"	"admission_state"
"T280-MVDM-FILE-0034"	"dos/dem/dem.c"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0035"	"dos/dem/dem.h"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0036"	"dos/dem/demdasd.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0037"	"dos/dem/demdasd.h"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0038"	"dos/dem/demdata.c"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0039"	"dos/dem/demdir.c"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0040"	"dos/dem/demdisp.c"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0041"	"dos/dem/demerror.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0042"	"dos/dem/demfcb.c"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0043"	"dos/dem/demfile.c"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
