"source_path"	"original_role_group"	"disposition"	"next_owner_group"	"required_boundary_owner"	"prior_evidence"
"softpc.new/host/src/config.c"	"cross-owner-launch-configuration"	"specialist-owner"	"app/session multi-owner startup composition"	"app; session; adapter-win32; adapter-softpc; adapter-vdm-monitor; opennt-mvdm-host owner packages"	"softpc.new/host/src/config.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/copy_fnc.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/copy_fnc.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/cpucstbs.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/cpucstbs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/fprt.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/fprt.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_aorc.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_aorc.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_bop.c"	"opennt-bop-dispatch"	"adapter-prerequisite"	"adapter-bop/adapter-softpc plus complete owner provider groups"	"adapter-bop; adapter-softpc; adapter-win32; specialist adapters"	"softpc.new/host/src/nt_bop.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_cga.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_cga.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_com.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_com.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_cprgs.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_cprgs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_cpu.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/nt_cpu.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_det.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_det.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_ega.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_ega.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_emm.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/nt_emm.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_eoi.c"	"adapter-vdm-monitor"	"adapter-prerequisite"	"adapter-vdm-monitor plus named session/machine prerequisite"	"adapter-vdm-monitor; adapter-softpc"	"softpc.new/host/src/nt_eoi.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_error.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/nt_error.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_ertbl.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_ertbl.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_event.c"	"adapter-vdm-monitor"	"adapter-prerequisite"	"adapter-vdm-monitor plus named session/machine prerequisite"	"adapter-vdm-monitor; adapter-softpc"	"softpc.new/host/src/nt_event.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
