"id"	"source"	"symbol_or_service"	"reached_interface_family"	"current_disposition"	"recovery_rung"	"next_owner_slice"	"failure_or_limit"
"CMD-INIT-001"	"dos/command/cmd.c"	"CMDInit"	"public GetSystemDirectory; cmddata global"	"direct-complete"	"original-direct"	"closed T282/S7"	"Original K&R form retained; no dispatcher route"
"CMD-INIT-002"	"dos/command/cmddata.c"	"COMMAND global initial state"	"original data layout"	"direct-complete"	"original-direct"	"closed T282/S7"	"No global is treated as session-owned transport state"
"CMD-54-00"	"dos/command/cmdexit.c"	"cmdExitVDM"	"ExitVDM; event/termination lifecycle"	"adapter-prerequisite"	"same-shaped adapter"	"T282 terminal lifecycle slice"	"No process termination or historical CSRSS exit shell"
"CMD-54-01"	"dos/command/cmdmisc.c"	"cmdGetNextCmd"	"GetNextVDMCommand; guest memory/registers; DEM; config; PIF; events"	"compound-prerequisite"	"same-shaped adapters"	"T282 acquisition/guest-contract composite"	"S6 closes only copied acquisition; PIF, guest descriptors and event lifecycle remain"
"CMD-54-02"	"dos/command/cmdmisc.c"	"cmdComSpec"	"OpenNT environment conversion; checked guest write"	"adapter-prerequisite"	"same-shaped adapter"	"T282 environment/guest-query slice"	"Requires adapter-win32 environment binding and adapter-softpc bounded guest lease"
"CMD-54-03"	"dos/command/cmdmisc.c"	"cmdSaveWorld"	"SAVEWORLD layout; CCPU register/guest memory access"	"adapter-prerequisite"	"same-shaped adapter"	"T282 saved-machine-state slice"	"Requires adapter-softpc source-shaped register and bounded guest lease facade"
"CMD-54-04"	"dos/command/cmdmisc.c"	"cmdGetCurrentDir"	"current-directory host query; checked guest write"	"adapter-prerequisite"	"same-shaped adapter"	"T282 environment/guest-query slice"	"Must retain source OEM/path/error ordering"
"CMD-54-05"	"dos/command/cmdmisc.c"	"cmdSetInfo"	"CMDINFO guest address and retained descriptor"	"adapter-prerequisite"	"same-shaped adapter"	"T282 CMDINFO guest-contract slice"	"No raw GetVDMAddr pointer may persist; adapter-softpc descriptor/lease is required"
"CMD-54-06"	"dos/command/cmdredir.c"	"cmdGetStdHandle"	"standard stream identity; handle mapping; guest registers"	"adapter-prerequisite"	"same-shaped adapter"	"T282 local stream/console slice"	"Requires session host-resource mapping and adapter-win32 stream binding"
"CMD-54-07"	"dos/command/cmdexec.c"	"cmdCheckBinary"	"file/path/type classification; WOW branch; guest registers"	"compound-prerequisite"	"same-shaped adapters"	"T282 binary-admission slice"	"WOW-specific classification transfers to adapter-wow; local DOS/Win32 branch can be separated only after source audit"
"CMD-54-08"	"dos/command/cmdexec.c"	"cmdExec"	"cmdExec32; process lifecycle; streams; re-entry"	"later-composition"	"same-shaped adapter"	"late COMMAND child-profile package"	"Requires source-owned child/session lifecycle and Redirector/WOW/guest parent-return owners"
"CMD-54-09"	"dos/command/cmdmisc.c"	"cmdInitConsole"	"console mode; events; code page; guest registers"	"adapter-prerequisite"	"same-shaped adapter"	"T282 local stream/console slice"	"No CSRSS console shell; public Win32 console binding only"
"CMD-54-0A"	"dos/command/cmdexec.c"	"cmdExecComspec32"	"cmdExec32; COMSPEC; child lifecycle"	"later-composition"	"same-shaped adapter"	"late COMMAND child-profile package"	"Shares CMD-54-08 lifecycle, not a separate implementation"
"CMD-54-0B"	"dos/command/cmdexec.c"	"cmdReturnExitCode"	"child completion; streams; re-entry; guest parent return"	"later-composition"	"same-shaped adapter"	"late COMMAND child-profile package"	"Requires Redirector, guest EXEC/PSP parent-return and source-defined session completion"
"CMD-54-0C"	"dos/command/cmdconf.c"	"cmdGetConfigSys"	"PIF/config input; file transform; checked guest write"	"compound-prerequisite"	"same-shaped adapters"	"T282 bootstrap/configuration slice"	"PIF branch remains a named COMMAND prerequisite; no synthetic boot files"
"CMD-54-0D"	"dos/command/cmdconf.c"	"cmdGetAutoexecBat"	"PIF/environment input; file transform; checked guest write"	"compound-prerequisite"	"same-shaped adapters"	"T282 bootstrap/configuration slice"	"Shares config-transform body with CMD-54-0C"
"CMD-54-0E"	"dos/command/cmdkeyb.c"	"cmdGetKbdLayout"	"keyboard layout/registry/code-page; checked guest write"	"adapter-prerequisite"	"same-shaped adapter"	"T282 local stream/console slice"	"Public keyboard/registry APIs require original fallback/error audit"
"CMD-54-0F"	"dos/command/cmdenv.c"	"cmdGetInitEnvironment"	"environment conversion; guest descriptor and write"	"adapter-prerequisite"	"same-shaped adapters"	"T282 environment/guest-query slice"	"Requires original cmdenv helpers plus bounded adapter-softpc guest lease"
"CMD-54-10"	"dos/command/cmdmisc.c; cmdpif.c"	"cmdGetStartInfo"	"PIF/startup session state; guest register"	"compound-prerequisite"	"same-shaped adapters"	"T282 bootstrap/configuration slice"	"PIF/startup record must be source-backed; no app-owned substitute"
"CMD-HELPER-ENV-001"	"dos/command/cmdenv.c"	"cmdXformEnvironment; cmdCreateVDMEnvironment"	"OpenNT OEM/ANSI/RTL environment algorithms"	"adapter-prerequisite"	"original body plus adapter-win32"	"T282 environment/guest-query slice"	"Original algorithms remain owner; modern environment bindings must preserve multisz and errors"
"CMD-HELPER-ENV-002"	"dos/command/cmdenv.c"	"cmdGet/Set/ExpandEnvironmentVariable"	"process environment capability"	"adapter-prerequisite"	"original body plus adapter-win32"	"T282 environment/guest-query slice"	"Must not mutate source-free session state or bypass original conversion"
"CMD-HELPER-DIR-001"	"dos/command/cmdmisc.c"	"cmdSetDirectories; cmdUpdateCurrentDirectories"	"current directory; process environment; VDM current-directory ABI"	"adapter-prerequisite"	"original body plus adapter-win32"	"T282 environment/guest-query slice"	"Session policy must retain original host current-directory semantics"
"CMD-HELPER-CMDINFO-001"	"dos/command/cmdmisc.c"	"cmdSetInfo"	"CMDINFO/SCSINFO numeric guest locations"	"adapter-prerequisite"	"same-shaped adapter-softpc"	"T282 CMDINFO guest-contract slice"	"Persistent raw guest pointers forbidden; source fields need numeric descriptor recovery"
