"work_item_id"	"source_path"	"current_source_sha256"	"source_owner"	"final_disposition"	"implementation_group"	"final_owner_or_link_boundary"	"named_adapter"	"mapping_implication"	"inherited_evidence"	"admission_state"
"T285-MVDM-FILE-0034"	"dos/dem/dem.c"	"2573da2dbf964c5e75102145b031766113cfc4e914dc00f0d80fdc6d98f5a2de"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0035"	"dos/dem/dem.h"	"29233820d5084e83c8132c204c988994d2bc13a7677e431090919cb0a32cc02c"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0036"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0037"	"dos/dem/demdasd.h"	"de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0038"	"dos/dem/demdata.c"	"d683f95923e4d5c9f31f5b1297910408b0eba68a1ac592d0cd9f54d364563c3c"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0039"	"dos/dem/demdir.c"	"7013b557f8d89527e719484c032bcb3befe8bf6f79cbd7c97eae49c737e1b9ac"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0040"	"dos/dem/demdisp.c"	"7ea3a829e3f8aad2dfe644d101cabaff514de25909db937675fc323dfce8fe3c"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0041"	"dos/dem/demerror.c"	"8c266cc5086f5bfb834f7d2054459f0a91b1789e90095e56ff363f77d409b64f"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0042"	"dos/dem/demfcb.c"	"21dcb966b19b1011f581e6ef19dfa3728c29369d6be4abc67ea852a8daf13ff1"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0043"	"dos/dem/demfile.c"	"1995a103e2bae65993ede077c344606b5e4bb56c8df74347adf94b143602f957"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0044"	"dos/dem/demgset.c"	"5126e8751d62864fb78c8ee7292c46cab6286569638828a480096509229672cb"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0045"	"dos/dem/demhndl.c"	"a663de6e721a8375f54aac7df867f8d00f7d689f9402e0dbd2b6666b996f4bdd"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0046"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0047"	"dos/dem/demlabel.c"	"f77e781014ad34f6686fc3a94019bd82c995d7830ebd29f91dc358272ed30f22"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0048"	"dos/dem/demlock.c"	"7716ab3be08f3532a60e3b05b2214bf1f8cb9f66f362b5f7f555dc3cd2755a71"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0049"	"dos/dem/demmisc.c"	"19676fa5995555ec0b16c2923953b4e6236467dc42bf36cc7e746f45d0fcf912"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0050"	"dos/dem/demmsg.c"	"1414099a0a5ad421440f101bbc6c669285141ab53bd9403b9ead4a6e4d9db2c8"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
