selector	original_entry	original_source	owner_group	final_s5_disposition	formal_evidence_or_source_result	deferred_owner_or_prerequisite
57:10	VrNetTransactApi	vdmredir/vrnetapi.c	NetAPI transaction	original source preserved; unavailable	VrpTransactVdm reaches private RxpTransactSmb/Lanman transaction ABI; no public same-shaped server	future Redirector protocol package, if admitted
57:11	VrNetRemoteApi	vdmredir/vrnetapi.c	NetAPI remote	original source preserved; unavailable	private Rxp/XactSrv remote conversion and persistent 16:16 conversion buffers have no public equivalent	future Redirector protocol package, if admitted
57:12	VrNetNullTransactApi	vdmredir/vrnetapi.c	NetAPI transaction	original source preserved; unavailable	delegates to private transaction contract; no safe public substitute	future Redirector protocol package, if admitted
57:13	VrNetServerEnum	vdmredir/vrnetapi.c	NetAPI remote	original source preserved; unavailable	original XsNetServerEnum2 conversion requires private Xs/Rx transaction ABI	future Redirector protocol package, if admitted
57:14	VrNetUseAdd	vdmredir/vrnetapi.c	NetAPI use mapping	original source preserved; unavailable	original XsNetUseAdd contract owns historical redirector-use marshaling and private server ABI	future Redirector protocol package, if admitted
57:15	VrNetUseDel	vdmredir/vrnetapi.c	NetAPI use mapping	original source preserved; unavailable	original XsNetUseDel contract owns historical redirector-use marshaling and private server ABI	future Redirector protocol package, if admitted
57:16	VrNetUseEnum	vdmredir/vrnetapi.c	NetAPI use mapping	original source preserved; unavailable	original XsNetUseEnum output has unbounded packed guest conversion and private server ABI	future Redirector protocol package, if admitted
57:17	VrNetUseGetInfo	vdmredir/vrnetapi.c	NetAPI use mapping	original source preserved; unavailable	original XsNetUseGetInfo output has source-owned packed conversion and private server ABI	future Redirector protocol package, if admitted
57:18	VrNetWkstaGetInfo	vdmredir/vrnetapi.c	NetAPI workstation	original source preserved; unavailable	multiple source layouts and XsNetWkstaGetInfo/private conversion require a separately admitted bounded marshal contract	future Redirector protocol package, if admitted
57:19	VrNetWkstaSetInfo	vdmredir/vrnetapi.c	NetAPI workstation	original source body composed	original body returns ERROR_NOT_SUPPORTED; P2 fixture x86/x64	no further S5 prerequisite
57:1A	VrNetMessageBufferSend	vdmredir/vrnetapi.c	NetAPI message	original source preserved; unavailable	original call is XsNetMessageBufferSend against private Lanman service ABI	future Redirector protocol package, if admitted
57:1B	VrGetCDNames	vdmredir/vrnetapi.c	NetAPI local names	original source preserved; unavailable	three nested far output pointers lack source length fields; no checked lease can be formed without an admitted ABI change	future Redirector bounded-marshaling package, if admitted
57:1C	VrGetComputerName	vdmredir/vrnetapi.c	NetAPI local name	original source body composed	LM20_CNLEN bounded ES:DI result; P3 fixture x86/x64	no further S5 prerequisite
57:1D	VrGetUserName	vdmredir/vrnetapi.c	NetAPI local name	original source body partially composed	BX=1 bounded ANSI ES:DI result through NetWkstaUserGetInfo; P4 fixture x86/x64; BX=0 remains unavailable because source declares no output capacity	future Redirector bounded-marshaling package, if admitted
57:1E	VrGetDomainName	vdmredir/vrnetapi.c	NetAPI local name	original source body composed	original body returns ERROR_NOT_SUPPORTED; P2 fixture x86/x64	no further S5 prerequisite
57:1F	VrGetLogonServer	vdmredir/vrnetapi.c	NetAPI local name	original source body composed	original body returns ERROR_NOT_SUPPORTED; P2 fixture x86/x64	no further S5 prerequisite
57:22	VrNetGetDCName	vdmredir/vrnetapi.c	NetAPI local name	original source body composed	original body returns ERROR_NOT_SUPPORTED; P2 fixture x86/x64	no further S5 prerequisite
57:25	VrNetbios5c	vdmredir/vrnetb.c	NetBIOS	original source preserved; unavailable	Netbios NCB post queue, callback and physical interrupt completion have no public same-shaped product contract	NetBIOS/monitor/IRQ owner package, if admitted
57:27	VrDlc5cHandler	vdmredir/vrdlc5c.c	DLC/LLC	original source preserved; unavailable	DLCAPI.DLL/LLC driver, VDM window and physical interrupt contract are absent	DLC/monitor/IRQ owner package, if admitted
57:28	VrVdmWindowInit	vdmredir/vrdlc5c.c	DLC/window	original source preserved; unavailable	DLC window data is meaningful only with unavailable DLC/LLC and interrupt completion contract	DLC/monitor/IRQ owner package, if admitted
57:29	VrReturnAssignMode	vdmredir/vrnetapi.c	mode	original source body composed	original source-defined carry-clear no-op; P2 fixture x86/x64	no further S5 prerequisite
57:2A	VrSetAssignMode	vdmredir/vrnetapi.c	mode	original source body composed	original source-defined carry-clear no-op; P2 fixture x86/x64	no further S5 prerequisite
57:2B	VrGetAssignListEntry	vdmredir/vrnetapi.c	mode	original source preserved; unavailable	original XsNetUseEnum use-list conversion requires private server ABI and output marshal contract	future Redirector protocol package, if admitted
57:2C	VrDefineMacro	vdmredir/vrnetapi.c	mode	original source preserved; unavailable	original XsNetUseAdd use-list creation requires private server ABI	future Redirector protocol package, if admitted
57:2D	VrBreakMacro	vdmredir/vrnetapi.c	mode	original source preserved; unavailable	original XsNetUseDel use-list mutation requires private server ABI	future Redirector protocol package, if admitted
57:2E	VrNetServiceControl	vdmredir/vrnetapi.c	NetAPI service	original source preserved; unavailable	original XsNetServiceControl is a private Lanman service ABI	future Redirector protocol package, if admitted
57:31	VrCheckPmNetbiosAnr	vdmredir/vrinit.c	NetBIOS/monitor	original source preserved; unavailable	async NetBIOS queue and protected monitor/IRQ delivery are unavailable	NetBIOS/monitor/IRQ owner package, if admitted
