"source_path"	"reached_interface_occurrence_count"	"reached_interface_families"	"coverage_disposition"
"wow32/mapembed.c"	"0"	"none in S2 scope"	"reviewed; no S2 thunk/frame boundary call"
"wow32/walias.c"	"5"	"WOW-TF-01; WOW-TF-02; WOW-TF-03"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/walloc16.c"	"1"	"WOW-TF-02"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/wcall16.c"	"57"	"WOW-TF-01; WOW-TF-02; WOW-TF-03; WOW-TF-05"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/wcall32.c"	"2"	"WOW-TF-03"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/wheap.c"	"0"	"none in S2 scope"	"reviewed; no S2 thunk/frame boundary call"
"wow32/wow32.c"	"29"	"WOW-TF-01; WOW-TF-02; WOW-TF-03; WOW-TF-04; WOW-TF-05; WOW-TF-06; WOW-TF-07"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/wowtbl.c"	"0"	"none in S2 scope"	"reviewed; no S2 thunk/frame boundary call"
"wow32/wparam.c"	"3"	"WOW-TF-02"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/wres16.c"	"14"	"WOW-TF-01; WOW-TF-02; WOW-TF-03"	"reviewed; every reached S2 call is in occurrence ledger"
"wow32/wres32.c"	"0"	"none in S2 scope"	"reviewed; no S2 thunk/frame boundary call"
"wow32/wstruc.c"	"103"	"WOW-TF-01; WOW-TF-02"	"reviewed; every reached S2 call is in occurrence ledger"
