one_ledger1_identity	caller_physical_identity	caller_source_path	caller_symbol	call_source_line	callee_spelling	call_form	source_definition_result	signature_disposition	seed_class	final_adoption_disposition	owner	next_action
"MVDM-HOST-ONE1-000013"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"58"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-000014"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"61"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-000018"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"80"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000020"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"92"	"_stricmp"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-000021"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"93"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-000022"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"95"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-000023"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"GetSegmentOwnerInfo"	"101"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000024"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap"	"bde/bdeheap.c"	"CheckGlobalHeap"	"127"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000025"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap"	"bde/bdeheap.c"	"CheckGlobalHeap"	"133"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000026"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap"	"bde/bdeheap.c"	"CheckGlobalHeap"	"139"	"ReadGNode32"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
