architecture	library	object	caller	linker_symbol	normalized_symbol	occurrences	source_first_disposition	source_candidates	binding_rule
"x86"	"original-softpc-host-roots.lib"	"nt_event.obj"	""	"_ExitVDM@8"	"ExitVDM"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"_host_terminate"	"_ExitVDM@8"	"ExitVDM"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-mvdm-command.lib"	"cmdexec.obj"	""	"_GetNextVDMCommand@4"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-mvdm-command.lib"	"cmdmisc.obj"	"_cmdGetNextCmd"	"_GetNextVDMCommand@4"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"config.obj"	""	"_GetNextVDMCommand@4"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	""	"_GetNextVDMCommand@4"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_sec.obj"	"_RegainRegenMemory"	"_NtAllocateVirtualMemory"	"NtAllocateVirtualMemory"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"config.obj"	"_config"	"_NtCurrentPeb@0"	"NtCurrentPeb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_sec.obj"	"_LoseRegenMemory"	"_NtFreeVirtualMemory"	"NtFreeVirtualMemory"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_error.obj"	"_WOWpSysErrorBox"	"_NtRaiseHardError"	"NtRaiseHardError"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
