table	instance	slot	typed_return	typed_arity	typed_parameters	source_symbol	generated_definition	disposition
"VideoVector"	"C_Video"	"0"	"IU32"	"0"	""	"S_0363_CiGetVideolatches_00000000"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"1"	"IU8 *"	"0"	""	"S_0364_CiGetVideorplane_00000001"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"2"	"IU8 *"	"0"	""	"S_0365_CiGetVideowplane_00000002"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"3"	"IU8 *"	"0"	""	"S_0366_CiGetVideoscratch_00000003"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"4"	"IU32"	"0"	""	"S_0367_CiGetVideosr_masked_val_00000004"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"5"	"IU32"	"0"	""	"S_0368_CiGetVideosr_nmask_00000005"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"6"	"IU32"	"0"	""	"S_0369_CiGetVideodata_and_mask_00000006"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"7"	"IU32"	"0"	""	"S_0370_CiGetVideodata_xor_mask_00000007"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"8"	"IU32"	"0"	""	"S_0371_CiGetVideolatch_xor_mask_00000008"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"9"	"IU32"	"0"	""	"S_0372_CiGetVideobit_prot_mask_00000009"	"sinit011.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
