record_id	macro	original_line	original_offset_expression	original_offset	declared_type	macro_form	same_offset_macros	x64_overlay_disposition
T310-S8-P4-GDP-0001	GLOBAL_HookNumber	3	0	0	IUH	lvalue	GLOBAL_HookNumber	candidate-generated-typed-slot
T310-S8-P4-GDP-0002	GLOBAL_EfiNumber	4	4	4	IUH	lvalue	GLOBAL_EfiNumber	candidate-generated-typed-slot
T310-S8-P4-GDP-0003	GLOBAL_SubrRingPtr	5	8	8	IUH*	lvalue	GLOBAL_SubrRingPtr	candidate-generated-typed-slot
T310-S8-P4-GDP-0004	GLOBAL_SubrRingLowIncl	6	12	12	IUH*	lvalue	GLOBAL_SubrRingLowIncl	candidate-generated-typed-slot
T310-S8-P4-GDP-0005	GLOBAL_SubrRingHighIncl	7	16	16	IUH*	lvalue	GLOBAL_SubrRingHighIncl	candidate-generated-typed-slot
T310-S8-P4-GDP-0006	GLOBAL_WhichAssertion	8	20	20	IUH	lvalue	GLOBAL_WhichAssertion	candidate-generated-typed-slot
T310-S8-P4-GDP-0007	GLOBAL_WhereAmI	9	24	24	IU32*	lvalue	GLOBAL_WhereAmI	candidate-generated-typed-slot
T310-S8-P4-GDP-0008	GLOBAL_CoRoRet	10	28	28	IUH	lvalue	GLOBAL_CoRoRet	candidate-generated-typed-slot
T310-S8-P4-GDP-0009	GLOBAL_ErrorNumber	11	32	32	IUH	lvalue	GLOBAL_ErrorNumber	candidate-generated-typed-slot
T310-S8-P4-GDP-0010	GLOBAL_EDL_WORKSPACE_0	12	36	36	IUH	lvalue	GLOBAL_EDL_WORKSPACE_0	candidate-generated-typed-slot
T310-S8-P4-GDP-0011	GLOBAL_EDL_WORKSPACE_1	13	40	40	IUH	lvalue	GLOBAL_EDL_WORKSPACE_1	candidate-generated-typed-slot
T310-S8-P4-GDP-0012	GLOBAL_EDL_WORKSPACE_2	14	44	44	IUH	lvalue	GLOBAL_EDL_WORKSPACE_2	candidate-generated-typed-slot
T310-S8-P4-GDP-0013	GLOBAL_EDL_WORKSPACE_3	15	48	48	IUH	lvalue	GLOBAL_EDL_WORKSPACE_3	candidate-generated-typed-slot
T310-S8-P4-GDP-0014	GLOBAL_EDL_WORKSPACE_4	16	52	52	IUH	lvalue	GLOBAL_EDL_WORKSPACE_4	candidate-generated-typed-slot
T310-S8-P4-GDP-0015	GLOBAL_EDL_WORKSPACE_5	17	56	56	IUH	lvalue	GLOBAL_EDL_WORKSPACE_5	candidate-generated-typed-slot
T310-S8-P4-GDP-0016	GLOBAL_EDL_WORKSPACE_6	18	60	60	IUH	lvalue	GLOBAL_EDL_WORKSPACE_6	candidate-generated-typed-slot
T310-S8-P4-GDP-0017	GLOBAL_EDL_WORKSPACE_7	19	64	64	IUH	lvalue	GLOBAL_EDL_WORKSPACE_7	candidate-generated-typed-slot
T310-S8-P4-GDP-0018	GLOBAL_EDL_WORKSPACE_8	20	68	68	IUH	lvalue	GLOBAL_EDL_WORKSPACE_8	candidate-generated-typed-slot
T310-S8-P4-GDP-0019	GLOBAL_EDL_WORKSPACE_9	21	72	72	IUH	lvalue	GLOBAL_EDL_WORKSPACE_9	candidate-generated-typed-slot
T310-S8-P4-GDP-0020	GLOBAL_EDL_WORKSPACE_10	22	76	76	IUH	lvalue	GLOBAL_EDL_WORKSPACE_10	candidate-generated-typed-slot
T310-S8-P4-GDP-0021	GLOBAL_EDL_WORKSPACE_11	23	80	80	IUH	lvalue	GLOBAL_EDL_WORKSPACE_11	candidate-generated-typed-slot
T310-S8-P4-GDP-0022	GLOBAL_EDL_WORKSPACE_12	24	84	84	IUH	lvalue	GLOBAL_EDL_WORKSPACE_12	candidate-generated-typed-slot
T310-S8-P4-GDP-0023	GLOBAL_EDL_WORKSPACE_13	25	88	88	IUH	lvalue	GLOBAL_EDL_WORKSPACE_13	candidate-generated-typed-slot
