cluster_id	review_cluster	raw_occurrence_count	unique_source_diagnostic_count	source_file_count	warning_counts	review_state	required_source_review
T310-S8-P4-WARN-CLUSTER-001	SPC-CVIDC-GENERATED-DISPATCH	35084	35084	35	C4457:19552;C4456:4888;C4127:4248;C4102:3034;C4245:2614;C4210:384;C4100:270;C4033:84;C4244:8;C4189:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-002	SPC-HOST-PLATFORM-BINDINGS	1337	197	14	C4005:1152;C4100:54;C4996:52;C4431:32;C4131:20;C4244:7;C4013:6;C4057:4;C4101:2;C4142:2;C4189:2;C4213:2;C4311:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-003	SPC-CCPU-EXECUTOR-DISPATCH	1010	1008	66	C4244:387;C4057:200;C4996:146;C4554:88;C4018:74;C4100:32;C4389:16;C4245:12;C4706:12;C4101:10;C4146:6;C4210:6;C4033:4;C4477:4;C4131:2;C4189:2;C4431:2;C4456:2;C4474:2;C4476:2;C4324:1	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-004	SPC-HOST-VIDEO-BINDINGS	558	556	5	C4100:268;C4244:262;C4211:10;C4131:4;C4189:4;C4002:2;C4013:2;C4101:2;C4142:2;C4210:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-005	SPC-VIDEO-CONTROLLER-DISPATCH	488	482	8	C4244:292;C4100:124;C4389:34;C4131:10;C4018:8;C4210:8;C4245:6;C4057:2;C4101:2;C4305:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-006	SPC-INPUT-CONTROLLER-CALLBACKS	356	356	4	C4100:218;C4244:88;C4431:16;C4101:14;C4013:6;C4131:6;C4996:4;C4245:2;C4706:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-007	MVDM-DOS-OWNER-PACKAGE	336	336	18	C4996:194;C4213:37;C4101:28;C4244:22;C4131:18;C4057:8;C4267:7;C4100:6;C4459:6;C4706:6;C4013:2;C4189:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-008	SPC-STORAGE-CONTROLLER-CALLBACKS	176	176	6	C4431:72;C4244:52;C4100:44;C4245:4;C4102:2;C4189:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-009	SPC-SYSTEM-CONTROLLER-CALLBACKS	116	116	8	C4244:44;C4996:22;C4101:12;C4100:10;C4131:6;C4706:6;C4245:4;C4554:4;C4005:2;C4067:2;C4127:2;C4201:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-010	SPC-OTHER-MACHINE-SOURCE	114	56	3	C4005:60;C4244:16;C4101:14;C4057:8;C4245:6;C4996:4;C4028:2;C4100:2;C4115:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-011	SPC-HOST-STORAGE-BINDINGS	84	84	2	C4100:48;C4996:16;C4244:12;C4189:4;C4131:2;C4459:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-012	SPC-HOST-INPUT-BINDINGS	74	74	4	C4100:36;C4101:14;C4244:14;C4131:4;C4057:2;C4189:2;C4552:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
