id	original_owner	original_surface	caller	boundary	current_disposition
T343-S1-01	opennt-host/base/win32/client/vdm.c	GetNextVDMCommand and Base VDM client records	mvdm-host COMMAND, WOW, config and scs_init	NT4 CSR/BaseSrv transport	adapter-mvdm-host-out/basesrv preserves the public call shape with a session-local copied record.
T343-S1-02	opennt-host/base/win32/server/srvvdm.c	BaseSrv Check/Exit/IsFirst/GetNext server operations	CSR server dispatch	CSRSS process/port/product shell	Source evidence only; not a user-mode runtime import.
T343-S1-03	adapter-mvdm-host-out/basesrv/source/base_vdm_local.c	local Base VDM record, wait and completion state	base_vdm_client.c	Session-owned completion and public host operations	Current bounded one-session client cohort; no process-global or raw-pointer route.
T343-S1-04	adapter-mvdm-host-out/monitor/source/vdm_control.c	NtVdmControl(VdmQueryDir)	mvdm-host/dos/dem/demsrch.c	NT4 kernel VDM API	Current same-shaped monitor binding permits only reached VdmQueryDir; other services fail explicitly.
T343-S1-05	mvdm-host/softpc.new/host/src/nt_event.c	nt_block_event_thread / nt_resume_event_thread	COMMAND child lifecycle and command retrieval	Original event thread / host console composition	Original selected bodies remain in both formal maps; broader broker semantics are not inferred.
T343-S1-06	mvdm-host/dpmi32/dpmiint.c and nt_eoi.c/nt_sec.c	VdmSetInt21Handler, VdmDelayInterrupt, VdmInitialize	DPMI and SoftPC machine paths	Kernel VDM plus machine interrupt lifecycle	Separate monitor/machine owner transfers; they must not be routed as BaseSrv command operations.
T343-S1-07	mvdm-host/wow32/wkman.c	GetNextVDMCommand WOW caller	WOW worker	WOWEXEC/BaseSrv notification/task lifetime	Future WOW+broker owner transfer; no current multi-caller completion claim.
T343-S1-08	formal CPU40 maps	GetNextVDMCommand, NtVdmControl, event block/resume symbols	selected final image	None	All named current bindings/selected original event bodies link in both x86 and x64 maps.
T343-S1-09	cross-process-gap	opennt-host/base/win32/server/srvvdm.c::{console, DOS and WOW records}	BaseSrv coordinates client processes through CSR messages, console records, process identity and disconnect cleanup.	Multiple VDM client processes and BaseSrv server dispatch.	CSRSS ports/server process, server-global records and private client capture transport.	Not implemented by base_vdm_local: it owns one bound session/thread record and contains no IPC endpoint, process registry or cross-process IDs. This is a real T343 recovery gap, not an unavailable leaf disguised as closure.
T343-S1-10	boundary-decision	current selected product	The only currently complete broker form is the same-shaped in-process Base VDM client record plus its copied request/retry/wait/result contract.	COMMAND/config direct callers.	Public Win32 can support a new broker transport but cannot make BaseSrv server source directly composable.	S1 must next define a bounded copied-record broker cohort from original server/client record semantics; it may not create an ad-hoc command/BOP IPC path.
