id	capability_owner	original_entrypoints_and_direct_callers	original_source_evidence	current_binding_or_owner	current_disposition	source_defined_result_or_boundary	T345_S1_state
T345-CAP-001	COMMAND configuration expansion	cmdGetConfigSys/cmdGetAutoexecBat -> ExpandConfigFiles -> GetPIFConfigFiles	cmd/command/cmdconf.c:65-108,198-230,320-381,513-528; cmdpif.c; guest callers request the returned temporary name	app package root plus adapter-mvdm-host-out/softpc mvdm_softpc_system_find_file	selected original body with root binding; full PIF selection not re-audited	selected CONFIG.NT/AUTOEXEC input is opened and expanded; missing selected input is an original failure, not a fallback to another shell	lowest-dependency candidate
T345-CAP-002	DEM host filesystem and DOS-handle operations	demOpen/demCreate/demDelete/demRename; demClose/demRead/demWrite/demChgFilePtr/demFileTimes/demCommit; VDD handle association	dos/dem/demfile.c:158-1250; demhndl.c:66-616; dem.h:166-208	original DEM source bodies plus adapter-mvdm-host-out/win32 ntioapi facade and shared handle/mapping boundary	adapter-backed source package; must verify current full direct capability rather than create a parallel provider	Win32/NT status and DOS error translations remain original DEM owner; host write permission is source-result input, not an implicit readonly policy	lowest-dependency candidate
T345-CAP-003	DEM directories, drives, volume and search	demCreateDir/demDeleteDir/demQueryCurrentDir/demSetCurrentDir; demSetDefaultDrive/demGetDrives/demGetDriveFreeSpace; demFindFirst/demFindNext	dos/dem/demdir.c:36-159; demgset.c:66-979; demsrch.c:255-745; cmdmisc.c:580-901	original DEM bodies, adapter-mvdm-host-out/win32 opennt_support_rtl current-directory binding and session-selected MVDM system root	adapter-backed; host-drive projection and DOS result matrix require package-level audit	real host path/current directory and drive query calls retain original DOS error conversion; session media root is not a synthetic C: drive	lowest-dependency candidate
T345-CAP-004	COMMAND console and keyboard-layout capability	cmdInitConsole/cmdGetKbdLayout/cmdGetCurrentDir/cmdSetDirectories	cmd/command/cmdmisc.c:580-858; cmdkeyb.c:60-160	adapter-mvdm-host-out/win32 console_compat.c and opennt_support_rtl.c	selected bindings exist; keyboard layout and normal console forms are separable from fullscreen	original keyboard-layout lookup continues to registry/codepage handling; unavailable console-server-only forms must not be reported as success	candidate after CAP-001/003
T345-CAP-005	SoftPC console input/event/display host forms	ConsoleEventThread/nt_event_loop/nt_process_keys; config display mode; nt_det/nt_graph/nt_fulsc presentation	event.c:308-1917; config.c:224-286; nt_det.c:213; nt_graph.c:532-1147; nt_fulsc.c:531-2387	adapter-mvdm-host-out/win32 console_compat.c; app/session video-event sink	partial source-shaped public-console binding; fullscreen hardware forms are not in T345	T345 may retain public input result contracts, but private Console Server fullscreen registration/mapping is transferred to the queued graphics-presentation package	later owner transfer
T345-CAP-006	SoftPC and COMMAND registry profile/keyboard configuration	read_profile_int/GetVDMSize/GetDefaultVDMSize; cmdGetKbdLayout	config.c:1133-1262; cmdkeyb.c:102-158	public Win32 RegOpenKeyEx/RegQueryValueEx and adapter-mvdm-host-out/softpc VDD configuration binding	original bodies can use public read APIs; exact registry-root/default/missing-key results need one source matrix	missing keys and access-denied must preserve original profile/default/failure branch; no registry writes are required to run the product	lowest-dependency candidate
T345-CAP-007	SoftPC serial, printer and named-pipe endpoints	nt_com polling/open/close; nt_lpt open/close; fprt PIPE endpoint	softpc.new/host/src/nt_com.c:218-1418; nt_lpt.c:167-309; fprt.c:39-43	original source forms; no selected endpoint lifecycle binding	currently unselected device endpoint capability	real COM/LPT/PIPE handles are public API inputs but require session-scoped ownership, cancellation and permission/error preservation	dedicated device-owner transfer
T345-CAP-008	Raw disk and floppy endpoint access	demDasd/demFdisk/demFloppy -> nt_fdisk/nt_rflop	dos/dem/demdasd.c:48-674; softpc.new/host/src/nt_fdisk.c:250-735; nt_rflop.c	original source forms; machine/device package owns lower hardware contracts	currently unselected physical-media capability	raw device open/read/write/format requires explicit media, lock and error semantics; it cannot be inferred from ordinary host-filesystem capability	dedicated device-owner transfer
T345-CAP-009	Redirector filesystem and pipes	cmdredir plus DEM pipe end markers	cmd/command/cmdredir.c:31-673; demhndl.c:588-616; dem.h:250-251	adapter-mvdm-host-out/redir original package closure	already separately closed owner package	do not duplicate Redirector/remote/pipe lifecycle into generic host capability recovery	closed-owner transfer
T345-CAP-010	COMMAND child process and standard streams	cmdExec/cmdExec32/cmdCreateProcess/cmdReturnExitCode and redirection helpers	cmd/command/cmdexec.c:385-693; cmdredir.c:250-673	adapter-mvdm-host-out/win32 command_process_compat.c and session lifecycle	source-shaped lifecycle is separately bounded; parent/child guest return is not a filesystem capability	do not absorb DOS EXEC/PSP, WOW, reentry or Redirector completion into T345	later lifecycle-owner transfer
