root	relative_path	size_bytes	sha256	file_class	source_series	final_disposition	staged_destination	provenance_reference
build-output	ANSI.SYS	9029	c929c0893bba4c6454632d3408ee4f7661b51cf5c2ce20035dcd4283cd623c85	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	append.exe	10790	73d6928246f369aac5de742e149196bf4dc3b5801a6effeed6d014e52841d0ac	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	AUTOEXEC.NT	438	c2a23a5fb96682c33d99c13a57e6f3c1e10dfd3d263d972775a8c42bfb6a9a9b	source-resource-or-control	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	backup.exe	22966	b692773717380e80558c5cf20bb5c6f9830dfd2ee908058daa51095955a6f239	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	bin/winstub.exe	610	7fb9c1c6a87ae28d4db1b7abb8b51a651221986cdb3de59cb3e153c3425e847a	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/autoexec.nt	438	c2a23a5fb96682c33d99c13a57e6f3c1e10dfd3d263d972775a8c42bfb6a9a9b	source-resource-or-control	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/config.nt	2510	6ae1e74e78de00c0fa03124e6f947d977c71f253855ad2af979554074aea189a	source-resource-or-control	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/country.sys	17069	ba263d4276024a904ece68fe193f8ca6da928dc9b35f8948f69d458dbb6ac3d0	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/ctl3dv2.dll	27200	3387135a5075439b9238d6c486b047d4dba8d9a6d1dad6bb74050347c70616db	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/lanman.drv	221600	60204f58744d38e9201ba958d45c483ce7989b216b98a67ce5aa355af37dec02	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/lzexpand.dll	9936	faf467ce496dd59655ccd91c26c8ea694551f54fa6bbf5f480f398fc54d12fdd	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/netapi.dll	108464	30a8ed7453779195ad196d2e0a024e05619688c6a101e6b5ae8c6647608bbb1a	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/olecli.dll	83456	f3a76752b6a257056ec43cd6d43da5a65244fc5c41f89e2162ef27634ece54b4	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/pmspl.dll	27248	432bb90629ceb7714c13f54147caa11ce77d7bdd3a168bba86195565b5fee456	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/ver.dll	9008	6d03cf1e31748149b6d34725e293c5ee4f3bd7ddebe526285fe7ba41a1d1f5b4	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	bin86/winhelp.exe	256192	47626dffe7795d7ee6ef9bfb057c398b37b21d397caa5ab0cad7e7dffb643170	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	COMMAND.COM	50384	908a77ac617c2d741f0aa1b73f73973dcf29adc91f092e5bcb02173c8c732c43	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	commdlg/COMMDLG.DLL	32784	54a7981c5667bde19f0d703580d40a448a0bdec010feffa153004ef4870dc0d4	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	CONFIG.NT	2510	6ae1e74e78de00c0fa03124e6f947d977c71f253855ad2af979554074aea189a	source-resource-or-control	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	country.exe	27609	1b5b114fc5442a596d654ee2e463cf9b250561ab9de49c7bf15f79856fb96442	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	COUNTRY.SYS	27097	9ddf2b738307b5950699513e6b8221e2044bb686487a8c216af7c6fd3f853b54	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	DEBUG.EXE	20634	9c230aa1caff2ff9d845514017b3e4bbe7b308ad26ad88740967651f7955cd60	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	DOSX.EXE	36616	c5af29a29abf167b243daabf877459e8278b8c9a339bf8e1e2576ead5f6ceeff	binary-product	source-built-cross-check	runtime-media	mvdm/system32/DOSX.EXE	build/output/dos
build-output	drivers/comm/comm.drv	10544	ee589c26791b66742f7b5e183a44c56a13053dc584b0dca3fcc20cd87bdca69e	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/display/config.exe	610	17879142d347be4180e84360ee862095b7b0e88980c22894a9ce4fb011596f16	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/display/DISPLAY.EXE	2112	943c2e3499e64157d11c81c85db7586e13af623044880876b390fbfcfac3cfb6	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/display/vga.drv	2112	943c2e3499e64157d11c81c85db7586e13af623044880876b390fbfcfac3cfb6	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/keyboard/keyboard.drv	2000	c34d7d8d71453dd7567c6db28958a0d4d11e4b198cfc436f4d430d93a5a3584c	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/mouse/mouse.drv	2032	2fa5611bb18edd9c0f35e0a6b479b9d9db17549aed811ab692bd79c3e899f890	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/mouse/MOUSE.EXE	2032	2fa5611bb18edd9c0f35e0a6b479b9d9db17549aed811ab692bd79c3e899f890	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	drivers/sound/sound.drv	1744	d5932cbd4e0155a07d4d0f64c0f8afcdc3aefe90e06e7265c6651b10c2f03801	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	edit.com	413	e0a0b24fee4037cb050670661c30ad7ecc0ea9483938152fca3d807c443e8a46	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	EDLIN.EXE	12642	9d835a8a46406fcb01f4509550cc86ea2755c3084c95c744cbec79d8d94c0477	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	EXE2BIN.EXE	8424	edf4009a2ab45a30ae3291b0f8c9585de9a15b6a1262288ae6694d4693cb737e	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	FASTOPEN.EXE	882	69dabbdb754b358ac4fe4b22de04c0e4c93076816f14bb0730caa9fd223996fc	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	fonts/app852.fon	16435	ca3b89619d7c41798834f2e3da09138f1c57a391d5f963fcbef85665595358a6	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/app857.fon	16587	3b5bc4dde6a0b48f55252b94750b74c7621f4a0d8f7aff52bb49521078ce7959	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/app866.fon	16663	a782587b6adf4d698511eca99e115af79064b44429272c1c60e4ca70ef18d274	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga40737.fon	3641	c90ba5043990a30933ad7a0db2794cda3870b85b09378ae4e778579cd0ad594a	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga40852.fon	3349	d0aa5a7d2a9c6bef4d2f11d7e715df3b4fbc4e93caa141a0c1ec5ee4d92b26d6	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga40857.fon	3335	71f1c8d03809a74eee037b5a8c4598148469a4c72e8a5d3722e3515ef50a72a0	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/cga40866.fon	3726	8a16153551932c535c6934cb3a675f2db6691348cc3e7fffdf5f4c3075e9552e	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
