candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	declaration_shapes	original_mvdm_definition_candidate_count	original_mvdm_definition_identities	next_disposition
"MVDM-FIRST-REBASELINED-000184"	"ExpandConfigFiles"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"251"	"cmdCreateTempFile"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99;O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000207"	"ExpandConfigFiles"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"530"	"cmdInitConsole"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729;O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000220"	"CmdDispatch"	"dos/command/cmddisp.c"	"2a906e7100da9db6f16bab91c767b149f28e63a0db2803297812a8e86d2b19d6"	"48"	"DbgPrint"	"function-form-token"	"0"	""	"no original-MVDM body candidate; continue T301 approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000331"	"cmdCreateProcess"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"330"	"GetNextVDMCommand"	"function-form-token"	"0"	""	"no original-MVDM body candidate; continue T301 approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000351"	"cmdCreateProcess"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"419"	"GetNextVDMCommand"	"function-form-token"	"0"	""	"no original-MVDM body candidate; continue T301 approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000355"	"cmdExec32"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"472"	"GetNextVDMCommand"	"function-form-token"	"0"	""	"no original-MVDM body candidate; continue T301 approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000361"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"625"	"cmdUpdateCurrentDirectories"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778;O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000362"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"630"	"cmdCheckCopyForRedirection"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20;O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000363"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"633"	"GetNextVDMCommand"	"function-form-token"	"0"	""	"no original-MVDM body candidate; continue T301 approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000391"	"cmdGetKbdLayout"	"dos/command/cmdkeyb.c"	"b945cd4a072b592211f6427ee526b2ca47be05ac6bef9a33956105749d899eba"	"248"	"cmdInitConsole"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729;O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000420"	"demDasdRead"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"213"	"nt_floppy_media_check"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000424"	"demDasdRead"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"250"	"nt_floppy_read"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000425"	"demDasdWrite"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"293"	"nt_floppy_media_check"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000429"	"demDasdWrite"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"330"	"nt_floppy_write"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000430"	"demDasdFormat"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"363"	"nt_floppy_get_media_type"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|903;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|903"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000431"	"demDasdFormat"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"371"	"nt_floppy_format"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|742;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|742"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000432"	"demDasdVerify"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"393"	"nt_floppy_verify"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|771;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|771"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000435"	"demGetBPB"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"425"	"nt_floppy_media_check"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
