"candidate_id"	"callee_spelling"	"preliminary_category"	"disposition"
"MVDM-FIRST-REBASELINED-000001"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000002"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000004"	"_stricmp"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000005"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000006"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000017"	"isprint"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000020"	"DumpTaskInfo"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000021"	"DumpTaskInfo"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000054"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000060"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000061"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000062"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000063"	"OpenFile"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000064"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000065"	"strcat"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000066"	"OpenFile"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000067"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000068"	"strcat"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000069"	"OpenFile"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000070"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000071"	"_llseek"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000072"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000073"	"_llseek"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000074"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000075"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000076"	"_llseek"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000077"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000078"	"_llseek"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000079"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000080"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000081"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000082"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000083"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000084"	"strcat"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000085"	"OpenFile"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000086"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000087"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000088"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000089"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000090"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000091"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000092"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000093"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000094"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000095"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000096"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000097"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000098"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000099"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000100"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000101"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000102"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000103"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000104"	"_llseek"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000105"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000106"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000107"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
