canonical_interface_id	callee_spelling	raw_call_site_count	raw_candidate_ids	caller_definition_count	caller_source_identities	initial_first_degree_statuses	prior_semantic_dispositions	boundary
"MVDM-FIRST-INTERFACE-000001"	"_close"	"4"	"MVDM-FIRST-CANDIDATE-001716;MVDM-FIRST-CANDIDATE-001718;MVDM-FIRST-CANDIDATE-001720;MVDM-FIRST-CANDIDATE-001722"	"2"	"softpc.new/host/src/nt_rez.c:89;softpc.new/host/src/nt_rez.c:128;softpc.new/host/src/nt_rez.c:143;softpc.new/host/src/nt_rez.c:172"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000002"	"_lseek"	"2"	"MVDM-FIRST-CANDIDATE-001713;MVDM-FIRST-CANDIDATE-001714"	"1"	"softpc.new/host/src/nt_rez.c:80;softpc.new/host/src/nt_rez.c:86"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000003"	"_read"	"1"	"MVDM-FIRST-CANDIDATE-001715"	"1"	"softpc.new/host/src/nt_rez.c:88"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000004"	"_strnset"	"2"	"MVDM-FIRST-CANDIDATE-000256;MVDM-FIRST-CANDIDATE-000257"	"1"	"dos/dem/demsrch.c:2076;dos/dem/demsrch.c:2080"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000005"	"_wcsnicmp"	"1"	"MVDM-FIRST-CANDIDATE-000029"	"1"	"dos/command/cmdenv.c:97"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000006"	"_write"	"3"	"MVDM-FIRST-CANDIDATE-001717;MVDM-FIRST-CANDIDATE-001719;MVDM-FIRST-CANDIDATE-001721"	"1"	"softpc.new/host/src/nt_rez.c:127;softpc.new/host/src/nt_rez.c:142;softpc.new/host/src/nt_rez.c:171"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000007"	"a_getNpxControlReg"	"1"	"MVDM-FIRST-CANDIDATE-001045"	"1"	"softpc.new/base/debug/trace.c:518"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000008"	"a_getNpxStackReg"	"1"	"MVDM-FIRST-CANDIDATE-001048"	"1"	"softpc.new/base/debug/trace.c:553"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000009"	"a_getNpxStatusReg"	"2"	"MVDM-FIRST-CANDIDATE-001044;MVDM-FIRST-CANDIDATE-001046"	"2"	"softpc.new/base/debug/trace.c:506;softpc.new/base/debug/trace.c:529"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000010"	"a_getNpxTagwordReg"	"1"	"MVDM-FIRST-CANDIDATE-001047"	"1"	"softpc.new/base/debug/trace.c:540"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
