definition_id	symbol	source_path	source_aliases	source_sha256	source_line	package_root	package_aliases	provenance_roots	signature_evidence	leaf_status	leaf_basis	direct_call_summary
"MVDM-FIRST-DEFINITION-000001"	"cmdCheckCopyForRedirection"	"base/mvdm/dos/command/cmdredir.c"	"base/mvdm/dos/command/cmdredir.c;nt/private/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"20"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"BOOL cmdCheckCopyForRedirection (pRdrInfo) PREDIRCOMPLETE_INFO pRdrInfo;"	"non-leaf"	"one-or-more-direct-call-expressions"	"ASSERT@31:second:MVDM-SECOND-CANDIDATE-000001;EnterCriticalSection@55:second:MVDM-SECOND-CANDIDATE-000002;WaitForSingleObject@57:second:MVDM-SECOND-CANDIDATE-000003;TerminateThread@58:second:MVDM-SECOND-CANDIDATE-000004;WaitForSingleObject@59:second:MVDM-SECOND-CANDIDATE-000005;LeaveCriticalSection@61:second:MVDM-SECOND-CANDIDATE-000006;CloseHandle@62:second:MVDM-SECOND-CANDIDATE-000007;CloseHandle@63:second:MVDM-SECOND-CANDIDATE-000008;CloseHandle@64:second:MVDM-SECOND-CANDIDATE-000009;CloseHandle@65:second:MVDM-SECOND-CANDIDATE-000010;DeleteCriticalSection@66:second:MVDM-SECOND-CANDIDATE-000011;DeleteFile@67:second:MVDM-SECOND-CANDIDATE-000012;free@68:second:MVDM-SECOND-CANDIDATE-000013;free@69:second:MVDM-SECOND-CANDIDATE-000014;SetEvent@78:second:MVDM-SECOND-CANDIDATE-000015;WaitForSingleObject@86:second:MVDM-SECOND-CANDIDATE-000016;CloseHandle@87:second:MVDM-SECOND-CANDIDATE-000017;SetEvent@90:second:MVDM-SECOND-CANDIDATE-000018;WaitForSingleObject@91:second:MVDM-SECOND-CANDIDATE-000019;CloseHandle@92:second:MVDM-SECOND-CANDIDATE-000020;free@94:second:MVDM-SECOND-CANDIDATE-000021"
"MVDM-FIRST-DEFINITION-000002"	"cmdCreateTempFile"	"base/mvdm/dos/command/cmdredir.c"	"base/mvdm/dos/command/cmdredir.c;nt/private/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"99"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"BOOL cmdCreateTempFile (phTempFile,ppszTempFile) PHANDLE phTempFile; PCHAR *ppszTempFile;"	"non-leaf"	"one-or-more-direct-call-expressions"	"malloc@110:second:MVDM-SECOND-CANDIDATE-000022;GetTempPath@115:second:MVDM-SECOND-CANDIDATE-000023;free@118:second:MVDM-SECOND-CANDIDATE-000024;free@123:second:MVDM-SECOND-CANDIDATE-000025;malloc@128:second:MVDM-SECOND-CANDIDATE-000026;free@129:second:MVDM-SECOND-CANDIDATE-000027;GetTempFileName@134:second:MVDM-SECOND-CANDIDATE-000028;GetWindowsDirectory@137:second:MVDM-SECOND-CANDIDATE-000029;strcpy@139:second:MVDM-SECOND-CANDIDATE-000030;GetTempFileName@142:second:MVDM-SECOND-CANDIDATE-000031;CreateFile@154:second:MVDM-SECOND-CANDIDATE-000032;free@161:second:MVDM-SECOND-CANDIDATE-000033;free@162:second:MVDM-SECOND-CANDIDATE-000034;free@168:second:MVDM-SECOND-CANDIDATE-000035"
"MVDM-FIRST-DEFINITION-000003"	"CMDInit"	"base/mvdm/dos/command/cmd.c"	"base/mvdm/dos/command/cmd.c;nt/private/mvdm/dos/command/cmd.c"	"9d0a773fcc8d7765b0fe3fe3750b5c9a29a596362f78a221161318fd83cc0262"	"23"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"BOOL CMDInit (argc,argv) INT argc; PSZ *argv;"	"non-leaf"	"one-or-more-direct-call-expressions"	"GetSystemDirectory@30:second:MVDM-SECOND-CANDIDATE-000036"
"MVDM-FIRST-DEFINITION-000004"	"CreateDirectoryOem"	"base/mvdm/oemuni/file.c"	"base/mvdm/oemuni/file.c;nt/private/mvdm/oemuni/file.c"	"a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df"	"680"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"CreateDirectoryOem( LPSTR lpPathName, LPSECURITY_ATTRIBUTES lpSecurityAttributes ) /*++ Routine Description: Oem thunk to CreateDirectoryW --*/"	"non-leaf"	"one-or-more-direct-call-expressions"	"NtCurrentTeb@698:second:MVDM-SECOND-CANDIDATE-000037;InitOemString@699:second:MVDM-SECOND-CANDIDATE-000038;RtlOemStringToUnicodeString@700:second:MVDM-SECOND-CANDIDATE-000039;NT_SUCCESS@701:second:MVDM-SECOND-CANDIDATE-000040;SetLastError@703:second:MVDM-SECOND-CANDIDATE-000041;BaseSetLastNTError@706:second:MVDM-SECOND-CANDIDATE-000042;CreateDirectoryW@710:second:MVDM-SECOND-CANDIDATE-000043"
"MVDM-FIRST-DEFINITION-000005"	"CreateFileOem"	"base/mvdm/oemuni/file.c"	"base/mvdm/oemuni/file.c;nt/private/mvdm/oemuni/file.c"	"a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df"	"59"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"CreateFileOem( LPCSTR lpFileName, DWORD dwDesiredAccess, DWORD dwShareMode, LPSECURITY_ATTRIBUTES lpSecurityAttributes, DWORD dwCreationDisposition, DWORD dwFlagsAndAttributes, HANDLE hTemplateFile ) /*++ Routine Description: OEM thunk to CreateFileW --*/"	"non-leaf"	"one-or-more-direct-call-expressions"	"NtCurrentTeb@85:second:MVDM-SECOND-CANDIDATE-000044;InitOemString@86:second:MVDM-SECOND-CANDIDATE-000045;RtlOemStringToUnicodeString@87:second:MVDM-SECOND-CANDIDATE-000046;NT_SUCCESS@88:second:MVDM-SECOND-CANDIDATE-000047;SetLastError@90:second:MVDM-SECOND-CANDIDATE-000048;BaseSetLastNTError@93:second:MVDM-SECOND-CANDIDATE-000049;CreateFileW@104:second:MVDM-SECOND-CANDIDATE-000050;CreateFileW@124:second:MVDM-SECOND-CANDIDATE-000051"
"MVDM-FIRST-DEFINITION-000006"	"DeleteFileOem"	"base/mvdm/oemuni/file.c"	"base/mvdm/oemuni/file.c;nt/private/mvdm/oemuni/file.c"	"a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df"	"219"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"DeleteFileOem( LPSTR lpFileName ) /*++ Routine Description: Oem thunk to DeleteFileW --*/"	"non-leaf"	"one-or-more-direct-call-expressions"	"NtCurrentTeb@236:second:MVDM-SECOND-CANDIDATE-000052;InitOemString@237:second:MVDM-SECOND-CANDIDATE-000053;RtlOemStringToUnicodeString@238:second:MVDM-SECOND-CANDIDATE-000054;NT_SUCCESS@239:second:MVDM-SECOND-CANDIDATE-000055;SetLastError@241:second:MVDM-SECOND-CANDIDATE-000056;BaseSetLastNTError@244:second:MVDM-SECOND-CANDIDATE-000057;DeleteFileW@248:second:MVDM-SECOND-CANDIDATE-000058"
"MVDM-FIRST-DEFINITION-000007"	"demCreateCommon"	"base/mvdm/dos/dem/demfile.c"	"base/mvdm/dos/dem/demfile.c;nt/private/mvdm/dos/dem/demfile.c"	"701c7ce94b6317f23d73d847c681338ddb522d0216cf6373713e542c34236620"	"588"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"VOID demCreateCommon (flCreateType) ULONG flCreateType;"	"non-leaf"	"one-or-more-direct-call-expressions"	"GetVDMAddr@604:second:MVDM-SECOND-CANDIDATE-000059;getDS@604:second:MVDM-SECOND-CANDIDATE-000060;getSI@604:second:MVDM-SECOND-CANDIDATE-000061;getCX@605:second:MVDM-SECOND-CANDIDATE-000062;demCreateLabel@613:zero-back-edge;setCF@615:second:MVDM-SECOND-CANDIDATE-000063;setAX@616:second:MVDM-SECOND-CANDIDATE-000064;setAX@619:second:MVDM-SECOND-CANDIDATE-000065;setBP@620:second:MVDM-SECOND-CANDIDATE-000066;setCF@621:second:MVDM-SECOND-CANDIDATE-000067;sprintf@628:second:MVDM-SECOND-CANDIDATE-000068;OutputDebugStringOem@629:first-degree-internal;CreateFileOem@641:first-degree-internal;IsCdRomFile@653:zero-back-edge;strrchr@677:second:MVDM-SECOND-CANDIDATE-000069;_strcmpi@680:second:MVDM-SECOND-CANDIDATE-000070;_strcmpi@681:second:MVDM-SECOND-CANDIDATE-000071;_strcmpi@682:second:MVDM-SECOND-CANDIDATE-000072;RemoveFontResourceOem@684:first-degree-internal;PostMessage@685:second:MVDM-SECOND-CANDIDATE-000073;_strcmpi@693:second:MVDM-SECOND-CANDIDATE-000074;RtlZeroMemory@695:second:MVDM-SECOND-CANDIDATE-000075;RtlCopyMemory@696:second:MVDM-SECOND-CANDIDATE-000076;strcat@697:second:MVDM-SECOND-CANDIDATE-000077;RemoveFontResourceOem@698:first-degree-internal;PostMessage@699:second:MVDM-SECOND-CANDIDATE-000078;demClientError@707:zero-back-edge;GetFileSize@714:second:MVDM-SECOND-CANDIDATE-000079;CloseHandle@715:second:MVDM-SECOND-CANDIDATE-000080;demClientError@716:zero-back-edge;setCX@719:second:MVDM-SECOND-CANDIDATE-000081;setBX@720:second:MVDM-SECOND-CANDIDATE-000082;setBP@721:second:MVDM-SECOND-CANDIDATE-000083;setAX@722:second:MVDM-SECOND-CANDIDATE-000084;setCF@723:second:MVDM-SECOND-CANDIDATE-000085"
"MVDM-FIRST-DEFINITION-000008"	"demGetMiscInfo"	"base/mvdm/dos/dem/demfcb.c"	"base/mvdm/dos/dem/demfcb.c;nt/private/mvdm/dos/dem/demfcb.c"	"2705fe134a825c3fbcb11594cf1aa23e858438a43d1de0c03e010930f921c670"	"726"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"BOOL demGetMiscInfo (hFile, lpTime, lpDate, lpSize) HANDLE hFile; LPWORD lpTime; LPWORD lpDate; LPDWORD lpSize;"	"non-leaf"	"one-or-more-direct-call-expressions"	"GetFileTime@735:second:MVDM-SECOND-CANDIDATE-000086;demPrintMsg@736:second:MVDM-SECOND-CANDIDATE-000087;ASSERT@737:second:MVDM-SECOND-CANDIDATE-000088;demClientError@738:zero-back-edge;CloseHandle@739:second:MVDM-SECOND-CANDIDATE-000089;FileTimeToLocalFileTime@743:second:MVDM-SECOND-CANDIDATE-000090;FileTimeToDosDateTime@745:second:MVDM-SECOND-CANDIDATE-000091;demPrintMsg@748:second:MVDM-SECOND-CANDIDATE-000092;ASSERT@749:second:MVDM-SECOND-CANDIDATE-000093;demClientError@750:zero-back-edge;GetFileSize@754:second:MVDM-SECOND-CANDIDATE-000094;demPrintMsg@755:second:MVDM-SECOND-CANDIDATE-000095;ASSERT@756:second:MVDM-SECOND-CANDIDATE-000096;demClientError@757:zero-back-edge;demPrintMsg@762:second:MVDM-SECOND-CANDIDATE-000097;ASSERT@763:second:MVDM-SECOND-CANDIDATE-000098;demClientError@764:zero-back-edge"
"MVDM-FIRST-DEFINITION-000009"	"ExitVDM"	"base/win32/client/vdm.c"	"base/win32/client/vdm.c"	"3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173"	"731"	"base/win32/client"	"base/win32/client"	"O:\repos.external\OpenNT"	"ExitVDM( BOOL IsWowCaller, ULONG iWowTask ) /*++ Routine Description: This routine is used by MVDM to exit. Arguments: IsWowCaller - TRUE if the caller is WOWVDM. FALSE if the caller is DOSVDM iWowTask - if IsWowCaller == FALSE then Dont Care - if IsWowCaller == TRUE && iWowTask != -1 kill iWowTask task - if IsWowCaller == TRUE && iWowTask == -1 kill all wow task Return Value: None --*/"	"non-leaf"	"one-or-more-direct-call-expressions"	"NtCurrentPeb@767:second:MVDM-SECOND-CANDIDATE-000099;CsrClientCallServer@772:second:MVDM-SECOND-CANDIDATE-000100;CSR_MAKE_API_NUMBER@775:second:MVDM-SECOND-CANDIDATE-000101;NT_SUCCESS@780:second:MVDM-SECOND-CANDIDATE-000102;NtClose@781:second:MVDM-SECOND-CANDIDATE-000103"
"MVDM-FIRST-DEFINITION-000010"	"ExpandEnvironmentStringsOem"	"base/mvdm/oemuni/process.c"	"base/mvdm/oemuni/process.c;nt/private/mvdm/oemuni/process.c"	"38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468"	"750"	"base/mvdm"	"base/mvdm;nt/private/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"ExpandEnvironmentStringsOem( LPSTR lpSrc, LPSTR lpDst, DWORD cchDst ) /*++ OEM thunk to ExpandEnvironmentStrings --*/"	"non-leaf"	"one-or-more-direct-call-expressions"	"ARGUMENT_PRESENT@769:second:MVDM-SECOND-CANDIDATE-000104;SetLastError@770:second:MVDM-SECOND-CANDIDATE-000105;InitOemString@779:second:MVDM-SECOND-CANDIDATE-000106;RtlOemStringToUnicodeString@780:second:MVDM-SECOND-CANDIDATE-000107;NT_SUCCESS@781:second:MVDM-SECOND-CANDIDATE-000108;SetLastError@783:second:MVDM-SECOND-CANDIDATE-000109;BaseSetLastNTError@786:second:MVDM-SECOND-CANDIDATE-000110;RtlUnicodeStringToAnsiString@791:second:MVDM-SECOND-CANDIDATE-000111;NT_SUCCESS@792:second:MVDM-SECOND-CANDIDATE-000112;BaseSetLastNTError@793:second:MVDM-SECOND-CANDIDATE-000113;RtlFreeUnicodeString@796:second:MVDM-SECOND-CANDIDATE-000114;ExpandEnvironmentStrings@799:second:MVDM-SECOND-CANDIDATE-000115;RtlInitString@804:second:MVDM-SECOND-CANDIDATE-000116;RtlAnsiStringToUnicodeString@805:second:MVDM-SECOND-CANDIDATE-000117;NT_SUCCESS@806:second:MVDM-SECOND-CANDIDATE-000118;SetLastError@808:second:MVDM-SECOND-CANDIDATE-000119;BaseSetLastNTError@811:second:MVDM-SECOND-CANDIDATE-000120;RtlUnicodeStringToOemString@815:second:MVDM-SECOND-CANDIDATE-000121;NT_SUCCESS@816:second:MVDM-SECOND-CANDIDATE-000122;BaseSetLastNTError@817:second:MVDM-SECOND-CANDIDATE-000123;RtlFreeUnicodeString@826:second:MVDM-SECOND-CANDIDATE-000124;RtlFreeAnsiString@830:second:MVDM-SECOND-CANDIDATE-000125;RtlFreeAnsiString@834:second:MVDM-SECOND-CANDIDATE-000126"
