candidate_id	caller_definition_id	caller_source_path	caller_source_sha256	caller_source_line	caller_symbol	callee_spelling	prior_semantic_disposition	resolution_outcome	definition_ids	definition_source_identities	final_disposition	final_owner	resolution_basis
"MVDM-FIRST-CANDIDATE-000001"	"MVDM-ZERO-DEFINITION-000025"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"351"	"TaskInfo"	"DumpTaskInfo"	"not-yet-classified-by-preceding-external-audit"	"caller-not-host-runtime-source-only"	""	""	"tool-only"	"original package retained as source/contract evidence"	"caller file final disposition is tool-only; its private outgoing call is source evidence, not a current host-runtime recovery dependency"
"MVDM-FIRST-CANDIDATE-000002"	"MVDM-ZERO-DEFINITION-000025"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"356"	"TaskInfo"	"DumpTaskInfo"	"not-yet-classified-by-preceding-external-audit"	"caller-not-host-runtime-source-only"	""	""	"tool-only"	"original package retained as source/contract evidence"	"caller file final disposition is tool-only; its private outgoing call is source evidence, not a current host-runtime recovery dependency"
"MVDM-FIRST-CANDIDATE-000003"	"MVDM-ZERO-DEFINITION-000041"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"17"	"ReadProcessMem"	"ReadProcessMemory"	"not-host-runtime-source-only"	"caller-not-host-runtime-source-only"	""	""	"tool-only"	"original package retained as source/contract evidence"	"caller file final disposition is tool-only; its private outgoing call is source evidence, not a current host-runtime recovery dependency"
"MVDM-FIRST-CANDIDATE-000004"	"MVDM-ZERO-DEFINITION-000042"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"34"	"WriteProcessMem"	"WriteProcessMemory"	"not-host-runtime-source-only"	"caller-not-host-runtime-source-only"	""	""	"tool-only"	"original package retained as source/contract evidence"	"caller file final disposition is tool-only; its private outgoing call is source evidence, not a current host-runtime recovery dependency"
"MVDM-FIRST-CANDIDATE-000005"	"MVDM-ZERO-DEFINITION-000045"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"173"	"GetContext"	"NtGetContextThread"	"not-host-runtime-source-only"	"caller-not-host-runtime-source-only"	""	""	"tool-only"	"original package retained as source/contract evidence"	"caller file final disposition is tool-only; its private outgoing call is source evidence, not a current host-runtime recovery dependency"
"MVDM-FIRST-CANDIDATE-000006"	"MVDM-ZERO-DEFINITION-000052"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"379"	"GetDescriptorData"	"NtQueryInformationThread"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:2768;public/ddk/inc/ntddk.h:4582;public/ddk/inc/ntddk.h:7807;public/ifskit/inc/ntifs.h:2586;public/sdk/inc/ntpsapi.h:768;public/sdk/inc/ntpsapi.h:786;public/sdk/inc/ntpsapi.h:984;public/sdk/inc/ntx86.h:529;sdktools/heaper/ntsdp.h:163;sdktools/ntsd/ntsdp.h:182"
"MVDM-FIRST-CANDIDATE-000007"	"MVDM-ZERO-DEFINITION-000112"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"146"	"DBGInit"	"NtQueryInformationProcess"	"native-nt-or-loader-contract"	"caller-not-host-runtime-source-only"	""	""	"tool-only"	"original package retained as source/contract evidence"	"caller file final disposition is tool-only; its private outgoing call is source evidence, not a current host-runtime recovery dependency"
"MVDM-FIRST-CANDIDATE-000008"	"MVDM-ZERO-DEFINITION-000113"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"169"	"SendVDMEvent"	"RaiseException"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/wdbgexts.h:1942;public/sdk/inc/winbase.h:1932;sdktools/jetadmin/inc/winbase.h:1681;sdktools/jetadmin/sdk/inc32/winbase.h:1581;sdktools/wap/base/baseapi.h:328;windows/core/advapi/digsig/digsig/debug.h:35"
"MVDM-FIRST-CANDIDATE-000009"	"MVDM-ZERO-DEFINITION-000124"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"820"	"GPFault"	"SetErrorMode"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"admin/netui/common/hack/dos/windows.h:412;admin/netui/common/hack/dos/windows.h:417;base/crts/crtw32/h/stdlib.h:716;base/crts/libw32/include/stdlib.h:510;com/ole32/olethunk/ole16/inc/windows.h:464;com/ole32/olethunk/ole16/inc/windows.h:469;public/sdk/inc/crt/stdlib.h:510;public/sdk/inc/winbase.h:2251;sdktools/jetadmin/inc/stdlib.h:530;sdktools/jetadmin/inc/winbase.h:1959;sdktools/jetadmin/sdk/inc32/winbase.h:1775;sdktools/wap/base/baseapi.h:377"
"MVDM-FIRST-CANDIDATE-000010"	"MVDM-ZERO-DEFINITION-000124"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"822"	"GPFault"	"RaiseException"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/wdbgexts.h:1942;public/sdk/inc/winbase.h:1932;sdktools/jetadmin/inc/winbase.h:1681;sdktools/jetadmin/sdk/inc32/winbase.h:1581;sdktools/wap/base/baseapi.h:328;windows/core/advapi/digsig/digsig/debug.h:35"
