source_path	source_sha256	package_root	provenance_roots	definition_count
"base/mvdm/dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"2"
"base/mvdm/dos/command/cmd.c"	"9d0a773fcc8d7765b0fe3fe3750b5c9a29a596362f78a221161318fd83cc0262"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"1"
"base/mvdm/oemuni/file.c"	"a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"19"
"base/mvdm/dos/dem/demfile.c"	"701c7ce94b6317f23d73d847c681338ddb522d0216cf6373713e542c34236620"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"4"
"base/mvdm/dos/dem/demfcb.c"	"2705fe134a825c3fbcb11594cf1aa23e858438a43d1de0c03e010930f921c670"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"1"
"base/win32/client/vdm.c"	"3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173"	"base/win32/client"	"O:\repos.external\OpenNT"	"5"
"base/mvdm/oemuni/process.c"	"38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"6"
"base/win32/client/datetime.c"	"554cec9e236885367b8c791f611b29556657327a840c374293161493431e3b36"	"base/win32/client"	"O:\repos.external\OpenNT"	"1"
"base/mvdm/softpc.new/host/src/stf_conf.c"	"dd83e6774b349f81b02abb625df4fdcfe943647144bf054422f9f671d1bf05f4"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"2"
"base/mvdm/softpc.new/base/keymouse/keyba.c"	"d3326210be154866924ca99f1e44e0a76e9a912e15975305804f6b59c4cf7953"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"4"
"base/mvdm/wow32/wow32.c"	"1dfe9900e6da3bf0e2984c3df42bdd155b177cfe7707bb24e1324037147d292a"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"1"
"base/mvdm/softpc.new/base/keymouse/keybd_io.c"	"c17523f12f895eb144b38692f4d91dc97d539106a8d3e4b8cf23bc4338cd4896"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"2"
"base/mvdm/suballoc/suballoc.c"	"b06496e16d551f2bbac37d896b61857c6569eda8c98fb3d26dbf574e594148e0"	"base/mvdm"	"O:\repos.external\OpenNT;O:\repos.external\OpenNT-4.5"	"5"
