canonical_definition_id	raw_definition_id	source_path	source_sha256	source_line	linkage	raw_symbol	canonical_symbol	name_resolution	macro_definition_spelling	source_line_evidence	canonical_group_key	final_function_disposition	leaf_status
"MVDM-ZERO-CANONICAL-DEFINITION-000001"	"MVDM-ZERO-DEFINITION-000001"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"49"	"external-or-unspecified"	"db"	"db"	"raw-ctags-symbol"	""	"VOID db(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:db"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000002"	"MVDM-ZERO-DEFINITION-000002"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"86"	"external-or-unspecified"	"dw"	"dw"	"raw-ctags-symbol"	""	"VOID dw(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:dw"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000003"	"MVDM-ZERO-DEFINITION-000003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"123"	"external-or-unspecified"	"dd"	"dd"	"raw-ctags-symbol"	""	"VOID dd(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:dd"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000004"	"MVDM-ZERO-DEFINITION-000004"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"160"	"external-or-unspecified"	"dg"	"dg"	"raw-ctags-symbol"	""	"VOID dg(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:dg"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000005"	"MVDM-ZERO-DEFINITION-000005"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"197"	"external-or-unspecified"	"dgh"	"dgh"	"raw-ctags-symbol"	""	"VOID dgh(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:dgh"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000006"	"MVDM-ZERO-DEFINITION-000006"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"235"	"external-or-unspecified"	"es"	"es"	"raw-ctags-symbol"	""	"VOID es(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:es"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000007"	"MVDM-ZERO-DEFINITION-000007"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"275"	"external-or-unspecified"	"help"	"help"	"raw-ctags-symbol"	""	"VOID help(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:help"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000008"	"MVDM-ZERO-DEFINITION-000008"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"299"	"external-or-unspecified"	"k"	"k"	"raw-ctags-symbol"	""	"VOID k(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:k"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000009"	"MVDM-ZERO-DEFINITION-000009"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"340"	"external-or-unspecified"	"kb"	"kb"	"raw-ctags-symbol"	""	"VOID kb(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:kb"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000010"	"MVDM-ZERO-DEFINITION-000010"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"381"	"external-or-unspecified"	"lm"	"lm"	"raw-ctags-symbol"	""	"VOID lm(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:lm"	"tool-only"	"non-leaf"
