"interface_id"	"parent_interface_id"	"row_kind"	"caller"	"declaration_evidence"	"required_interface"	"abi_layout"	"owner"	"availability"	"recovery_disposition"	"failure_contract"	"successor"	"focused_evidence"
"MVDM-DEBT-001"	""	"family-expanded-summary"	"softpc.new/host/src/nt_bop.c"	"softpc.new/host/inc/host_bop.h"	"CCPU #UD ingress and typed resume/stop transfer"	"expand-before-package-enable"	"adapter-bop"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-002"	""	"family-expanded-summary"	"dos/dem/demfile.c; dos/dem/demhndl.c; dos/dem/demsrch.c; dos/dem/demdasd.c"	"inc/softpc.h; softpc.new/base/inc/sas.h"	"CCPU register access and SAS guest span aliases"	"expand-before-package-enable"	"adapter-softpc"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-003"	""	"family-expanded-summary"	"xms.486/xmsa20.c; xms.486/xmsumb.c; xms.486/xmsmemr.c"	"xms.486/xms.h; inc/softpc.h"	"A20, UMB and SAS memory seam"	"expand-before-package-enable"	"adapter-softpc"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-004"	""	"family-expanded-summary"	"dos/dem/demdir.c; dos/dem/demfile.c; dos/dem/demgset.c; dos/dem/demsrch.c"	"inc/oemuni.h; inc/vdmredir.h"	"OEM path, file, directory and search host APIs"	"expand-before-package-enable"	"adapter-win32"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-005"	""	"family-expanded-summary"	"dos/command/cmdenv.c; dos/command/cmdexec.c; dos/command/cmdconf.c; dos/command/cmdkeyb.c"	"inc/cmdsvc.h; inc/vdmtib.h"	"RTL, environment, OEM and local command exchange APIs"	"expand-before-package-enable"	"adapter-win32"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-006"	""	"family-expanded-summary"	"softpc.new/host/src/nt_error.c"	"softpc.new/host/inc/error.h"	"NTVDM host error-dialog surface"	"expand-before-package-enable"	"adapter-win32"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-007"	""	"family-expanded-summary"	"v86/monitor/i386/monitor.c; v86/monitor/i386/int.c; v86/monitor/i386/sas.c; ieuvddex/i386/vdmtib.c"	"inc/vdmtib.h; inc/v86def.h; sim32/sim32.h"	"NtVdmControl, VDM_TIB, V86 events and handler installation"	"expand-before-package-enable"	"adapter-vdm-monitor"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-008"	""	"family-expanded-summary"	"vdmredir/vrdisp.c; vdmredir/vrinit.c; vdmredir/vrnmpipe.c; vdmredir/vrremote.c; vdmredir/vrnetapi.c"	"inc/vdmredir.h; inc/rdrsvc.h"	"Redirector control, remote and named-pipe interface family"	"expand-before-package-enable"	"adapter-redir"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-009"	""	"family-expanded-summary"	"wow32 and wowexec packages"	"selected inc/wow*.h declarations"	"WOW host broker, callbacks and launch interfaces"	"expand-before-package-enable"	"adapter-wow"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
"MVDM-DEBT-010"	""	"family-expanded-summary"	"vdd packages; softpc.new/host VDD callbacks"	"selected VDD headers and host callback declarations"	"VDD registration, callback and host bridge"	"expand-before-package-enable"	"adapter-vdd"	"classified by reached-interface correlation audit"	"owner-package implementation pending"	"summary only; child calls are classified separately and no selector/provider is enabled"	"Queue candidate selected by named owner family"	"m0-t291-s5-p5-reached-interface-correlation-audit-001.md; "
