"package_id"	"package_root"	"package_kind"	"selected_path_count"	"dependency_state"	"topological_wave"	"blocked_successor"	"evidence"
"MVDM-PACKAGE-BDE"	"bde"	"owner-package"	"13"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=8; build-input=2; include=9"
"MVDM-PACKAGE-DBG"	"dbg"	"owner-package"	"3"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=1; build-input=2; include=14"
"MVDM-PACKAGE-DIRS"	"dirs"	"build-control"	"1"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=0; build-input=1; include=0"
"MVDM-PACKAGE-DOS"	"dos"	"owner-package"	"40"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=27; build-input=5; include=138"
"MVDM-PACKAGE-DPMI"	"dpmi"	"owner-package"	"59"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=34; build-input=1; include=0"
"MVDM-PACKAGE-DPMI32"	"dpmi32"	"owner-package"	"25"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=18; build-input=2; include=49"
"MVDM-PACKAGE-FAX"	"fax"	"owner-package"	"21"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=5; build-input=5; include=14"
"MVDM-PACKAGE-IEUVDDEX"	"ieuvddex"	"owner-package"	"23"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=14; build-input=6; include=22"
"MVDM-PACKAGE-INC"	"inc"	"support"	"96"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=0; build-input=1; include=0"
"MVDM-PACKAGE-MAKEFIL0"	"makefil0"	"build-control"	"1"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=0; build-input=1; include=0"
"MVDM-PACKAGE-OEMUNI"	"oemuni"	"support"	"6"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=3; build-input=2; include=21"
"MVDM-PACKAGE-SIM16"	"sim16"	"owner-package"	"8"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=2; build-input=1; include=0"
"MVDM-PACKAGE-SIM32"	"sim32"	"owner-package"	"5"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=1; build-input=2; include=4"
"MVDM-PACKAGE-SOFTPC-NEW"	"softpc.new"	"owner-package"	"998"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=339; build-input=43; include=4271"
