symbol	source_root	source_path	source_sha256	source_line	linkage	source
"DumpTaskInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"272"	"externally-linkable"	"P10 seed body"
"cmdCreateTempFile"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"99"	"externally-linkable"	"P10 seed body"
"cmdInitConsole"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"729"	"externally-linkable"	"P10 seed body"
"cmdUpdateCurrentDirectories"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"778"	"externally-linkable"	"P10 seed body"
"cmdCheckCopyForRedirection"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"20"	"externally-linkable"	"P10 seed body"
"demGetPhysicalDriveType"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"220"	"externally-linkable"	"P10 seed body"
"GetMediaId"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"619"	"externally-linkable"	"P10 seed body"
"demGetDiskFreeSpace"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"825"	"externally-linkable"	"P10 seed body"
"DpmiSwitchToDosxStack"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"25"	"externally-linkable"	"P10 seed body"
"DpmiSwitchFromDosxStack"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"57"	"externally-linkable"	"P10 seed body"
"EnableIntHooks"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/dpmiint.c"	"d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa"	"1145"	"externally-linkable"	"P10 seed body"
"DisableIntHooks"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/dpmiint.c"	"d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa"	"1179"	"externally-linkable"	"P10 seed body"
"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"131"	"externally-linkable"	"P10 seed body"
"GetFaxDataMapName"	"O:\repos.external\OpenNT\base\mvdm"	"inc/wowfax.h"	"97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84"	"284"	"externally-linkable"	"P10 seed body"
"cmos_read"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"143"	"externally-linkable"	"P10 seed body"
"cmos_write"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"178"	"externally-linkable"	"P10 seed body"
"ppi_get_switches"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"295"	"translation-unit-local"	"P10 seed body"
"conv_com_reg"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/comms/com.c"	"64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3"	"2920"	"externally-linkable"	"P10 seed body"
"psaved"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/comms/com.c"	"64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3"	"3135"	"externally-linkable"	"P10 seed body"
"do_fp"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/dasm.c"	"6f90249d51eee69af65f59de138f915dc05af3a67b7bb529ea33596c04888b9b"	"2071"	"translation-unit-local"	"P10 seed body"
"tokenise_pig_cmd"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/pigyoda.c"	"ede413a201fc0d4115b5bb0cd50aad3dd34d93a61dc734df49bfd464132ee7f2"	"301"	"externally-linkable"	"P10 seed body"
"searchCommandTable"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/pigyoda.c"	"ede413a201fc0d4115b5bb0cd50aad3dd34d93a61dc734df49bfd464132ee7f2"	"313"	"externally-linkable"	"P10 seed body"
"idle_ctl"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/system/idetect.c"	"b93eb0784830446b53eeadb4b4f2dc5506787cd5313b313ecfc1ec14c5b7d160"	"490"	"externally-linkable"	"P10 seed body"
"file_back_trace"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/btrace.c"	"5a19a8cf73bd5c06c47bf3292189c8989bc970933bb4968336580f4be0028e3f"	"58"	"externally-linkable"	"P10 seed body"
"call_dump"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/floppy_i.c"	"22b503047688d4d1f2d4b99ffba29e71612a165bbc9069976ce7a8b8d62ba042"	"82"	"translation-unit-local"	"P10 seed body"
"return_dump"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/floppy_i.c"	"22b503047688d4d1f2d4b99ffba29e71612a165bbc9069976ce7a8b8d62ba042"	"213"	"translation-unit-local"	"P10 seed body"
"rd_diskdata"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/gfi_sflp.c"	"396c621a6c6abf135fdec730a0be91c8bc5582de51687ed006ca5df97d354dc5"	"718"	"externally-linkable"	"P10 seed body"
"mouse_ega_mode"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1710"	"externally-linkable"	"P10 seed body"
"io_define_inb"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/ios.c"	"e4f39908ff9534adde52e46def732a93790ac48f2bb481590622c537c2f3b205"	"692"	"externally-linkable"	"P10 seed body"
"get_host_timestamp"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"523"	"externally-linkable"	"P10 seed body"
"write_host_timestamp"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"654"	"externally-linkable"	"P10 seed body"
"get_host_time"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"726"	"externally-linkable"	"P10 seed body"
"TimeToTicks"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/support/time_day.c"	"af7a3d2b6dd80dec1f72910ae627f2ed87906fe8986e8c7c930ae6fbf35bd1b2"	"743"	"externally-linkable"	"P10 seed body"
"q_event_init_structs"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/system/quick_ev.c"	"fe23e0ef2fb79aebadc5c0404a2369a694ac6d82347bcae5f2a7bca74b807111"	"234"	"externally-linkable"	"P10 seed body"
"set_update_routine"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/ega_mode.c"	"1b73d0bdea339dc2a42f9674e04fd14575400070e8436149a84a2ac5510a057d"	"538"	"translation-unit-local"	"P10 seed body"
"set_update_routine"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_mode.c"	"d0ea64ba445b8a7c8cb4b11963cece808793b0595183f8be7f115c060eb1f0d9"	"198"	"translation-unit-local"	"P10 seed body"
"set_dac"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_vide.c"	"3d0159b8bd4d1bcc3448bc61fb90f5b1c34c09099bba49187fe4573354ccc89d"	"109"	"translation-unit-local"	"P10 seed body"
"get_dac"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_vide.c"	"3d0159b8bd4d1bcc3448bc61fb90f5b1c34c09099bba49187fe4573354ccc89d"	"120"	"translation-unit-local"	"P10 seed body"
"greyify"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_vide.c"	"3d0159b8bd4d1bcc3448bc61fb90f5b1c34c09099bba49187fe4573354ccc89d"	"100"	"translation-unit-local"	"P10 seed body"
"host_using_fdisk"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"100"	"externally-linkable"	"P10 seed body"
