resolution_id	one_ledger1_identity	caller_physical_identity	caller_source_path	caller_definition_line	caller_symbol	call_source_line	callee_spelling	original_definition_candidate_count	candidate_location_classes	source_definition_result	next_action	boundary
"MVDM-HOST-ONE1-RESOLUTION-000001"	"MVDM-HOST-ONE1-000013"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"58"	"strcpy"	"3"	"non-MVDM-OpenNT-source"	"physical-original-definition-candidate(s)-recorded"	"declaration/linkage and package-boundary audit; do not inspect candidate body in P18"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000002"	"MVDM-HOST-ONE1-000014"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"61"	"strcpy"	"3"	"non-MVDM-OpenNT-source"	"physical-original-definition-candidate(s)-recorded"	"declaration/linkage and package-boundary audit; do not inspect candidate body in P18"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000003"	"MVDM-HOST-ONE1-000018"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"80"	"ReadByteSafe"	"0"	""	"no-original-C-or-C++-definition-candidate"	"classify as public-platform, macro/indirect form, assembly/import-only, or genuinely missing interface in the next ABI pass"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000004"	"MVDM-HOST-ONE1-000020"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"92"	"_stricmp"	"4"	"non-MVDM-OpenNT-source"	"physical-original-definition-candidate(s)-recorded"	"declaration/linkage and package-boundary audit; do not inspect candidate body in P18"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000005"	"MVDM-HOST-ONE1-000021"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"93"	"strcpy"	"3"	"non-MVDM-OpenNT-source"	"physical-original-definition-candidate(s)-recorded"	"declaration/linkage and package-boundary audit; do not inspect candidate body in P18"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000006"	"MVDM-HOST-ONE1-000022"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"95"	"strcpy"	"3"	"non-MVDM-OpenNT-source"	"physical-original-definition-candidate(s)-recorded"	"declaration/linkage and package-boundary audit; do not inspect candidate body in P18"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000007"	"MVDM-HOST-ONE1-000023"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"bde/bdeheap.c"	"43"	"GetSegmentOwnerInfo"	"101"	"ReadWordSafe"	"0"	""	"no-original-C-or-C++-definition-candidate"	"classify as public-platform, macro/indirect form, assembly/import-only, or genuinely missing interface in the next ABI pass"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000008"	"MVDM-HOST-ONE1-000024"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap"	"bde/bdeheap.c"	"115"	"CheckGlobalHeap"	"127"	"ReadWord"	"0"	""	"no-original-C-or-C++-definition-candidate"	"classify as public-platform, macro/indirect form, assembly/import-only, or genuinely missing interface in the next ABI pass"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000009"	"MVDM-HOST-ONE1-000025"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap"	"bde/bdeheap.c"	"115"	"CheckGlobalHeap"	"133"	"ReadWord"	"0"	""	"no-original-C-or-C++-definition-candidate"	"classify as public-platform, macro/indirect form, assembly/import-only, or genuinely missing interface in the next ABI pass"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
"MVDM-HOST-ONE1-RESOLUTION-000010"	"MVDM-HOST-ONE1-000026"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap"	"bde/bdeheap.c"	"115"	"CheckGlobalHeap"	"139"	"ReadGNode32"	"0"	""	"no-original-C-or-C++-definition-candidate"	"classify as public-platform, macro/indirect form, assembly/import-only, or genuinely missing interface in the next ABI pass"	"P18 records only physical original definition candidates; no spelling merge selects an implementation and no candidate body was traversed"
