signature_gate_id	binding_id	resolution_id	one_ledger1_identity	callee_spelling	selected_definition_identity	caller_argument_count	declaration_argument_counts	definition_argument_count	caller_condition_context	definition_condition_context	signature_disposition	next_action	boundary
"MVDM-HOST-ONE1-SIGNATURE-000001"	"MVDM-HOST-ONE1-BINDING-000017"	"MVDM-HOST-ONE1-RESOLUTION-000039"	"MVDM-HOST-ONE1-000083"	"ReadByte"	"O:\repos.external\OpenNT|com/oleaut32/typelib/fstream.cxx|9c94dce5df44d225336ef2becef25ac3e095f3cddbbfd2d62280827cf7154f82|130|ReadByte"	"1"	"1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000002"	"MVDM-HOST-ONE1-BINDING-000021"	"MVDM-HOST-ONE1-RESOLUTION-000057"	"MVDM-HOST-ONE1-000106"	"wsprintf"	"O:\repos.external\OpenNT|base/mvdm/wow16/user/wsprintf.c|f58afbd56ab824442609f098d2b7f8709e978a61a51a195db874e28aea2130e7|336|wsprintf"	"4"	"3;3;3;3"	"4"	"unconditional"	"unconditional"	"signature-or-condition-form-unresolved"	"retain one-degree unresolved; do not inspect candidate body without a new source-form recovery decision"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000003"	"MVDM-HOST-ONE1-BINDING-000058"	"MVDM-HOST-ONE1-RESOLUTION-000077"	"MVDM-HOST-ONE1-000136"	"wsprintf"	"O:\repos.external\OpenNT|base/mvdm/wow16/user/wsprintf.c|f58afbd56ab824442609f098d2b7f8709e978a61a51a195db874e28aea2130e7|336|wsprintf"	"3"	"3;3;3;3"	"4"	"unconditional"	"unconditional"	"signature-or-condition-form-unresolved"	"retain one-degree unresolved; do not inspect candidate body without a new source-form recovery decision"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000004"	"MVDM-HOST-ONE1-BINDING-000061"	"MVDM-HOST-ONE1-RESOLUTION-000080"	"MVDM-HOST-ONE1-000139"	"wsprintf"	"O:\repos.external\OpenNT|base/mvdm/wow16/user/wsprintf.c|f58afbd56ab824442609f098d2b7f8709e978a61a51a195db874e28aea2130e7|336|wsprintf"	"3"	"3;3;3;3"	"4"	"unconditional"	"unconditional"	"signature-or-condition-form-unresolved"	"retain one-degree unresolved; do not inspect candidate body without a new source-form recovery decision"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000005"	"MVDM-HOST-ONE1-BINDING-000077"	"MVDM-HOST-ONE1-RESOLUTION-000087"	"MVDM-HOST-ONE1-000147"	"wsprintf"	"O:\repos.external\OpenNT|base/mvdm/wow16/user/wsprintf.c|f58afbd56ab824442609f098d2b7f8709e978a61a51a195db874e28aea2130e7|336|wsprintf"	"5"	"3;3;3;3"	"4"	"unconditional"	"unconditional"	"signature-or-condition-form-unresolved"	"retain one-degree unresolved; do not inspect candidate body without a new source-form recovery decision"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000006"	"MVDM-HOST-ONE1-BINDING-000584"	"MVDM-HOST-ONE1-RESOLUTION-000385"	"MVDM-HOST-ONE1-000475"	"memcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/memcpy.c|f027e21ead08f51c38cb0f8e3e9070c6ff35d57e7b738996100a726ca59ed641|60|memcpy"	"3"	"3;3;3;3"	"3"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000007"	"MVDM-HOST-ONE1-BINDING-000676"	"MVDM-HOST-ONE1-RESOLUTION-000421"	"MVDM-HOST-ONE1-000511"	"GetEnvironmentVariableOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|564|GetEnvironmentVariableOem"	"3"	"3;3"	"3"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000008"	"MVDM-HOST-ONE1-BINDING-000725"	"MVDM-HOST-ONE1-RESOLUTION-000455"	"MVDM-HOST-ONE1-000545"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000009"	"MVDM-HOST-ONE1-BINDING-000760"	"MVDM-HOST-ONE1-RESOLUTION-000480"	"MVDM-HOST-ONE1-000570"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000010"	"MVDM-HOST-ONE1-BINDING-000771"	"MVDM-HOST-ONE1-RESOLUTION-000485"	"MVDM-HOST-ONE1-000577"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
