one_ledger1_identity	caller_zero_identity	caller_physical_identity	caller_source_root	caller_source_path	caller_source_sha256	caller_definition_line	caller_symbol	caller_linkage	call_source_line	callee_spelling	call_form	zero_binding	zero_definition_candidates	next_action	boundary
"MVDM-HOST-ONE1-000001"	"MVDM-HOST-ZERO1-000001"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|49|db"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"49"	"db"	"externally-linkable"	"81"	"DumpMemory"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory;O:\repos.external\OpenNT\base\mvdm|vdmexts/misc.c|bfbf56ceda6cdb56e09ba098377b1edaa2aa9cfa168c3d79b083e74d754bfca9|28|DumpMemory"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000002"	"MVDM-HOST-ZERO1-000002"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|86|dw"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"86"	"dw"	"externally-linkable"	"118"	"DumpMemory"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory;O:\repos.external\OpenNT\base\mvdm|vdmexts/misc.c|bfbf56ceda6cdb56e09ba098377b1edaa2aa9cfa168c3d79b083e74d754bfca9|28|DumpMemory"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000003"	"MVDM-HOST-ZERO1-000003"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|123|dd"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"123"	"dd"	"externally-linkable"	"155"	"DumpMemory"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory;O:\repos.external\OpenNT\base\mvdm|vdmexts/misc.c|bfbf56ceda6cdb56e09ba098377b1edaa2aa9cfa168c3d79b083e74d754bfca9|28|DumpMemory"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000004"	"MVDM-HOST-ZERO1-000006"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|235|es"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"235"	"es"	"externally-linkable"	"331"	"CheckGlobalHeap"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap;O:\repos.external\OpenNT\base\mvdm|vdmexts/heap.c|3e4544bbd3030ea995b0d79c91ad34a45c6a022f8e67c69060454049b3489d8f|126|CheckGlobalHeap"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000005"	"MVDM-HOST-ZERO1-000006"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|235|es"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"235"	"es"	"externally-linkable"	"334"	"WalkStack"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|566|WalkStack;O:\repos.external\OpenNT\base\mvdm|vdmexts/stack.c|eb5992dad41aeb3d8cc325a49aae8f586e3fdf6552250d71bd84708c86525f39|588|WalkStack"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000006"	"MVDM-HOST-ZERO1-000008"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|299|k"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"299"	"k"	"externally-linkable"	"372"	"CheckGlobalHeap"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap;O:\repos.external\OpenNT\base\mvdm|vdmexts/heap.c|3e4544bbd3030ea995b0d79c91ad34a45c6a022f8e67c69060454049b3489d8f|126|CheckGlobalHeap"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000007"	"MVDM-HOST-ZERO1-000008"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|299|k"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"299"	"k"	"externally-linkable"	"375"	"WalkStackVerbose"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|611|WalkStackVerbose;O:\repos.external\OpenNT\base\mvdm|vdmexts/stack.c|eb5992dad41aeb3d8cc325a49aae8f586e3fdf6552250d71bd84708c86525f39|633|WalkStackVerbose"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000008"	"MVDM-HOST-ZERO1-000009"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|340|kb"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"340"	"kb"	"externally-linkable"	"372"	"CheckGlobalHeap"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap;O:\repos.external\OpenNT\base\mvdm|vdmexts/heap.c|3e4544bbd3030ea995b0d79c91ad34a45c6a022f8e67c69060454049b3489d8f|126|CheckGlobalHeap"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000009"	"MVDM-HOST-ZERO1-000009"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|340|kb"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"340"	"kb"	"externally-linkable"	"375"	"WalkStackVerbose"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|611|WalkStackVerbose;O:\repos.external\OpenNT\base\mvdm|vdmexts/stack.c|eb5992dad41aeb3d8cc325a49aae8f586e3fdf6552250d71bd84708c86525f39|633|WalkStackVerbose"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000010"	"MVDM-HOST-ZERO1-000010"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|381|lm"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"381"	"lm"	"externally-linkable"	"413"	"CheckGlobalHeap"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115|CheckGlobalHeap;O:\repos.external\OpenNT\base\mvdm|vdmexts/heap.c|3e4544bbd3030ea995b0d79c91ad34a45c6a022f8e67c69060454049b3489d8f|126|CheckGlobalHeap"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
