"operation_id"	"original_service"	"selected_mvdm_callers"	"original_kernel_handler"	"kernel_dependencies"	"final_user_mode_owner"	"final_disposition"	"evidence"
"KERNEL-VDM-OP-001"	"VdmStartExecution"	"v86/monitor/i386/monitor.c"	"Ke386StartVdmExecution"	"kernel thread/process VDM state and hardware V86 execution"	"adapter-mvdm-host-out/softpc -> adapter-bochs"	"same-shaped mechanical resume; no kernel source body"	"base/ntos/vdm/x86/vdmentry.c:82-84"
"KERNEL-VDM-OP-002"	"VdmQueueInterrupt"	"v86/monitor/i386/int.c"	"Ke386QueueVdmInterrupt"	"kernel VDM interrupt queue and current thread"	"adapter-mvdm-host-out/softpc -> adapter-bochs"	"same-shaped typed interrupt request; Bochs PIC/CPU owns mechanics"	"base/ntos/vdm/x86/vdmentry.c:84-86"
"KERNEL-VDM-OP-003"	"VdmDelayInterrupt"	"softpc.new/host/src/nt_eoi.c"	"Ke386DelayExecution"	"kernel VDM delay state and interrupt delivery"	"adapter-mvdm-host-out/softpc -> adapter-bochs"	"same-shaped delay capability or explicit original failure"	"base/ntos/vdm/x86/vdmentry.c:86-88"
"KERNEL-VDM-OP-004"	"VdmInitialize"	"softpc.new/host/src/nt_sec.c"	"VdmInitialize"	"kernel VDM state and ICA data"	"adapter-mvdm-host-out/monitor plus adapter-bochs"	"source-shaped initialization contract; no kernel source body"	"base/ntos/vdm/x86/vdmentry.c:90-92"
"KERNEL-VDM-OP-005"	"VdmFeatures"	"v86/monitor/i386/monitor.c"	"feature/IOPL query in NtVdmControl"	"KeI386VdmIoplAllowed and KeI386VirtualIntExtensions"	"adapter-mvdm-host-out/monitor"	"return capability bits derived from admitted Bochs/session profile"	"base/ntos/vdm/x86/vdmentry.c:92-116"
"KERNEL-VDM-OP-006"	"VdmSetInt21Handler"	"dpmi32/dpmiint.c"	"Ke386SetVdmInterruptHandler"	"kernel process interrupt handler table"	"adapter-mvdm-host-out/monitor -> session -> adapter-bochs"	"source-shaped handler registration after bounded frame/interrupt contract closes"	"base/ntos/vdm/x86/vdmentry.c:117-130"
"KERNEL-VDM-OP-007"	"VdmQueryDir"	"dos/dem/demsrch.c"	"VdmQueryDirectoryFile"	"IRP/MDL/file object/IRQL and kernel event"	"adapter-mvdm-host-out/monitor with adapter-mvdm-host-out/win32"	"public directory API or same-shaped failure; kernel body excluded"	"base/ntos/vdm/vdm.c:87-498"
"KERNEL-VDM-OP-008"	"VdmPrinterDirectIoOpen"	"no active selected caller; only historical monitor comment"	"VdmPrinterDirectIoOpen"	"kernel printer direct I/O"	"future VDD/printer owner"	"profile-excluded pending explicit printer package admission"	"base/ntos/vdm/x86/vdmentry.c:132-134"
"KERNEL-VDM-OP-009"	"VdmPrinterDirectIoClose"	"v86/monitor/i386/monitor.c (commented historical path)"	"VdmPrinterDirectIoClose"	"kernel printer direct I/O"	"future VDD/printer owner"	"profile-excluded pending explicit printer package admission"	"base/ntos/vdm/x86/vdmentry.c:134-136"
"KERNEL-VDM-OP-010"	"VdmPrinterInitialize"	"no selected MVDM caller"	"VdmPrinterInitialize"	"kernel printer infrastructure"	"future VDD/printer owner"	"profile-excluded"	"base/ntos/vdm/x86/vdmentry.c:136"
"KERNEL-VDM-OP-011"	"VdmSetLdtEntries"	"no selected MVDM caller"	"kernel LDT service"	"kernel descriptor tables"	"adapter-mvdm-host-out/softpc -> adapter-bochs if later reached"	"not enabled; future DPMI contract only"	"public/internal/base/inc/vdm.h:37"
"KERNEL-VDM-OP-012"	"VdmSetProcessLdtInfo"	"no selected MVDM caller"	"kernel process LDT service"	"kernel process descriptor state"	"adapter-mvdm-host-out/softpc -> adapter-bochs if later reached"	"not enabled; future DPMI contract only"	"public/internal/base/inc/vdm.h:38"
"KERNEL-VDM-OP-013"	"VdmAdlibEmulation"	"no selected MVDM caller"	"kernel audio emulation service"	"kernel/audio product infrastructure"	"future device owner"	"profile-excluded"	"public/internal/base/inc/vdm.h:39"
"KERNEL-VDM-OP-014"	"VdmPMCliControl"	"no selected MVDM caller"	"kernel PM CLI control"	"kernel VDM interrupt/CLI state"	"adapter-mvdm-host-out/monitor -> adapter-bochs if later reached"	"not enabled; explicit future monitor contract"	"public/internal/base/inc/vdm.h:40"
"KERNEL-VDM-OP-015"	"VdmQueryVdmProcess"	"no selected MVDM caller"	"kernel VDM process query"	"kernel process table"	"broker if separately admitted"	"profile-excluded; never process enumeration"	"public/internal/base/inc/vdm.h:41"
