"node_id"	"bfs_depth"	"parent_node_id"	"original_package_root"	"edge_kind"	"selected_mvdm_evidence"	"external_evidence"	"discovery_disposition"	"next_bfs_action"	"terminal_reason"
"OPENNT-BFS-ROOT"	"0"	""	"base/mvdm selected host union"	"root"	"mvdm-file-recovery-ledger.tsv: 1,689 selected MVDM paths"	""	"expand"	"enumerate every outward source, declaration, variable, library and build-input edge"	""
"OPENNT-BFS-0001"	"1"	"OPENNT-BFS-ROOT"	"base/win32/client + base/win32/server Base VDM slice"	"direct-call/build"	"dos/command/{cmdexec,cmdmisc}.c; wow32/{wkman,wow32}.c; softpc.new/host/src/{config,nt_msscs,nt_term,nt_reset,nt_event}.c"	"base/win32/{client/vdm.c,server/srvvdm.c}; public/internal/base/inc/{vdmapi.h,vdm.h}"	"candidate; previously selected limited slice must be re-walked"	"enumerate client/server VDM source dependencies and build inputs"	""
"OPENNT-BFS-0002"	"1"	"OPENNT-BFS-ROOT"	"base/win32/client CSR helper slice"	"direct-call"	"wow32/wow32.c:CsrIdentifyAlertableThread"	"base/win32/client/{thread.c,tth.c}; public/sdk/inc/ntcsrdll.h"	"candidate slice; not equivalent to full BaseClient"	"enumerate direct source body and NTDLL/CSR outbound calls"	""
"OPENNT-BFS-0003"	"1"	"OPENNT-BFS-ROOT"	"base/ntdll CSR client transport"	"direct-call"	"wow32/wow32.c; indirect Base VDM client path"	"base/ntdll/{csrutil.c,csrtask.c}"	"hard-boundary candidate with reusable fragments possible"	"per-function/block traversal of transport, capture and TEB/PEB dependencies"	""
"OPENNT-BFS-0004"	"1"	"OPENNT-BFS-ROOT"	"base/subsys/csr/server"	"indirect-service"	"Base VDM server path through srvvdm.c"	"base/subsys/csr/server/{wait.c,process.c,apireqst.c,session.c}"	"hard-boundary candidate with reusable ordering fragments possible"	"per-function/block traversal of wait, process and port dependencies"	""
"OPENNT-BFS-0005"	"1"	"OPENNT-BFS-ROOT"	"base/ntos/vdm"	"direct-call"	"dpmi32/dpmiint.c; dos/dem/demsrch.c; v86/monitor/i386/{monitor,int}.c; softpc.new/host/src/{nt_sec,nt_eoi}.c"	"base/ntos/vdm/; public/internal/base/inc/vdm.h"	"kernel-contract candidate; never user-mode linked"	"per-file/function/block traversal to public Win32, adapter-bochs or explicit kernel-only leaf"	""
"OPENNT-BFS-0006"	"1"	"OPENNT-BFS-ROOT"	"windows/core/ntcon/client"	"direct-call"	"softpc.new/host/src/{nt_cga,nt_ega,nt_vga,nt_det,nt_fulsc,nt_event,nt_msscs}.c"	"public/internal/windows/inc/conapi.h; windows/core/ntcon/client/{private.c,tgraph.c,iostubs.c}"	"candidate private-console client package"	"enumerate client source and console-server/CSR/public-API edges"	""
"OPENNT-BFS-0007"	"2"	"OPENNT-BFS-0006"	"windows/core/ntcon/server"	"server-service"	"indirect through Console VDM operations"	"windows/core/ntcon/server/{srvinit.c,private.c}"	"product-shell candidate"	"enumerate only reached Console VDM server operations and stop at CSR/server boundary where applicable"	""
"OPENNT-BFS-0008"	"1"	"OPENNT-BFS-ROOT"	"windows/core/ntuser/client"	"build/private-import"	"wow32/sources:user32p.lib; wow32 user thunk bodies"	"windows/core/ntuser/client/daytona/user32p.def; public/internal/windows/inc/{wowuserp.h,winuserp.h}"	"candidate private USER client boundary"	"enumerate reached private client entrypoints and USER-server dependencies"	""
"OPENNT-BFS-0009"	"1"	"OPENNT-BFS-ROOT"	"windows/core/ntgdi/client"	"build/private-import"	"wow32/sources:gdi32p.lib; WOW GDI thunk bodies"	"windows/core/ntgdi/client/daytona/gdi32p.def; public/internal/windows/inc/{wowgdip.h,wingdip.h}"	"candidate private GDI client boundary"	"enumerate reached private client entrypoints and Win32k/GDI-server dependencies"	""
"OPENNT-BFS-0010"	"2"	"OPENNT-BFS-0008"	"windows/core/ntuser/server"	"server-service"	"WOW USER private client calls"	"windows/core/ntuser/server/server.c; public/internal/windows/inc/winuserp.h"	"product-shell candidate"	"identify reached operation contracts; stop at CSRSS/Win32k hard boundary"	""
"OPENNT-BFS-0011"	"2"	"OPENNT-BFS-0009"	"windows/core/ntgdi server + printers"	"server-service"	"fax/wowfax runs in graphics-engine context; WOW GDI private client calls"	"windows/core/ntgdi/; fax/{wowfax,wowfaxui}/sources"	"kernel/product graphics candidate"	"identify user-mode/adapter-recoverable contracts versus graphics-engine hard boundary"	""
"OPENNT-BFS-0012"	"1"	"OPENNT-BFS-ROOT"	"ds/netapi/netlib"	"build-link"	"vdmredir/sources:netlib.lib; v86/scaffold/sources:netlib.lib"	"ds/netapi/netlib/daytona/sources: TARGETNAME=NetLib"	"candidate user-mode support library"	"enumerate NetLib source, imports and outbound package edges"	""
"OPENNT-BFS-0013"	"1"	"OPENNT-BFS-ROOT"	"ds/netapi/rap"	"build-link"	"vdmredir/sources:netrap.lib"	"ds/netapi/rap/sources: TARGETNAME=NetRap"	"candidate RAP service package"	"enumerate NetRap source and NetAPI/NetLib/dependent service edges"	""
"OPENNT-BFS-0014"	"1"	"OPENNT-BFS-ROOT"	"ds/netapi/rpcxlate/rxcommon"	"build-link/source-reference"	"vdmredir/sources:rxcommon.lib; vdmredir/vrremote.c:RxRemoteApi"	"ds/netapi/rpcxlate/rxcommon/{sources,remote.c,convargs.c}"	"candidate RPC translation package"	"enumerate RxCommon source, NetLib/RAP/RPC edges and remote-server requirements"	""
"OPENNT-BFS-0015"	"1"	"OPENNT-BFS-ROOT"	"ds/netapi/rpcxlate/rxapi"	"build-link"	"vdmredir/sources:rxapi.lib"	"ds/netapi/rpcxlate/rxapi/sources: TARGETNAME=RxApi"	"candidate RAP API translation package"	"enumerate RxApi source and RxCommon/NetLib/RAP edges"	""
"OPENNT-BFS-0016"	"1"	"OPENNT-BFS-ROOT"	"ds/netapi/xactsrv"	"build-link/source-reference"	"vdmredir/sources:xactsrv.lib; vdmredir/vrremote.c: local XactSrv service expectation"	"ds/netapi/xactsrv/sources: TARGETNAME=xactsrv"	"server-product candidate"	"enumerate XactSrv runtime/service dependencies, including svcdlls, before final reject/import-slice decision"	""
