"caller_build_path"	"source_line"	"build_text"	"edge_kind"	"stage1_state"	"first_hop_owners"	"first_hop_kind"
"bde/sources"	"59"	"# The TARGETLIBS specifies additional libraries to link with you target"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"bde/sources"	"64"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"bde/sources"	"65"	"$(BASEDIR)\public\sdk\lib\*\user32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"bde/sources"	"68"	"# The INCLUDES variable specifies any include paths that are specific to"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"bde/sources"	"73"	"INCLUDES=..\inc;..\..\inc;..\..\windows\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dbg/sources"	"22"	"NOTE:	Commented description of this file is in \nt\public\oak\bin\sources.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dbg/sources"	"30"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dbg/sources"	"32"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dbg/sources"	"34"	"INCLUDES=..\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dbg/sources"	"48"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dirs"	"19"	"NOTE:	Commented description of this file is in \nt\public\oak\bin\dirs.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/command/sources"	"22"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\sources.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/command/sources"	"30"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/command/sources"	"32"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/command/sources"	"34"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/command/sources"	"36"	"INCLUDES=..\..\inc;..\..\..\windows\inc;$(SOFTPC_TREE)\base\inc;$(SOFTPC_TREE)\host\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/command/sources"	"60"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dem/sources"	"22"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\sources.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dem/sources"	"30"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dem/sources"	"32"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dem/sources"	"37"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dem/sources"	"39"	"INCLUDES=..\..\inc;..\..\..\windows\inc;..\..\..\inc;$(SOFTPC_TREE)\base\inc;$(SOFTPC_TREE)\host\inc;..\..\vdd\h"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dos/dem/sources"	"65"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dpmi/makefile"	"6"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dpmi/makefile"	"101"	"includes $(INCLUDE) *.asm | sed -f program.sed>> makefile"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dpmi32/sources"	"31"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dpmi32/sources"	"35"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"dpmi32/sources"	"37"	"INCLUDES=..\inc;..\..\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfax/sources"	"29"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfax/sources"	"31"	"DLLBASE=@$(BASEDIR)\PUBLIC\SDK\LIB\coffbase.txt,DISPLAY"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfax/sources"	"36"	"GDIDIR=$(BASEDIR)\private\ntos\w32\ntgdi"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfax/sources"	"43"	"INCLUDES=..\;..\..\inc;$(GDIDIR)\inc;..\..\..\windows\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfaxui/sources"	"29"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfaxui/sources"	"31"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\user32.lib      \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"fax/wowfaxui/sources"	"32"	"$(BASEDIR)\public\sdk\lib\*\gdi32.lib       \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
