file_id	original_source_path	original_source_sha256	original_package_root	reached_symbols	source_definition_lines	caller_paths	function_dispositions	final_owner	final_file_disposition	first_hop_rule
"MVDM-FIRST-HOP-FILE-0001"	"base/ntdll/csrutil.c"	"7a176482498e1aca00e9651c326a9b62a8ba2ada0aa7f90f8b585acd1a376e6a"	"base/ntdll"	"CsrAllocateCaptureBuffer;CsrAllocateMessagePointer;CsrFreeCaptureBuffer"	"267"	"base/win32/client/vdm.c"	"csr-product-boundary"	"adapter-mvdm-host-out/monitor"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0002"	"base/ntdll/curdir.c"	"1a341913edcef259286ae48450ab5a7dd5603d4b6a80d3ac3bb08500a45fb89a"	"base/ntdll"	"RtlDetermineDosPathNameType_U;RtlGetCurrentDirectory_U;RtlGetFullPathName_U;RtlSetCurrentDirectory_U"	"483"	"base/win32/client/vdm.c;oemuni/file.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0003"	"base/ntdll/ldrapi.c"	"498837b08b24eed04a65ca4f0f7a679b650edcf9634c00eec5e9d3665ea263de"	"base/ntdll"	"LdrGetProcedureAddress;LdrUnloadDll"	"812"	"base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0004"	"base/ntos/ex/event.c"	"7b1392839ee87f5d328425b53310ca0b125b38bafa1d5bbb88de6d4ed40cfe8d"	"base/ntos"	"NtCreateEvent;NtQueryEvent;NtResetEvent;NtSetEvent"	"180"	"base/win32/client/vdm.c;base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0005"	"base/ntos/ps/psquery.c"	"24231422283668ef8692e58c2df85da848e200b030d06d605ff907b73a69daa7"	"base/ntos"	"NtQueryInformationProcess"	"531"	"dbg/dbg.c;dos/dem/demmisc.c;softpc.new/obj.vdm/ntvdm.c;v86/monitor/i386/proflib.c;wow32/wow32.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0006"	"base/ntos/rtl/eballoc.c"	"0eaadd09c27b7614368c4b99d0fb9d7d354299ffc8ee799d1d521f20504b3a27"	"base/ntos"	"RtlReleasePebLock"	"47"	"oemuni/file.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0007"	"base/ntos/rtl/nls.c"	"76edf33c6b418c5df2bb1181aad77782391b8322375071ebc84e3dd139177fe5"	"base/ntos"	"RtlFreeOemString"	"1283"	"base/win32/client/vdm.c;oemuni/file.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0008"	"base/ntos/rtl/regutil.c"	"6edb52857bb7b72ceb8463b7f762ef3bad93aaaae797574e9af7135bf74caa60"	"base/ntos"	"RtlExpandEnvironmentStrings_U"	"1325"	"base/win32/client/vdm.c;base/win32/server/srvinit.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0009"	"base/ntos/rtl/sertl.c"	"d0ad63a50590933326e2f2f9aa56651b9c8a69ef9daa25b176cad047ecc6b0d2"	"base/ntos"	"RtlAllocateAndInitializeSid;RtlEqualSid"	"1062"	"base/win32/server/srvinit.c;base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0010"	"base/ntos/se/tokenopn.c"	"8b54f1b4420aaa48e85ff7a8db03c2d2d778d0a3b72b5e6b9eec4136d75ad8f8"	"base/ntos"	"NtOpenProcessToken;NtOpenThreadToken"	"178"	"base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
