ledger0_identity	mvdm_host_subtree	zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason	softpc_file_disposition	ledger1_disposition	replacement_owner	final_disposition_evidence
"MVDM-HOST-ZERO-000423"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/bios.c|a8345e88db25332bdf008bdc730ffa15bdc6110ecf1a6c54ed7e59c95ca7085b|683"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/bios.c"	"a8345e88db25332bdf008bdc730ffa15bdc6110ecf1a6c54ed7e59c95ca7085b"	"683"	"bop_name"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/dasm386/dasm386.c:721:dasm_internal@1220;variant-family;variant-family"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000424"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/bios.c|a8345e88db25332bdf008bdc730ffa15bdc6110ecf1a6c54ed7e59c95ca7085b|873"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/bios.c"	"a8345e88db25332bdf008bdc730ffa15bdc6110ecf1a6c54ed7e59c95ca7085b"	"873"	"bop_name"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/dasm386/dasm386.c:721:dasm_internal@1220;variant-family;variant-family"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000425"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|73"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"73"	"set_tod"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/system/cmos.c:1001:cmos_post@1085"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000426"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|143"	"confirmed original-boundary call"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"143"	"cmos_read"	"externally-linkable"	"confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:85:MVDM-FIRST-REBASELINED-000969 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:88:MVDM-FIRST-REBASELINED-000970 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:97:MVDM-FIRST-REBASELINED-000972 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:100:MVDM-FIRST-REBASELINED-000973 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:109:MVDM-FIRST-REBASELINED-000975 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:112:MVDM-FIRST-REBASELINED-000976"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000427"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|178"	"confirmed original-boundary call"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"178"	"cmos_write"	"externally-linkable"	"confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:89:MVDM-FIRST-REBASELINED-000971 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:101:MVDM-FIRST-REBASELINED-000974 | confirmed-old-boundary:softpc.new/base/bios/cmos_bis.c:113:MVDM-FIRST-REBASELINED-000977"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000428"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/emm_fncs.c|2ffb142bb4ad67958493668e06bec3d81936790497965cdc5ca8a2ac0e142722|2777"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/emm_fncs.c"	"2ffb142bb4ad67958493668e06bec3d81936790497965cdc5ca8a2ac0e142722"	"2777"	"reset_emm_funcs"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/dos/emm_mngr.c:251:init_expanded_memory@367"	"body-parsed"	"conditional-directives-recorded"	"#ifndef NTVDM | #endif"	"structurally-valid-conditional-context-recorded"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000429"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/ill_bop.c|89df5a6fa3fc27def18b904fcd83f6c872778fec33dfc58634c9f73449165799|62"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/ill_bop.c"	"89df5a6fa3fc27def18b904fcd83f6c872778fec33dfc58634c9f73449165799"	"62"	"illegal_bop"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/host/src/nt_vdd.c:79:ms_not_a_bop@83"	"body-parsed"	"conditional-directives-recorded"	"#ifndef PROD | #ifdef	YODA | #endif	/* YODA */ | #ifdef	YODA | #endif	/* YODA */ | #endif /* PROD */"	"structurally-valid-conditional-context-recorded"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000430"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/reset.c|46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b|164"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"164"	"setup_ivt"	"translation-unit-local"	"historic-MVDM-continuity-edge:softpc.new/base/bios/reset.c:509:reset@786"	"body-parsed"	"conditional-directives-recorded"	"#ifdef	GISP_SVGA | #else		/* GISP_SVGA */ | #endif		/* GISP_SVGA */"	"structurally-valid-conditional-context-recorded"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000431"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/reset.c|46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b|295"	"confirmed original-boundary call"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"295"	"ppi_get_switches"	"translation-unit-local"	"confirmed-old-boundary:softpc.new/base/bios/reset.c:820:MVDM-FIRST-REBASELINED-001011"	"body-parsed"	"conditional-directives-recorded"	"#ifdef	NPX | #ifdef SWITCHNPX | #endif | #ifdef SWITCHNPX | #endif | #else | #endif | #ifdef FLOPPY_B | #else | #endif | #ifdef CGAMONO | #endif | #ifdef EGG | #ifdef VGG | #endif | #endif | #ifdef HERC | #endif"	"structurally-valid-conditional-context-recorded"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000432"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/reset.c|46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b|369"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"369"	"get_copyright"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/reset.c:509:reset@924"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
