id	contract-definition-and-initializer	selected-callers	identity-class	selected-disposition	verification-or-later-owner
S17-C01	cmosnt.c bin2bcd/_24to12/bcd2bin/_12to24 typed local callback assignments	CMOS/RTC register conversion paths	fixed-width controller scalar	unchanged original body	selected original source archive; no mapping identity
S17-C02	ica.c original PIC port/interrupt callback tables and SWPIC assignments	reset, timer, unexpected interrupt and host EOI paths	IU32 controller line/state	unchanged original body	S17 PIC core; endpoint IRQ producers S19/S21/S23
S17-C03	qevnt.c Q_CALLBACK_FN = void (*)(long), original event record/list initializer	nt_eoi delayed IRQ, timer quick-event recalibration	native private callback plus long private parameter	unchanged original body	S17 quick-event core; no guest/host identity token
S17-C04	timer.c PIT port handler definitions and TimerEoiHook registration	reset:timer_init/timer_post; host heartbeat/timestrb	fixed-width port/controller state	unchanged original body	S17 PIT/PIC core; visual/input/device leaf callbacks transfer later
S17-C05	timestrb.c original time_strobe order	host_timer_event	native private controller scheduling	unchanged original body	S17 controller strobe; graphics/comms/floppy/sound owners later
S17-C06	at_dma.c DMA adapter state and I/O handler definitions	reset:dma_init/dma_post and device callers	private controller state plus physical-memory spans	unchanged original body	S17 controller mechanics; endpoint buffers require later device-owner contracts
S17-C07	nt_timer.c CreateThread/Event/alertable wait heartbeat contract	TimerInit, timer.c:host_timer_init	public Win32 thread/event handles; private SoftPC BDA backing	binding-only original body	adapter-win32 NtAlertThread compatibility already selected; BDA/PIC/RTC behavior awaits integrated S49
S17-C08	nt_eoi.c EoiHooks[16], ICA lock and typed SoftPcEoi bridge	ICA, delayed IRQ and VDM Redirector caller	native PIC callback/state	original body plus existing typed bridge	DIV-050 preserves int*/LONG* ABI; Redirector behavior S38
S17-C09	nt_inthk.c original VdmInstall interrupt-handler registration signatures	reset and installable handler providers	typed control-flow callback	binding-only original body	selected handler source form; BOP provider behavior S31
S17-C10	nt_reset.c InitializeIcaLock and original host reset sequencing	host lifecycle/reset.c	controller lifecycle state	binding-only original body	S17 controller portion; UI/console/process branches S28
S17-C11	dummy_nt.c and unexp_nt.c original no-op/unexpected BIOS interrupt bodies	BIOS IVT and CPU interrupt paths	fixed-width BIOS/PIC state	unchanged original bodies	unexpected error presentation S28
S17-C12	illegalp.c original illegal-operation diagnostic body	CPU exception paths	fixed-width CS/IP diagnostic values	transferred original body	S28 host error/presentation owns any host-visible behavior
S17-C13	idetect.c original idle-detection and release-timeslice request	CPU polling/timer cadence	host scheduling policy	transferred original body	S28 public wait/idle binding
S17-C14	cmos.c and quick_ev.c alternate source variants	no selected CCPU40 source-list caller	unselected source variant	not selected; byte-exact mirror	no compilation or adapter admission
