origin_path	target_path	role	bytes	sha256
OpenNT NT4 base/mvdm/dos/command/cmddisp.c	docs/etc/legacy_code/opennt-bop/original/dos/command/cmddisp.c	COMMAND dispatcher parse input	1348	2a906e7100da9db6f16bab91c767b149f28e63a0db2803297812a8e86d2b19d6
OpenNT NT4 base/mvdm/dos/dem/demdisp.c	docs/etc/legacy_code/opennt-bop/original/dos/dem/demdisp.c	DEM dispatcher parse input	7273	7ea3a829e3f8aad2dfe644d101cabaff514de25909db937675fc323dfce8fe3c
OpenNT NT4 base/mvdm/dpmi32/dpmi32.c	docs/etc/legacy_code/opennt-bop/original/dpmi32/dpmi32.c	DPMI dispatcher parse input	6674	c271daf86bdfa846c9602f74bd2a4059b98c2ad1f12676e966bcfd427ba93dca
OpenNT NT4 base/mvdm/vdmredir/vrdisp.c	docs/etc/legacy_code/opennt-bop/original/vdmredir/vrdisp.c	Redirector dispatcher parse input	4922	030a3a2f2baaeb36bb58eb459cc91a0f6bf15bfdec777fc2998e3c3d69b2a389
OpenNT NT4 base/mvdm/xms.486/xmsdisp.c	docs/etc/legacy_code/opennt-bop/original/xms.486/xmsdisp.c	XMS dispatcher parse input	1448	24b0fa2fe32bd7a94606d424a10b0961a9911190cb2684456af04034e04bff01
OpenNT NT4 base/win32/winnls/fontsup/system/app852.fon	src/opennt-guest/wow16/fonts/app852.fon	current guest-stager font input	16435	ca3b89619d7c41798834f2e3da09138f1c57a391d5f963fcbef85665595358a6
OpenNT NT4 base/win32/winnls/fontsup/system/app857.fon	src/opennt-guest/wow16/fonts/app857.fon	current guest-stager font input	16587	3b5bc4dde6a0b48f55252b94750b74c7621f4a0d8f7aff52bb49521078ce7959
OpenNT NT4 base/win32/winnls/fontsup/system/app866.fon	src/opennt-guest/wow16/fonts/app866.fon	current guest-stager font input	16663	a782587b6adf4d698511eca99e115af79064b44429272c1c60e4ca70ef18d274
OpenNT NT4 base/win32/winnls/fontsup/system/cga40737.fon	src/opennt-guest/wow16/fonts/cga40737.fon	current guest-stager font input	3641	c90ba5043990a30933ad7a0db2794cda3870b85b09378ae4e778579cd0ad594a
OpenNT NT4 base/win32/winnls/fontsup/system/cga40852.fon	src/opennt-guest/wow16/fonts/cga40852.fon	current guest-stager font input	3349	d0aa5a7d2a9c6bef4d2f11d7e715df3b4fbc4e93caa141a0c1ec5ee4d92b26d6
OpenNT NT4 base/win32/winnls/fontsup/system/cga40857.fon	src/opennt-guest/wow16/fonts/cga40857.fon	current guest-stager font input	3335	71f1c8d03809a74eee037b5a8c4598148469a4c72e8a5d3722e3515ef50a72a0
OpenNT NT4 base/win32/winnls/fontsup/system/cga40866.fon	src/opennt-guest/wow16/fonts/cga40866.fon	current guest-stager font input	3726	8a16153551932c535c6934cb3a675f2db6691348cc3e7fffdf5f4c3075e9552e
OpenNT NT4 base/win32/winnls/fontsup/system/cga40869.fon	src/opennt-guest/wow16/fonts/cga40869.fon	current guest-stager font input	3689	e591d52af2b5d6fde8dfd7bba0ce17d88fad8b074c9adeddd6745a1dedca8779
OpenNT NT4 base/win32/winnls/fontsup/system/cga80737.fon	src/opennt-guest/wow16/fonts/cga80737.fon	current guest-stager font input	3075	a4fdc16ee91e64484a26a3401772c3311c506b55c8b49a2cddf77393b679d6b5
OpenNT NT4 base/win32/winnls/fontsup/system/cga80852.fon	src/opennt-guest/wow16/fonts/cga80852.fon	current guest-stager font input	3113	0a4603adf2f1963d6b8dcfb87693a9dabfd73ee399c71b3ee088500baa68363a
OpenNT NT4 base/win32/winnls/fontsup/system/cga80857.fon	src/opennt-guest/wow16/fonts/cga80857.fon	current guest-stager font input	2745	66bb0ea0706867d0b6d88676c9b286211b7b13c955b4c38fe6c53d41680722b5
OpenNT NT4 base/win32/winnls/fontsup/system/cga80866.fon	src/opennt-guest/wow16/fonts/cga80866.fon	current guest-stager font input	3097	62bf8f0faf2eb756308ff5bfd35d386b36c57c04972fc4fa4f028091e15f2e5c
OpenNT NT4 base/win32/winnls/fontsup/system/cga80869.fon	src/opennt-guest/wow16/fonts/cga80869.fon	current guest-stager font input	3111	a1f1c479b7476bf5de8a0625503a4ed9bd93b6de594b9bbd91dc6f167cd61410
OpenNT NT4 base/win32/winnls/fontsup/system/dos737.fon	src/opennt-guest/wow16/fonts/dos737.fon	current guest-stager font input	15892	db45dee073fd4e9ea808b23066923ee7234f201213fc8b971e548acc4eb3ab28
OpenNT NT4 base/win32/winnls/fontsup/system/dos869.fon	src/opennt-guest/wow16/fonts/dos869.fon	current guest-stager font input	16369	7a02637c46fdbcd37ae45ffac1bb4e64e211ea7d35d706f764ca90f363554548
OpenNT NT4 base/win32/winnls/fontsup/system/ega40737.fon	src/opennt-guest/wow16/fonts/ega40737.fon	current guest-stager font input	3943	2193751df9e228eefe7b45e203940384e06d1b2f46fa50bf3922f9ec99dc8e4c
OpenNT NT4 base/win32/winnls/fontsup/system/ega40852.fon	src/opennt-guest/wow16/fonts/ega40852.fon	current guest-stager font input	4013	224ed3deb909fddcc8f62730734989f3c957dd116d9ef8fcbb1e1454fa7e2aed
OpenNT NT4 base/win32/winnls/fontsup/system/ega40857.fon	src/opennt-guest/wow16/fonts/ega40857.fon	current guest-stager font input	3693	0a17519ac31c85d6a30764d84a6987d08e670bc64774a55cd70c21670a0c6020
OpenNT NT4 base/win32/winnls/fontsup/system/ega40866.fon	src/opennt-guest/wow16/fonts/ega40866.fon	current guest-stager font input	4091	4c19e883916a50dd9b8b88cb16695e4a0c0e8b5b59e83e561c03f0bf747e4e63
OpenNT NT4 base/win32/winnls/fontsup/system/ega40869.fon	src/opennt-guest/wow16/fonts/ega40869.fon	current guest-stager font input	3943	2193751df9e228eefe7b45e203940384e06d1b2f46fa50bf3922f9ec99dc8e4c
OpenNT NT4 base/win32/winnls/fontsup/system/ega80737.fon	src/opennt-guest/wow16/fonts/ega80737.fon	current guest-stager font input	3320	577c24b715c88a32240e0af91ad32755f589e9f274f7736aac6056cb11f495e1
OpenNT NT4 base/win32/winnls/fontsup/system/ega80852.fon	src/opennt-guest/wow16/fonts/ega80852.fon	current guest-stager font input	3234	4cfdd7f22001f4cace10776ac2110d800e31c5a2c23737d78b46b9cfe1d86fad
OpenNT NT4 base/win32/winnls/fontsup/system/ega80857.fon	src/opennt-guest/wow16/fonts/ega80857.fon	current guest-stager font input	2914	49e22e1c3bc9edf2026afbea5ee7b8a2cb4baf1d5b2424d2ff92c8d26fadf26e
OpenNT NT4 base/win32/winnls/fontsup/system/ega80866.fon	src/opennt-guest/wow16/fonts/ega80866.fon	current guest-stager font input	3262	f0cafc12600590e3ae2b92dd4ab3286ad8bab6d8c6f254c3d8b11ec6367c86b9
