"target_path"	"owner_root"	"transfer"	"package_root"	"selection"	"primary_path"	"primary_sha256"	"secondary_path"	"secondary_sha256"	"local_guest_path"	"local_guest_sha256"	"rationale"
"bde/bde.def"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bde.def"	"cfb2deeb3c42a282c4cf19aa8cf13d3408b007ceb42dc21c1b098e0b7da16979"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bde.def"	"cfb2deeb3c42a282c4cf19aa8cf13d3408b007ceb42dc21c1b098e0b7da16979"	""	""	"same bytes with dual provenance"
"bde/bde.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bde.h"	"e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bde.h"	"e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e"	""	""	"same bytes with dual provenance"
"bde/bdecmds.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	""	""	"same bytes with dual provenance"
"bde/bdeheap.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	""	""	"same bytes with dual provenance"
"bde/bdemisc.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	""	""	"same bytes with dual provenance"
"bde/bdestack.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	""	""	"same bytes with dual provenance"
"bde/bdesym.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	""	""	"same bytes with dual provenance"
"bde/bdeutil.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	""	""	"same bytes with dual provenance"
"bde/data.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\data.c"	"5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\data.c"	"5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16"	""	""	"same bytes with dual provenance"
"bde/disasm.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"bde"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\bde\disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	""	""	"same bytes with dual provenance"
